 ,Neighbors,Image 11 zo-1 donut b&w.tif
1,0,4
2,1,9
3,2,17
4,3,39
5,4,63
6,5,96
7,6,87
8,7,38
9,8,12
10,9,5
11,10,4
12,11,1
13,12,2
14,13,1
15,14,0
16,15,1
