 ,Neighbors,Image 13 zo-1 donut b&w.tif
1,0,1
2,1,4
3,2,17
4,3,41
5,4,48
6,5,87
7,6,71
8,7,30
9,8,11
10,9,4
11,10,2
12,11,1
13,12,0
14,13,0
15,14,0
16,15,0
17,16,1
18,17,0
19,18,0
20,19,0
21,20,0
22,21,1
