 ,Neighbors,Image 23 zo-1 donut b&w.tif
1,0,1
2,1,8
3,2,19
4,3,65
5,4,129
6,5,253
7,6,311
8,7,126
9,8,24
10,9,6
11,10,3
12,11,2
13,12,1
14,13,0
15,14,1
