 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,693,255,0,255,255,255,562.787,25.781,562.787,25.781,106.669,550.000,7.000,28,34,33.387,26.428,111.386,0.765,36.125,176715,255,NaN,NaN,100,176715,550,15,138.366,27.298,1.263,0.792,0.925,565,7,6.497,1.323,0.890,0.728,3,749.500,101.909,35.556,0.889,0.734,8.114,0.878,0.893,8.855
2,395,255,0,255,255,255,539.824,22.467,539.824,22.467,75.698,529.000,11.000,20,24,25.286,19.890,116.738,0.866,28.320,100725,255,NaN,NaN,100,100725,530,13,132.138,20.000,1.271,0.787,0.953,541,11,5.218,1.416,0.887,0.823,4,414.500,75.786,18.925,0.952,0.897,9.246,0.873,0.864,8.682
3,123,255,0,255,255,255,521.793,21.045,521.793,21.045,41.799,514.000,16.000,14,11,13.945,11.231,179.220,0.885,15.232,31365,255,NaN,NaN,100,31365,514,22,23.199,11.000,1.242,0.805,0.932,518,16,2.943,1.385,0.897,0.799,3,132.000,42.767,13.933,0.827,0.537,6.817,0.876,0.879,8.774
4,187,255,0,255,255,255,511.382,32.067,511.382,32.067,52.527,504.000,23.000,15,18,18.055,13.187,74.448,0.852,18.868,47685,255,NaN,NaN,100,47685,506,40,57.995,14.546,1.369,0.730,0.895,510,23,3.560,1.297,0.855,0.693,4,209.000,53.814,13.132,0.960,0.916,9.379,0.878,0.914,8.959
5,390,255,0,255,255,255,493.262,36.859,493.262,36.859,79.740,480.000,25.000,25,26,25.078,19.801,125.655,0.771,26.926,99450,255,NaN,NaN,100,99450,480,30,158.199,21.475,1.266,0.790,0.893,491,25,4.891,1.254,0.889,0.600,3,436.500,77.771,26.580,0.886,0.725,8.054,0.878,0.926,9.016
6,422,255,0,255,255,255,526.595,40.199,526.595,40.199,81.012,515.000,26.000,22,27,26.882,19.987,92.400,0.808,28.302,107610,255,NaN,NaN,100,107610,520,28,122.005,21.440,1.345,0.744,0.912,527,26,5.209,1.320,0.862,0.710,6,462.500,80.054,13.502,0.941,0.891,9.158,0.880,0.903,8.916
7,1022,255,0,255,255,255,475.904,51.519,475.904,51.519,127.296,458.000,31.000,36,42,45.231,28.769,121.324,0.793,46.098,260610,255,NaN,NaN,100,260610,466,31,114.341,31.188,1.572,0.636,0.917,466,31,8.029,1.478,0.798,0.676,5,1115.000,124.298,25.459,0.955,0.916,9.359,0.846,0.828,8.370
8,361,255,0,255,255,255,545.168,47.115,545.168,47.115,73.113,536.000,35.000,18,25,25.252,18.202,97.560,0.849,26.627,92055,255,NaN,NaN,100,92055,538,36,124.287,18.000,1.387,0.721,0.934,545,35,4.938,1.479,0.849,0.802,6,386.500,73.181,12.185,0.966,0.936,9.510,0.855,0.835,8.453
9,1127,255,0,255,255,255,447.392,62.302,447.392,62.302,132.468,431.000,40.000,35,45,44.062,32.566,106.163,0.807,45.695,287385,255,NaN,NaN,100,287385,440,41,113.199,33.287,1.353,0.739,0.928,448,40,8.508,1.373,0.860,0.716,6,1214.500,129.725,22.078,0.940,0.890,9.149,0.874,0.878,8.761
10,495,255,0,255,255,255,565.476,52.668,565.476,52.668,86.426,554.000,40.000,25,27,26.932,23.401,111.810,0.833,30.000,126225,255,NaN,NaN,100,126225,555,41,143.130,24.414,1.151,0.869,0.924,562,40,5.727,1.229,0.932,0.733,4,535.500,86.140,21.607,0.971,0.940,9.554,0.899,0.946,9.228
