 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,357,255,0,255,255,255,607.015,12.085,607.015,12.085,88.426,590.000,5.000,36,17,35.012,12.983,12.704,0.574,36.497,91035,255,NaN,NaN,100,91035,590,12,9.462,15.504,2.697,0.371,0.885,615,5,4.037,2.354,0.609,0.583,2,403.500,74.773,44.213,NaN,NaN,NaN,NaN,NaN,NaN
2,498,255,0,255,255,255,692.353,19.922,692.353,19.922,84.083,677.000,8.000,29,23,28.925,21.921,173.538,0.885,30.083,126990,255,NaN,NaN,100,126990,677,17,158.552,22.698,1.320,0.758,0.947,688,8,5.923,1.325,0.871,0.747,2,526.000,85.373,42.042,NaN,NaN,NaN,NaN,NaN,NaN
3,921,255,0,255,255,255,804.257,21.201,804.257,21.201,125.740,782.000,8.000,46,28,48.093,24.383,168.423,0.732,48.703,234855,255,NaN,NaN,100,234855,782,11,160.821,24.496,1.972,0.507,0.938,788,8,7.325,1.988,0.712,0.715,3,981.500,116.619,41.913,0.909,0.789,8.490,0.744,0.600,6.716
4,787,255,0,255,255,255,584.482,25.369,584.482,25.369,115.397,565.000,9.000,36,34,41.904,23.913,135.741,0.743,45.277,200685,255,NaN,NaN,100,200685,565,12,136.790,26.163,1.752,0.571,0.920,577,9,6.820,1.731,0.755,0.643,4,855.000,108.845,28.849,0.972,0.946,9.586,0.784,0.704,7.442
5,1939,255,0,255,255,255,622.642,40.095,622.642,40.095,175.095,599.000,9.000,47,59,56.286,43.862,90.315,0.795,61.131,494445,255,NaN,NaN,100,494445,613,68,74.827,45.045,1.283,0.779,0.944,627,9,11.074,1.357,0.883,0.699,6,2054.000,168.704,29.183,0.932,0.876,9.041,0.879,0.883,8.812
6,1458,255,0,255,255,255,661.615,34.217,661.615,34.217,158.468,637.000,12.000,47,46,51.015,36.389,135.326,0.730,58.898,371790,255,NaN,NaN,100,371790,637,13,139.821,41.020,1.402,0.713,0.922,639,12,9.201,1.436,0.845,0.674,5,1580.500,147.987,31.694,0.911,0.844,8.775,0.832,0.821,8.265
7,703,255,0,255,255,255,561.573,30.831,561.573,30.831,112.225,545.000,14.000,35,34,41.504,21.566,132.064,0.701,42.450,179265,255,NaN,NaN,100,179265,547,17,133.091,25.382,1.925,0.520,0.880,556,14,6.264,1.672,0.721,0.591,5,798.500,105.187,22.445,0.890,0.811,8.504,0.784,0.724,7.536
8,350,255,0,255,255,255,843.320,22.834,843.320,22.834,87.012,826.000,15.000,35,17,35.758,12.462,166.922,0.581,36.139,89250,255,NaN,NaN,100,89250,826,16,165.579,12.854,2.869,0.349,0.888,827,15,4.022,2.811,0.590,0.588,3,394.000,73.888,29.004,0.980,0.961,9.703,0.579,0.236,4.074
9,721,255,0,255,255,255,531.689,36.684,531.689,36.684,107.012,518.000,20.000,29,33,36.216,25.348,55.023,0.791,40.460,183855,255,NaN,NaN,100,183855,518,51,50.013,28.534,1.429,0.700,0.938,536,20,6.738,1.418,0.837,0.753,4,768.500,103.192,26.753,0.996,0.993,9.945,0.853,0.842,8.475
10,399,255,0,255,255,255,868.964,36.335,868.964,36.335,76.770,856.000,25.000,24,22,26.795,18.960,147.819,0.851,28.844,101745,255,NaN,NaN,100,101745,856,31,146.310,20.318,1.413,0.708,0.941,862,25,5.197,1.420,0.841,0.756,4,424.000,76.649,19.192,0.961,0.917,9.388,0.868,0.859,8.634
11,905,255,0,255,255,255,840.809,42.170,840.809,42.170,125.640,818.000,27.000,46,30,46.339,24.867,161.900,0.720,48.847,230775,255,NaN,NaN,100,230775,818,35,157.109,25.621,1.863,0.537,0.911,829,27,7.203,1.907,0.733,0.656,5,993.500,117.330,25.128,0.904,0.833,8.687,0.751,0.631,6.910
12,869,255,0,255,255,255,500.286,41.919,500.286,41.919,122.811,475.000,28.000,43,31,39.729,27.850,177.904,0.724,44.643,221595,255,NaN,NaN,100,221595,475,41,15.593,31.000,1.427,0.701,0.930,500,28,7.076,1.440,0.837,0.652,3,934.000,113.762,40.937,0.914,0.802,8.581,0.837,0.823,8.298
13,1152,255,0,255,255,255,797.824,45.377,797.824,45.377,143.539,772.000,28.000,52,35,54.222,27.051,158.373,0.703,55.362,293760,255,NaN,NaN,100,293760,772,33,159.928,28.536,2.004,0.499,0.917,781,28,8.026,1.940,0.706,0.633,4,1256.000,131.923,35.885,0.943,0.895,9.187,0.744,0.613,6.784
14,985,255,0,255,255,255,703.515,44.350,703.515,44.350,126.225,683.000,29.000,42,33,42.879,29.249,173.744,0.777,43.966,251175,255,NaN,NaN,100,251175,683,51,17.199,31.305,1.466,0.682,0.931,704,29,7.804,1.404,0.826,0.711,5,1058.000,121.079,25.245,0.945,0.898,9.216,0.864,0.859,8.614
15,1016,255,0,255,255,255,750.642,43.414,750.642,43.414,131.154,726.000,29.000,48,29,48.449,26.700,172.538,0.742,49.244,259080,255,NaN,NaN,100,259080,726,38,167.093,28.143,1.815,0.551,0.924,738,29,7.747,1.750,0.742,0.730,5,1099.500,123.431,26.231,0.921,0.858,8.894,0.786,0.700,7.431
16,592,255,0,255,255,255,894.424,45.149,894.424,45.149,95.255,881.000,31.000,29,28,32.464,23.218,143.892,0.820,36.770,150960,255,NaN,NaN,100,150960,881,31,135.000,24.749,1.398,0.715,0.939,881,31,6.215,1.486,0.846,0.729,3,630.500,93.469,31.752,0.859,0.644,7.513,0.846,0.821,8.334
