 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,321,255,0,255,255,255,745.425,12.042,745.425,12.042,79.598,731.000,5.000,31,16,29.443,13.881,1.049,0.637,31.575,81855,255,NaN,NaN,100,81855,731,6,169.046,15.855,2.121,0.471,0.882,732,5,4.033,1.992,0.687,0.647,0,364.000,71.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,69,255,0,255,255,255,677.833,27.312,677.833,27.312,32.142,674.000,21.000,7,12,12.611,6.967,81.137,0.839,13.000,17595,255,NaN,NaN,100,17595,675,33,67.380,7.000,1.810,0.552,0.926,677,21,2.147,1.857,0.743,0.821,0,74.500,32.129,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,855,255,0,255,255,255,424.313,69.818,424.313,69.818,125.397,402.000,56.000,46,29,47.379,22.977,162.680,0.683,50.606,218025,255,NaN,NaN,100,218025,402,60,150.396,26.082,2.062,0.485,0.907,421,56,6.818,1.940,0.696,0.641,4,942.500,114.279,31.349,0.928,0.870,8.989,0.732,0.602,6.666
4,398,255,0,255,255,255,388.807,70.113,388.807,70.113,89.598,369.000,59.000,34,19,32.023,15.825,14.286,0.623,35.341,101490,255,NaN,NaN,100,101490,369,75,25.115,19.000,2.024,0.494,0.894,395,59,4.442,1.860,0.703,0.616,2,445.000,78.525,44.799,NaN,NaN,NaN,NaN,NaN,NaN
5,55,255,0,255,255,255,495.336,74.645,495.336,74.645,27.799,492.000,70.000,8,10,9.455,7.407,108.187,0.894,10.440,14025,255,NaN,NaN,100,14025,492,70,106.699,8.000,1.277,0.783,0.902,492,70,1.978,1.305,0.885,0.688,1,61.000,29.073,27.799,NaN,NaN,NaN,NaN,NaN,NaN
6,874,255,0,255,255,255,392.201,88.418,392.201,88.418,125.740,370.000,75.000,44,29,44.632,24.933,0.547,0.695,45.695,222870,255,NaN,NaN,100,222870,371,78,156.801,27.976,1.790,0.559,0.881,404,75,6.951,1.633,0.747,0.685,5,992.000,117.241,25.148,0.884,0.803,8.437,0.792,0.741,7.667
7,631,255,0,255,255,255,461.910,87.869,461.910,87.869,98.669,447.000,75.000,32,27,31.603,25.422,169.139,0.814,34.482,160905,255,NaN,NaN,100,160905,449,76,150.461,25.970,1.243,0.804,0.912,456,75,6.395,1.328,0.897,0.730,4,692.000,97.922,24.667,0.982,0.963,9.725,0.880,0.901,8.905
8,795,255,0,255,255,255,432.658,94.890,432.658,94.890,114.569,414.000,81.000,37,32,41.812,24.209,148.792,0.761,43.829,202725,255,NaN,NaN,100,202725,415,81,145.222,26.239,1.727,0.579,0.933,415,81,6.939,1.670,0.761,0.671,6,852.500,108.686,19.095,0.908,0.839,8.738,0.803,0.735,7.693
9,267,255,0,255,255,255,489.013,92.837,489.013,92.837,68.527,480.000,81.000,16,24,21.340,15.930,104.336,0.714,24.207,68085,255,NaN,NaN,100,68085,480,86,128.290,16.000,1.340,0.746,0.916,494,81,3.896,1.513,0.864,0.695,3,291.500,63.554,22.842,0.920,0.818,8.691,0.827,0.796,8.115
10,841,255,0,255,255,255,371.420,109.171,371.420,109.171,119.397,350.000,94.000,42,30,42.422,25.242,166.931,0.741,44.944,214455,255,NaN,NaN,100,214455,350,101,159.146,26.833,1.681,0.595,0.916,369,94,7.044,1.675,0.771,0.667,5,918.500,112.814,23.879,0.920,0.857,8.886,0.798,0.731,7.645
11,889,255,0,255,255,255,482.291,112.130,482.291,112.130,151.581,452.000,94.000,54,39,54.382,20.814,153.836,0.486,59.093,226695,255,NaN,NaN,100,226695,452,101,156.038,25.351,2.613,0.383,0.779,478,94,5.865,2.331,0.619,0.422,6,1140.500,125.711,25.263,0.634,0.536,5.852,0.592,0.381,4.864
12,773,255,0,255,255,255,329.694,110.107,329.694,110.107,119.640,304.000,95.000,45,28,43.848,22.446,10.859,0.679,46.573,197115,255,NaN,NaN,100,197115,304,113,14.931,25.342,1.954,0.512,0.898,335,95,6.461,1.838,0.715,0.613,3,861.000,109.226,39.880,0.944,0.878,9.107,0.750,0.646,6.982
13,832,255,0,255,255,255,414.207,111.207,414.207,111.207,125.054,392.000,97.000,48,28,45.949,23.054,168.596,0.669,49.041,212160,255,NaN,NaN,100,212160,392,105,163.413,26.369,1.993,0.502,0.892,405,97,6.653,1.860,0.708,0.619,6,932.500,113.671,20.842,0.835,0.737,7.863,0.742,0.633,6.878
14,863,255,0,255,255,255,456.944,126.769,456.944,126.769,118.468,439.000,107.000,33,40,39.685,27.688,120.788,0.773,41.725,220065,255,NaN,NaN,100,220065,441,114,135.971,30.979,1.433,0.698,0.902,450,107,7.285,1.347,0.835,0.654,7,957.000,115.155,16.924,0.902,0.829,8.655,0.864,0.883,8.736
15,708,255,0,255,255,255,305.630,128.398,305.630,128.398,111.154,286.000,114.000,38,29,40.352,22.340,158.883,0.720,41.629,180540,255,NaN,NaN,100,180540,286,122,155.898,23.262,1.806,0.554,0.909,303,114,6.370,1.790,0.744,0.642,4,778.500,103.862,27.789,0.956,0.917,9.362,0.773,0.680,7.263
16,878,255,0,255,255,255,348.269,128.837,348.269,128.837,134.326,322.000,114.000,50,28,49.290,22.680,1.201,0.611,50.090,223890,255,NaN,NaN,100,223890,322,128,3.434,26.695,2.173,0.460,0.851,350,114,6.536,1.876,0.678,0.627,5,1032.000,119.582,26.865,0.811,0.707,7.589,0.724,0.616,6.698
17,1138,255,0,255,255,255,391.727,135.025,391.727,135.025,141.983,368.000,118.000,47,33,48.391,29.943,9.708,0.709,49.649,290190,255,NaN,NaN,100,290190,369,149,27.597,31.653,1.616,0.619,0.902,392,118,8.015,1.569,0.787,0.734,9,1261.500,132.211,15.776,0.837,0.740,7.885,0.814,0.772,7.926
18,535,255,0,255,255,255,484.315,134.453,484.315,134.453,98.669,472.000,118.000,26,33,35.019,19.452,134.795,0.691,40.000,136425,255,NaN,NaN,100,136425,473,119,126.870,23.270,1.800,0.555,0.888,475,118,5.422,1.719,0.745,0.624,4,602.500,91.370,24.667,0.934,0.879,9.064,0.759,0.686,7.225
19,508,255,0,255,255,255,431.232,132.018,431.232,132.018,96.083,414.000,121.000,34,24,34.147,18.942,163.348,0.691,36.770,129540,255,NaN,NaN,100,129540,414,126,157.620,22.339,1.803,0.555,0.869,429,121,5.287,1.646,0.745,0.623,5,584.500,89.995,19.217,0.882,0.800,8.406,0.780,0.729,7.546
20,1967,255,0,255,255,255,523.353,145.358,523.353,145.358,176.167,498.000,121.000,55,53,50.280,49.810,1.697,0.796,58.138,501585,255,NaN,NaN,100,501585,507,122,116.565,50.244,1.009,0.991,0.916,518,121,11.166,1.157,0.995,0.675,5,2146.500,172.461,35.233,0.958,0.921,9.395,0.899,0.967,9.329
21,211,255,0,255,255,255,270.154,141.088,270.154,141.088,55.698,261.000,133.000,18,16,19.041,14.109,33.918,0.855,20.518,53805,255,NaN,NaN,100,53805,264,149,43.025,15.454,1.350,0.741,0.911,271,133,3.788,1.328,0.861,0.733,3,231.500,56.637,18.566,0.841,0.586,7.137,0.877,0.898,8.875
22,837,255,0,255,255,255,295.586,148.263,295.586,148.263,122.811,276.000,133.000,43,31,41.509,25.674,174.128,0.697,43.829,213435,255,NaN,NaN,100,213435,280,135,152.850,29.711,1.617,0.619,0.898,285,133,6.815,1.475,0.786,0.628,5,932.000,113.641,24.562,0.886,0.806,8.464,0.823,0.806,8.147
23,349,255,0,255,255,255,426.328,148.199,426.328,148.199,73.355,415.000,138.000,23,21,25.502,17.424,145.267,0.815,28.284,88995,255,NaN,NaN,100,88995,416,138,135.000,19.551,1.464,0.683,0.921,416,138,4.758,1.447,0.827,0.723,5,379.000,72.468,14.671,0.970,0.942,9.562,0.848,0.835,8.413
24,971,255,0,255,255,255,342.603,150.545,342.603,150.545,127.154,319.000,139.000,49,26,47.385,26.091,0.548,0.755,49.366,247605,255,NaN,NaN,100,247605,319,144,173.019,26.000,1.816,0.551,0.931,325,139,7.636,1.899,0.742,0.762,7,1043.000,120.217,18.165,0.889,0.810,8.493,0.761,0.641,7.015
25,399,255,0,255,255,255,449.299,153.941,449.299,153.941,88.326,437.000,141.000,28,24,26.360,19.272,155.056,0.643,32.202,101745,255,NaN,NaN,100,101745,439,146,143.842,22.857,1.368,0.731,0.818,448,141,4.517,1.409,0.855,0.594,7,488.000,82.231,12.618,0.796,0.690,7.427,0.776,0.806,7.907
26,380,255,0,255,255,255,251.937,158.271,251.937,158.271,81.740,240.000,143.000,23,29,31.585,15.318,56.014,0.715,32.650,96900,255,NaN,NaN,100,96900,245,172,62.650,16.292,2.062,0.485,0.900,258,143,4.649,2.004,0.696,0.570,4,422.000,76.468,20.435,0.952,0.910,9.308,0.730,0.591,6.605
27,610,255,0,255,255,255,477.975,154.262,477.975,154.262,100.912,460.000,143.000,38,23,36.883,21.058,170.355,0.753,39.294,155550,255,NaN,NaN,100,155550,460,148,165.256,22.638,1.751,0.571,0.912,472,143,6.045,1.736,0.756,0.698,7,669.000,96.281,14.416,0.887,0.808,8.475,0.786,0.707,7.464
28,83,255,0,255,255,255,389.873,153.006,389.873,153.006,33.556,385.000,147.000,9,11,11.382,9.285,82.079,0.926,12.530,21165,255,NaN,NaN,100,21165,386,158,61.390,9.000,1.226,0.816,0.949,389,147,2.473,1.392,0.903,0.838,4,87.500,34.820,8.389,0.921,0.821,8.707,0.877,0.876,8.765
29,403,255,0,255,255,255,409.225,157.316,409.225,157.316,82.083,395.000,147.000,28,23,30.493,16.827,148.759,0.752,31.401,102765,255,NaN,NaN,100,102765,395,149,142.765,18.860,1.812,0.552,0.893,399,147,4.910,1.665,0.743,0.626,5,451.500,79.096,16.417,0.927,0.869,8.982,0.796,0.738,7.671
