 ,Neighbors,Image 42 zo-1 donut b&w.tif
1,0,2
2,1,8
3,2,21
4,3,51
5,4,76
6,5,146
7,6,166
8,7,81
9,8,29
10,9,4
11,10,1
12,11,3
13,12,0
14,13,0
15,14,0
16,15,1
