 ,Neighbors,Image 9 zo-1 donut b&w.tif
1,0,1
2,1,8
3,2,23
4,3,70
5,4,96
6,5,171
7,6,211
8,7,102
9,8,19
10,9,7
11,10,0
12,11,2
