 ,Neighbors,Image 34 zo-1 donut b&w.tif
1,0,0
2,1,4
3,2,12
4,3,48
5,4,66
6,5,130
7,6,144
8,7,70
9,8,14
10,9,2
11,10,0
12,11,1
13,12,2
14,13,1
