 ,Neighbors,Image 28 zo-1 donut b&w.tif
1,0,3
2,1,3
3,2,23
4,3,58
5,4,101
6,5,201
7,6,239
8,7,96
9,8,20
10,9,5
11,10,0
12,11,0
13,12,0
14,13,0
15,14,0
16,15,1
