 ,Neighbors,Image 37 zo-1 donut b&w.tif
1,0,0
2,1,3
3,2,22
4,3,50
5,4,113
6,5,249
7,6,257
8,7,118
9,8,34
10,9,7
11,10,7
12,11,1
13,12,2
