 ,Neighbors,Image 26 zo-1 donut b&w.tif
1,0,1
2,1,5
3,2,26
4,3,62
5,4,105
6,5,233
7,6,259
8,7,117
9,8,32
10,9,7
11,10,0
12,11,1
13,12,1
14,13,1
