 ,Neighbors,Image 32 zo-1 donut b&w.tif
1,0,0
2,1,9
3,2,29
4,3,75
5,4,134
6,5,244
7,6,280
8,7,119
9,8,35
10,9,4
11,10,4
12,11,4
13,12,0
14,13,1
15,14,0
16,15,0
17,16,1
