 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,223,255,0,255,255,255,616.975,15.303,616.975,15.303,58.284,609.000,6.000,17,18,19.666,14.438,52.861,0.825,21.095,56865,255,NaN,NaN,100,56865,611,24,58.570,16.304,1.362,0.734,0.921,619,6,3.826,1.294,0.857,0.729,3,242.000,57.907,19.428,0.856,0.636,7.458,0.881,0.909,8.954
2,441,255,0,255,255,255,647.890,19.697,647.890,19.697,81.012,637.000,7.000,24,25,25.442,22.069,68.313,0.844,26.926,112455,255,NaN,NaN,100,112455,638,30,31.329,23.702,1.153,0.867,0.925,648,7,5.444,1.136,0.931,0.735,3,476.500,81.256,27.004,0.846,0.603,7.248,0.911,0.976,9.433
3,274,255,0,255,255,255,683.266,17.493,683.266,17.493,62.527,673.000,7.000,19,19,20.465,17.047,45.418,0.881,22.023,69870,255,NaN,NaN,100,69870,676,26,50.528,18.981,1.201,0.833,0.940,683,7,4.382,1.160,0.913,0.759,3,291.500,63.554,20.842,0.829,0.543,6.859,0.903,0.946,9.246
4,520,255,0,255,255,255,703.846,21.013,703.846,21.013,87.255,691.000,8.000,27,26,26.474,25.009,15.194,0.858,29.069,132600,255,NaN,NaN,100,132600,693,11,139.185,24.739,1.059,0.945,0.939,702,8,5.960,1.175,0.972,0.741,4,554.000,87.615,21.814,0.957,0.907,9.319,0.920,0.978,9.491
5,872,255,0,255,255,255,592.484,24.740,592.484,24.740,115.740,573.000,10.000,37,32,35.721,31.082,13.827,0.818,38.949,222360,255,NaN,NaN,100,222360,579,37,41.878,31.842,1.149,0.870,0.930,592,10,7.534,1.223,0.933,0.736,5,938.000,114.006,23.148,0.972,0.946,9.588,0.905,0.951,9.278
6,254,255,0,255,255,255,630.087,22.476,630.087,22.476,61.698,622.000,11.000,15,22,22.185,14.578,87.411,0.838,22.804,64770,255,NaN,NaN,100,64770,627,11,105.255,15.000,1.522,0.657,0.924,627,11,4.117,1.520,0.811,0.770,4,275.000,61.729,15.425,0.968,0.932,9.501,0.843,0.816,8.297
7,704,255,0,255,255,255,789.922,28.482,789.922,28.482,104.811,773.000,12.000,33,32,32.189,27.846,153.740,0.805,35.847,179520,255,NaN,NaN,100,179520,773,22,157.011,28.859,1.156,0.865,0.918,786,12,6.717,1.242,0.930,0.667,4,767.000,103.092,26.203,0.988,0.975,9.811,0.893,0.938,9.155
8,646,255,0,255,255,255,819.438,26.873,819.438,26.873,96.912,805.000,12.000,29,30,30.707,26.786,132.448,0.864,33.287,164730,255,NaN,NaN,100,164730,805,20,147.265,28.680,1.146,0.872,0.936,813,12,6.666,1.161,0.934,0.743,4,690.500,97.815,24.228,0.953,0.899,9.264,0.911,0.966,9.380
9,544,255,0,255,255,255,730.869,28.730,730.869,28.730,90.083,716.000,16.000,29,26,28.906,23.962,166.287,0.842,31.623,138720,255,NaN,NaN,100,138720,719,19,145.305,25.382,1.206,0.829,0.932,728,16,6.039,1.246,0.910,0.721,4,583.500,89.918,22.521,0.966,0.927,9.465,0.901,0.939,9.201
10,718,255,0,255,255,255,761.142,31.898,761.142,31.898,103.983,745.000,16.000,33,31,35.916,25.453,135.474,0.834,37.443,183090,255,NaN,NaN,100,183090,752,16,124.114,27.482,1.411,0.709,0.932,752,16,6.905,1.362,0.842,0.702,5,770.000,103.293,20.797,0.982,0.965,9.735,0.880,0.888,8.839
11,283,255,0,255,255,255,665.419,27.087,665.419,27.087,65.598,655.000,17.000,20,21,21.258,16.950,62.366,0.826,22.672,72165,255,NaN,NaN,100,72165,655,32,41.424,17.196,1.254,0.797,0.914,662,17,4.314,1.318,0.893,0.674,4,309.500,65.487,16.399,0.975,0.948,9.613,0.884,0.908,8.961
12,815,255,0,255,255,255,560.165,36.048,560.165,36.048,109.397,545.000,20.000,33,34,32.717,31.718,47.104,0.856,35.468,207825,255,NaN,NaN,100,207825,546,47,40.426,32.742,1.031,0.969,0.939,562,20,7.450,1.083,0.985,0.726,4,867.500,109.638,27.349,0.958,0.910,9.342,0.911,0.953,9.319
13,317,255,0,255,255,255,888.891,31.273,888.891,31.273,68.527,877.000,22.000,23,18,25.845,15.617,152.648,0.848,27.203,80835,255,NaN,NaN,100,80835,878,23,143.973,16.916,1.655,0.604,0.952,879,22,4.626,1.608,0.777,0.766,3,333.000,67.928,22.842,0.844,0.597,7.206,0.827,0.774,8.006
14,525,255,0,255,255,255,847.696,35.230,847.696,35.230,87.598,834.000,23.000,27,25,29.581,22.597,141.513,0.860,33.302,133875,255,NaN,NaN,100,133875,835,25,138.652,23.678,1.309,0.764,0.937,843,23,5.993,1.406,0.874,0.778,4,560.500,88.128,21.899,0.956,0.905,9.305,0.868,0.863,8.656
15,248,255,0,255,255,255,616.214,34.000,616.214,34.000,60.426,607.000,25.000,19,20,18.953,16.661,88.648,0.854,20.881,63240,255,NaN,NaN,100,63240,611,25,106.699,18.028,1.138,0.879,0.920,611,25,4.104,1.158,0.938,0.653,5,269.500,61.109,12.085,0.993,0.987,9.902,0.899,0.957,9.279
16,528,255,0,255,255,255,681.958,39.210,681.958,39.210,88.184,667.000,27.000,29,23,28.681,23.440,22.305,0.853,30.676,134640,255,NaN,NaN,100,134640,667,44,19.026,23.000,1.224,0.817,0.942,676,27,5.987,1.334,0.904,0.792,6,560.500,88.128,14.697,0.969,0.941,9.549,0.891,0.903,8.971
17,544,255,0,255,255,255,532.642,40.075,532.642,40.075,89.598,519.000,28.000,26,27,27.060,25.596,136.620,0.852,29.833,138720,255,NaN,NaN,100,138720,522,29,140.440,26.000,1.057,0.946,0.939,525,28,6.072,1.147,0.973,0.775,4,579.500,89.609,22.399,0.960,0.916,9.381,0.920,0.984,9.522
18,180,255,0,255,255,255,908.017,36.217,908.017,36.217,51.113,901.000,28.000,15,17,17.699,12.949,128.861,0.866,19.209,45900,255,NaN,NaN,100,45900,901,29,141.340,14.142,1.367,0.732,0.914,905,28,3.522,1.358,0.855,0.706,3,197.000,52.247,17.038,0.836,0.568,7.018,0.871,0.883,8.772
19,446,255,0,255,255,255,505.251,39.112,505.251,39.112,92.770,487.000,29.000,34,20,33.438,16.983,14.675,0.651,36.770,113730,255,NaN,NaN,100,113730,487,43,22.380,17.705,1.969,0.508,0.902,512,29,4.808,2.077,0.713,0.656,3,494.500,82.777,30.923,0.964,0.923,9.432,0.706,0.542,6.242
20,1949,255,0,255,255,255,640.808,54.603,640.808,54.603,173.681,613.000,31.000,57,47,56.114,44.224,19.261,0.812,59.682,496995,255,NaN,NaN,100,496995,615,70,31.293,46.170,1.269,0.788,0.930,637,31,11.222,1.293,0.888,0.728,11,2096.000,170.420,15.789,0.905,0.835,8.701,0.892,0.917,9.046
21,729,255,0,255,255,255,709.794,46.622,709.794,46.622,105.740,693.000,31.000,34,30,32.837,28.267,1.963,0.819,35.228,185895,255,NaN,NaN,100,185895,697,35,145.408,29.557,1.162,0.861,0.920,713,31,6.894,1.192,0.928,0.715,7,792.000,104.758,15.106,0.933,0.879,9.063,0.906,0.965,9.351
22,538,255,0,255,255,255,873.584,45.071,873.584,45.071,89.497,861.000,31.000,25,30,31.007,22.092,120.446,0.844,33.302,137190,255,NaN,NaN,100,137190,862,34,131.348,22.627,1.404,0.712,0.936,869,31,6.011,1.472,0.844,0.717,5,575.000,89.260,17.899,0.988,0.976,9.819,0.856,0.838,8.472
23,690,255,0,255,255,255,742.951,52.722,742.951,52.722,101.983,727.000,37.000,31,32,31.788,27.638,133.259,0.834,36.125,175950,255,NaN,NaN,100,175950,728,43,138.366,27.577,1.150,0.869,0.932,746,37,6.766,1.310,0.932,0.696,6,740.000,101.261,16.997,0.957,0.919,9.381,0.891,0.912,9.013
24,487,255,0,255,255,255,806.716,50.180,806.716,50.180,84.083,793.000,37.000,26,26,26.179,23.685,156.433,0.866,29.530,124185,255,NaN,NaN,100,124185,793,45,151.699,24.749,1.105,0.905,0.935,806,37,5.792,1.193,0.951,0.720,6,521.000,84.966,14.014,0.976,0.954,9.654,0.905,0.952,9.288
25,674,255,0,255,255,255,579.315,55.418,579.315,55.418,99.983,564.000,38.000,30,32,33.146,25.890,53.079,0.847,36.069,171870,255,NaN,NaN,100,171870,566,68,43.877,26.163,1.280,0.781,0.932,579,38,6.741,1.379,0.884,0.702,6,723.500,100.125,16.664,0.965,0.934,9.498,0.877,0.882,8.794
26,347,255,0,255,255,255,603.759,48.687,603.759,48.687,70.527,593.000,38.000,22,20,22.283,19.827,162.836,0.877,24.207,88485,255,NaN,NaN,100,88485,593,43,141.710,20.000,1.124,0.890,0.948,602,38,4.920,1.210,0.943,0.789,5,366.000,71.214,14.105,0.993,0.986,9.898,0.920,0.964,9.422
27,544,255,0,255,255,255,832.428,52.875,832.428,52.875,90.426,819.000,39.000,26,28,30.451,22.746,129.473,0.836,33.971,138720,255,NaN,NaN,100,138720,819,43,137.386,24.415,1.339,0.747,0.922,831,39,6.016,1.391,0.864,0.747,6,590.000,90.417,15.071,0.958,0.922,9.402,0.866,0.868,8.669
28,523,255,0,255,255,255,897.186,53.267,897.186,53.267,86.426,885.000,40.000,24,28,27.384,24.318,115.098,0.880,29.967,133365,255,NaN,NaN,100,133365,887,41,115.710,24.000,1.126,0.888,0.942,900,40,6.051,1.249,0.942,0.778,6,555.000,87.694,14.404,0.985,0.970,9.775,0.911,0.946,9.282
29,224,255,0,255,255,255,783.866,49.509,783.866,49.509,59.598,774.000,41.000,20,18,20.035,14.235,144.720,0.792,21.954,57120,255,NaN,NaN,100,57120,775,44,149.931,16.263,1.407,0.711,0.884,778,41,3.759,1.350,0.843,0.622,5,253.500,59.267,11.920,0.955,0.916,9.359,0.853,0.878,8.652
30,612,255,0,255,255,255,923.297,54.825,923.297,54.825,94.326,910.000,41.000,28,30,29.163,26.720,121.490,0.864,31.321,156060,255,NaN,NaN,100,156060,917,41,106.699,28.000,1.091,0.916,0.937,917,41,6.488,1.119,0.957,0.729,5,653.000,95.122,18.865,1.000,0.999,9.996,0.915,0.969,9.418
31,300,255,0,255,255,255,945.530,49.700,945.530,49.700,66.527,935.000,41.000,22,18,21.775,17.542,150.982,0.852,23.431,76500,255,NaN,NaN,100,76500,935,43,140.194,18.000,1.241,0.806,0.935,938,41,4.509,1.302,0.898,0.758,3,321.000,66.693,22.176,0.842,0.591,7.168,0.896,0.919,9.076
32,247,255,0,255,255,255,488.585,53.423,488.585,53.423,58.770,478.000,44.000,19,18,19.471,16.152,134.284,0.899,21.095,62985,255,NaN,NaN,100,62985,485,44,121.430,16.867,1.206,0.830,0.937,485,44,4.203,1.251,0.911,0.722,4,263.500,60.425,14.692,0.935,0.856,8.953,0.906,0.939,9.226
