 ,Neighbors,Image 24 zo-1 donut b&w.tif
1,0,4
2,1,5
3,2,15
4,3,59
5,4,87
6,5,192
7,6,237
8,7,94
9,8,25
10,9,7
11,10,3
12,11,3
