 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,510,255,0,255,255,255,750.129,15.953,750.129,15.953,86.811,734.000,4.000,31,25,28.659,22.658,5.994,0.850,31.257,130050,255,NaN,NaN,100,130050,734,15,172.648,24.684,1.265,0.791,0.935,745,4,5.875,1.266,0.889,0.658,2,545.500,86.941,43.406,NaN,NaN,NaN,NaN,NaN,NaN
2,975,255,0,255,255,255,803.047,21.872,803.047,21.872,121.012,783.000,7.000,39,30,40.597,30.579,160.184,0.837,44.688,248625,255,NaN,NaN,100,248625,786,7,139.538,30.000,1.328,0.753,0.956,786,7,8.057,1.490,0.868,0.833,3,1020.000,118.885,40.337,0.850,0.616,7.331,0.856,0.828,8.422
3,498,255,0,255,255,255,593.143,17.761,593.143,17.761,88.326,575.000,8.000,35,20,33.236,19.078,2.158,0.802,35.128,126990,255,NaN,NaN,100,126990,575,19,4.899,20.000,1.742,0.574,0.933,594,8,5.638,1.756,0.758,0.711,3,534.000,86.019,29.442,0.868,0.673,7.707,0.792,0.707,7.496
4,2380,255,0,255,255,255,727.698,50.431,727.698,50.431,219.238,706.000,13.000,44,74,74.150,40.867,89.099,0.622,75.505,606900,255,NaN,NaN,100,606900,716,13,101.459,43.532,1.814,0.551,0.850,716,13,10.856,1.734,0.742,0.731,7,2801.000,197.007,31.320,0.776,0.668,7.219,0.755,0.680,7.175
5,1132,255,0,255,255,255,840.573,33.113,840.573,33.113,132.225,821.000,14.000,40,39,44.654,32.277,137.148,0.814,48.270,288660,255,NaN,NaN,100,288660,823,16,140.042,34.883,1.383,0.723,0.941,829,14,8.561,1.384,0.850,0.726,5,1203.000,129.109,26.445,0.969,0.941,9.549,0.872,0.871,8.713
6,651,255,0,255,255,255,618.534,28.835,618.534,28.835,102.083,602.000,15.000,34,27,34.702,23.886,27.305,0.785,36.235,166005,255,NaN,NaN,100,166005,602,38,39.401,24.907,1.453,0.688,0.919,623,15,6.377,1.455,0.830,0.709,5,708.500,99.082,20.417,0.950,0.908,9.291,0.851,0.837,8.441
7,2387,255,0,255,255,255,769.725,54.283,769.725,54.283,205.823,747.000,19.000,45,71,71.803,42.327,90.911,0.708,72.007,608685,255,NaN,NaN,100,608685,766,19,99.593,45.000,1.696,0.589,0.893,766,19,11.597,1.600,0.768,0.747,7,2673.500,192.471,29.403,0.853,0.760,8.063,0.805,0.758,7.817
8,588,255,0,255,255,255,566.560,34.391,566.560,34.391,93.740,552.000,20.000,29,28,31.345,23.884,47.037,0.841,33.287,149940,255,NaN,NaN,100,149940,557,48,57.265,25.456,1.312,0.762,0.933,570,20,6.273,1.308,0.873,0.724,4,630.000,93.432,23.435,0.966,0.929,9.479,0.892,0.914,9.032
9,443,255,0,255,255,255,666.279,33.358,666.279,33.358,82.225,652.000,20.000,28,26,25.927,21.755,168.781,0.823,28.460,112965,255,NaN,NaN,100,112965,652,31,161.565,22.021,1.192,0.839,0.904,666,20,5.388,1.292,0.916,0.609,4,490.000,82.399,20.556,0.977,0.952,9.641,0.884,0.919,9.013
10,1187,255,0,255,255,255,879.996,38.513,879.996,38.513,141.882,856.000,20.000,47,37,49.642,30.445,154.023,0.741,54.203,302685,255,NaN,NaN,100,302685,856,21,150.124,31.154,1.631,0.613,0.943,860,20,8.366,1.740,0.783,0.683,3,1258.500,132.054,47.294,0.903,0.774,8.389,0.789,0.701,7.452
