 ,Neighbors,Image 43 zo-1 donut b&w.tif
1,0,0
2,1,4
3,2,18
4,3,58
5,4,114
6,5,276
7,6,330
8,7,168
9,8,27
10,9,9
11,10,2
12,11,0
13,12,1
14,13,2
15,14,0
16,15,0
17,16,0
18,17,1
