 ,Neighbors,Image 4 zo-1 donut b&w.tif
1,0,0
2,1,9
3,2,23
4,3,41
5,4,53
6,5,79
7,6,107
8,7,41
9,8,11
10,9,2
11,10,0
12,11,2
13,12,1
