 ,Neighbors,Image 19 zo-1 donut b&w.tif
1,0,3
2,1,3
3,2,26
4,3,38
5,4,82
6,5,111
7,6,127
8,7,48
9,8,9
10,9,4
11,10,1
12,11,1
13,12,1
14,13,1
15,14,0
16,15,0
17,16,1
