 ,Neighbors,Image 25 zo-1 donut b&w.tif
1,0,0
2,1,4
3,2,26
4,3,65
5,4,125
6,5,239
7,6,276
8,7,126
9,8,30
10,9,7
11,10,9
12,11,2
13,12,1
14,13,1
