 ,Neighbors,Image 36 zo-1 donut b&w.tif
1,0,0
2,1,3
3,2,19
4,3,71
5,4,121
6,5,289
7,6,359
8,7,172
9,8,32
10,9,3
11,10,2
12,11,2
13,12,0
14,13,0
15,14,1
