 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,755,255,0,255,255,255,681.889,25.828,681.889,25.828,110.225,666.000,8.000,32,35,34.689,27.712,67.015,0.781,36.892,192525,255,NaN,NaN,100,192525,669,40,57.171,30.647,1.252,0.799,0.892,676,8,6.850,1.204,0.894,0.674,4,846.000,108.271,27.556,0.997,0.994,9.957,0.884,0.950,9.169
2,279,255,0,255,255,255,599.894,19.439,599.894,19.439,69.012,588.000,10.000,23,20,25.491,13.936,149.606,0.736,26.627,71145,255,NaN,NaN,100,71145,589,11,145.713,16.028,1.829,0.547,0.899,590,10,4.043,1.661,0.739,0.607,2,310.500,65.593,34.506,NaN,NaN,NaN,NaN,NaN,NaN
3,890,255,0,255,255,255,737.166,26.934,737.166,26.934,118.468,718.000,10.000,38,35,39.653,28.577,149.865,0.797,40.497,226950,255,NaN,NaN,100,226950,718,20,159.775,31.556,1.388,0.721,0.925,725,10,7.513,1.283,0.849,0.669,3,962.500,115.485,39.489,0.871,0.682,7.765,0.890,0.918,9.041
4,656,255,0,255,255,255,824.537,23.181,824.537,23.181,102.326,807.000,11.000,38,24,36.708,22.753,178.190,0.787,38.328,167280,255,NaN,NaN,100,167280,807,24,7.496,22.687,1.613,0.620,0.932,814,11,6.411,1.689,0.787,0.719,3,704.000,98.767,34.109,0.876,0.698,7.871,0.805,0.734,7.698
5,647,255,0,255,255,255,533.322,28.886,533.322,28.886,110.225,510.000,17.000,45,23,42.935,19.187,12.137,0.669,45.541,164985,255,NaN,NaN,100,164985,510,30,8.842,20.743,2.238,0.447,0.913,545,17,5.870,2.196,0.668,0.625,3,708.500,99.082,36.742,0.951,0.893,9.218,0.690,0.498,5.937
6,772,255,0,255,255,255,792.223,34.451,792.223,34.451,107.640,775.000,18.000,35,32,37.242,26.393,44.758,0.837,39.623,196860,255,NaN,NaN,100,196860,779,49,47.045,26.140,1.411,0.709,0.936,790,18,7.172,1.516,0.842,0.689,4,824.500,106.886,26.910,0.969,0.934,9.512,0.847,0.818,8.322
7,922,255,0,255,255,255,856.051,34.539,856.051,34.539,118.368,835.000,18.000,43,32,39.251,29.908,6.092,0.827,43.738,235110,255,NaN,NaN,100,235110,835,38,10.539,31.071,1.312,0.762,0.936,849,18,7.789,1.408,0.873,0.670,4,985.000,116.827,29.592,0.975,0.947,9.608,0.867,0.863,8.652
8,595,255,0,255,255,255,589.448,35.204,589.448,35.204,96.083,575.000,19.000,28,30,31.489,24.058,124.066,0.810,33.601,151725,255,NaN,NaN,100,151725,575,27,143.471,26.368,1.309,0.764,0.923,585,19,6.193,1.274,0.874,0.708,4,644.500,94.501,24.021,0.985,0.969,9.768,0.889,0.922,9.054
9,846,255,0,255,255,255,649.488,35.689,649.488,35.689,113.640,632.000,19.000,36,34,36.074,29.860,166.396,0.823,37.947,215730,255,NaN,NaN,100,215730,632,28,161.565,29.945,1.208,0.828,0.933,642,19,7.445,1.267,0.910,0.691,4,907.000,112.106,28.410,0.977,0.952,9.643,0.900,0.931,9.157
10,288,255,0,255,255,255,708.333,29.799,708.333,29.799,67.355,697.000,22.000,23,17,22.487,16.307,175.321,0.798,23.770,73440,255,NaN,NaN,100,73440,698,24,157.751,17.000,1.379,0.725,0.909,699,22,4.276,1.398,0.852,0.737,4,317.000,66.276,16.839,0.992,0.984,9.883,0.862,0.866,8.640
