 ,Neighbors,Image 29 zo-1 donut b&w.tif
1,0,1
2,1,7
3,2,12
4,3,36
5,4,55
6,5,60
7,6,47
8,7,28
9,8,7
10,9,2
11,10,4
12,11,1
13,12,3
14,13,0
15,14,2
16,15,0
17,16,0
18,17,0
19,18,0
20,19,0
21,20,1
