 ,Neighbors,Image 17 zo-1 donut b&w.tif
1,0,0
2,1,7
3,2,21
4,3,76
5,4,133
6,5,244
7,6,286
8,7,122
9,8,29
10,9,6
11,10,1
12,11,5
13,12,1
