 ,Neighbors,Image 30 zo-1 donut b&w.tif
1,0,0
2,1,3
3,2,16
4,3,68
5,4,116
6,5,188
7,6,205
8,7,88
9,8,31
10,9,5
11,10,5
12,11,2
13,12,1
14,13,0
15,14,1
