 ,Neighbors,Image 2 zo-1 donut b&w.tif
1,0,6
2,1,12
3,2,38
4,3,77
5,4,92
6,5,136
7,6,109
8,7,46
9,8,6
10,9,3
11,10,3
12,11,0
13,12,1
