 ,Neighbors,Image 41 zo-1 donut b&w.tif
1,0,1
2,1,6
3,2,22
4,3,64
5,4,106
6,5,205
7,6,246
8,7,98
9,8,16
10,9,11
11,10,4
12,11,2
13,12,0
14,13,2
15,14,1
