 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,124,255,0,255,255,255,508.202,227.185,508.202,227.185,43.456,500.000,222.000,17,10,16.672,9.470,165.382,0.825,18.028,31620,255,NaN,NaN,100,31620,500,224,160.560,10.000,1.761,0.568,0.905,505,222,2.853,1.803,0.754,0.729,0,137.000,43.570,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,73,255,0,255,255,255,183.021,433.596,183.021,433.596,35.213,177.000,429.000,13,9,14.970,6.209,153.704,0.740,15.811,18615,255,NaN,NaN,100,18615,177,429,145.305,7.273,2.411,0.415,0.880,177,429,2.073,2.174,0.644,0.624,0,83.000,33.913,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,119,255,0,255,255,255,216.508,451.013,216.508,451.013,43.113,210.000,445.000,15,13,13.560,11.174,155.414,0.805,16.155,30345,255,NaN,NaN,100,30345,210,447,158.199,12.494,1.214,0.824,0.865,214,445,2.760,1.293,0.908,0.610,1,137.500,43.649,43.113,NaN,NaN,NaN,NaN,NaN,NaN
4,67,255,0,255,255,255,222.799,459.769,222.799,459.769,33.213,217.000,454.000,10,11,9.801,8.704,106.801,0.763,11.705,17085,255,NaN,NaN,100,17085,222,465,70.017,9.700,1.126,0.888,0.848,225,454,2.017,1.207,0.942,0.609,1,79.000,33.086,33.213,NaN,NaN,NaN,NaN,NaN,NaN
5,624,255,0,255,255,255,186.032,477.101,186.032,477.101,113.397,171.000,458.000,30,39,47.338,16.784,123.550,0.610,48.010,159120,255,NaN,NaN,100,159120,172,458,125.676,19.003,2.820,0.355,0.879,172,458,5.503,2.526,0.595,0.533,1,709.500,99.152,113.397,NaN,NaN,NaN,NaN,NaN,NaN
6,131,255,0,255,255,255,195.439,464.218,195.439,464.218,45.698,188.000,459.000,16,13,14.945,11.161,26.962,0.788,16.763,33405,255,NaN,NaN,100,33405,188,465,17.354,13.000,1.339,0.747,0.897,194,459,2.867,1.289,0.864,0.630,1,146.000,44.978,45.698,NaN,NaN,NaN,NaN,NaN,NaN
7,247,255,0,255,255,255,104.476,692.051,104.476,692.051,71.113,99.000,676.000,11,31,29.957,10.498,89.143,0.614,31.064,62985,255,NaN,NaN,100,62985,104,676,93.691,11.000,2.854,0.350,0.911,104,676,3.473,2.824,0.592,0.724,0,271.000,61.279,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,277,255,0,255,255,255,70.168,758.514,70.168,758.514,67.113,56.000,752.000,25,15,23.736,14.859,175.592,0.773,25.710,70635,255,NaN,NaN,100,70635,56,755,166.504,15.000,1.597,0.626,0.939,65,752,4.127,1.714,0.791,0.739,0,295.000,63.935,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,5846,255,0,255,255,255,1106.215,939.112,1106.215,939.112,356.392,1076.000,860.000,64,144,139.632,53.307,99.553,0.578,147.733,1490730,255,NaN,NaN,100,1490730,1086,860,102.907,63.948,2.619,0.382,0.911,1086,860,16.403,2.310,0.618,0.634,3,6415.000,298.142,118.797,0.978,0.957,9.671,0.639,0.411,5.250
10,1463,255,0,255,255,255,1080.886,1012.653,1080.886,1012.653,168.610,1065.000,981.000,34,62,63.340,29.409,82.172,0.647,64.031,373065,255,NaN,NaN,100,373065,1070,1043,75.530,31.358,2.154,0.464,0.899,1085,981,8.677,2.042,0.681,0.694,3,1627.000,150.148,56.203,0.967,0.930,9.487,0.714,0.558,6.364
