 ,Neighbors,Image 35 zo-1 donut b&w.tif
1,0,4
2,1,5
3,2,24
4,3,34
5,4,72
6,5,112
7,6,93
8,7,45
9,8,13
10,9,8
11,10,3
12,11,4
