 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,947,255,0,255,255,255,607.027,21.788,607.027,21.788,118.811,588.000,4.000,37,35,37.788,31.909,21.832,0.843,40.311,241485,255,NaN,NaN,100,241485,589,30,29.745,33.611,1.184,0.844,0.937,610,4,7.971,1.199,0.919,0.731,5,1011.000,118.359,23.762,0.987,0.975,9.810,0.913,0.965,9.392
2,562,255,0,255,255,255,638.633,17.367,638.633,17.367,90.426,625.000,4.000,29,25,29.297,24.425,4.957,0.864,31.385,143310,255,NaN,NaN,100,143310,625,26,22.479,25.000,1.199,0.834,0.951,639,4,6.215,1.255,0.913,0.775,3,591.000,90.494,30.142,0.837,0.571,7.041,0.912,0.943,9.279
3,425,255,0,255,255,255,688.611,14.639,688.611,14.639,80.426,675.000,4.000,28,21,26.341,20.543,157.417,0.826,28.636,108375,255,NaN,NaN,100,108375,675,11,167.905,21.000,1.282,0.780,0.922,688,4,5.284,1.364,0.883,0.723,3,461.000,79.924,26.809,0.856,0.634,7.450,0.876,0.886,8.814
4,585,255,0,255,255,255,573.459,17.305,573.459,17.305,95.012,557.000,6.000,32,24,32.732,22.756,1.039,0.814,33.242,149175,255,NaN,NaN,100,149175,557,21,15.709,23.171,1.438,0.695,0.925,578,6,6.157,1.435,0.834,0.762,3,632.500,93.617,31.671,0.862,0.653,7.574,0.859,0.851,8.549
5,789,255,0,255,255,255,793.188,23.571,793.188,23.571,133.054,765.000,10.000,51,29,49.624,20.244,158.042,0.560,52.173,201195,255,NaN,NaN,100,201195,765,14,167.829,24.510,2.451,0.408,0.852,769,10,5.930,2.129,0.639,0.533,3,926.000,113.274,44.351,0.961,0.926,9.437,0.663,0.489,5.757
6,685,255,0,255,255,255,664.855,28.358,664.855,28.358,101.740,649.000,14.000,31,31,31.184,27.968,61.543,0.832,34.015,174675,255,NaN,NaN,100,174675,660,45,65.695,28.968,1.115,0.897,0.928,665,14,6.733,1.174,0.947,0.713,5,738.000,101.124,20.348,0.980,0.962,9.709,0.912,0.975,9.433
7,915,255,0,255,255,255,715.523,33.222,715.523,33.222,117.983,697.000,17.000,37,34,36.858,31.608,145.679,0.826,40.460,233325,255,NaN,NaN,100,233325,704,17,129.987,33.282,1.166,0.858,0.926,704,17,7.755,1.216,0.926,0.727,5,988.000,117.005,23.597,0.977,0.955,9.660,0.902,0.952,9.271
8,1603,255,0,255,255,255,772.698,49.259,772.698,49.259,173.480,754.000,18.000,39,61,59.143,34.509,89.874,0.669,62.370,408765,255,NaN,NaN,100,408765,764,18,102.031,38.399,1.714,0.583,0.864,764,18,9.240,1.624,0.764,0.674,6,1855.500,160.345,28.913,0.836,0.738,7.870,0.785,0.739,7.618
9,689,255,0,255,255,255,553.645,36.304,553.645,36.304,101.397,536.000,22.000,34,29,33.635,26.082,147.534,0.842,35.735,175695,255,NaN,NaN,100,175695,536,33,162.072,28.170,1.290,0.775,0.926,554,22,6.795,1.269,0.881,0.699,5,744.000,101.534,20.279,0.987,0.974,9.802,0.896,0.931,9.135
10,617,255,0,255,255,255,824.516,37.176,824.516,37.176,98.326,810.000,22.000,28,31,30.778,25.524,102.362,0.802,32.802,157335,255,NaN,NaN,100,157335,817,22,127.569,27.458,1.206,0.829,0.914,817,22,6.275,1.195,0.911,0.711,4,675.000,96.711,24.581,0.990,0.979,9.843,0.899,0.959,9.290
11,355,255,0,255,255,255,507.920,37.230,507.920,37.230,72.426,499.000,25.000,20,25,23.511,19.225,99.108,0.850,25.318,90525,255,NaN,NaN,100,90525,507,25,99.090,20.000,1.223,0.818,0.935,507,25,4.902,1.266,0.904,0.710,1,379.500,72.516,72.426,NaN,NaN,NaN,NaN,NaN,NaN
12,482,255,0,255,255,255,689.369,38.504,689.369,38.504,90.912,676.000,25.000,27,29,29.301,20.945,122.369,0.733,31.145,122910,255,NaN,NaN,100,122910,681,25,132.397,23.714,1.399,0.715,0.872,681,25,5.302,1.313,0.845,0.616,5,552.500,87.497,18.182,0.914,0.847,8.806,0.853,0.890,8.715
13,774,255,0,255,255,255,854.655,40.788,854.655,40.788,116.569,836.000,26.000,38,31,41.553,23.717,155.486,0.716,43.566,197370,255,NaN,NaN,100,197370,837,26,148.134,24.249,1.752,0.571,0.924,837,26,6.640,1.797,0.755,0.657,3,837.500,107.725,38.856,0.919,0.816,8.676,0.774,0.675,7.242
14,354,255,0,255,255,255,580.720,37.167,580.720,37.167,72.184,569.000,28.000,25,19,23.874,18.880,174.005,0.854,25.962,90270,255,NaN,NaN,100,90270,569,31,164.358,19.000,1.265,0.791,0.933,578,28,4.904,1.366,0.889,0.745,5,379.500,72.516,14.437,0.994,0.987,9.904,0.880,0.888,8.840
15,1423,255,0,255,255,255,635.883,48.610,635.883,48.610,147.296,614.000,28.000,46,42,45.946,39.433,169.428,0.824,49.649,362865,255,NaN,NaN,100,362865,614,39,152.403,41.036,1.165,0.858,0.935,626,28,9.661,1.210,0.926,0.737,7,1521.500,145.198,21.042,0.937,0.884,9.105,0.909,0.957,9.332
16,624,255,0,255,255,255,745.835,45.024,745.835,45.024,95.255,731.000,32.000,30,27,30.195,26.312,138.917,0.864,33.015,159120,255,NaN,NaN,100,159120,735,32,125.134,27.000,1.148,0.871,0.949,735,32,6.551,1.223,0.933,0.770,4,657.500,95.449,23.814,0.953,0.900,9.265,0.916,0.956,9.359
17,854,255,0,255,255,255,528.397,52.417,528.397,52.417,112.569,512.000,35.000,34,34,35.301,30.802,63.947,0.847,37.577,217770,255,NaN,NaN,100,217770,519,69,64.799,31.305,1.146,0.873,0.939,528,35,7.586,1.200,0.934,0.739,4,909.500,112.260,28.142,0.963,0.922,9.423,0.917,0.967,9.422
18,656,255,0,255,255,255,601.780,52.431,601.780,52.431,100.083,586.000,37.000,29,31,31.143,26.820,116.382,0.823,34.015,167280,255,NaN,NaN,100,167280,595,37,114.305,27.908,1.161,0.861,0.931,595,37,6.555,1.219,0.928,0.730,6,704.500,98.802,16.681,0.950,0.907,9.289,0.905,0.952,9.287
19,188,255,0,255,255,255,883.197,44.718,883.197,44.718,55.456,874.000,38.000,20,13,20.961,11.420,162.744,0.768,21.401,47940,255,NaN,NaN,100,47940,875,38,142.595,11.963,1.835,0.545,0.913,875,38,3.390,1.789,0.738,0.723,1,206.000,53.427,55.456,NaN,NaN,NaN,NaN,NaN,NaN
20,775,255,0,255,255,255,804.119,55.793,804.119,55.793,106.912,789.000,40.000,31,33,34.091,28.945,126.804,0.852,37.802,197625,255,NaN,NaN,100,197625,794,40,127.476,30.400,1.178,0.849,0.938,794,40,7.249,1.243,0.921,0.758,6,826.000,106.983,17.819,0.968,0.940,9.539,0.903,0.940,9.216
