 ,Neighbors,Image 33 zo-1 donut b&w.tif
1,0,2
2,1,3
3,2,19
4,3,76
5,4,100
6,5,226
7,6,263
8,7,125
9,8,19
10,9,5
11,10,1
12,11,0
13,12,0
14,13,1
