 ,Neighbors,Image 15 zo-1 donut b&w.tif
1,0,7
2,1,6
3,2,18
4,3,46
5,4,69
6,5,113
7,6,157
8,7,60
9,8,15
10,9,0
11,10,0
12,11,1
