 ,Neighbors,Image 39 zo-1 donut b&w.tif
1,0,5
2,1,0
3,2,11
4,3,24
5,4,35
6,5,46
7,6,64
8,7,19
9,8,8
10,9,2
11,10,0
12,11,1
