 ,Neighbors,Image 8 zo-1 donut b&w.tif
1,0,1
2,1,5
3,2,8
4,3,28
5,4,26
6,5,34
7,6,28
8,7,5
9,8,3
10,9,0
11,10,0
12,11,0
13,12,0
14,13,0
15,14,1
