 ,Neighbors,Image 31 zo-1 donut b&w.tif
1,0,1
2,1,1
3,2,13
4,3,73
5,4,149
6,5,300
7,6,408
8,7,167
9,8,44
10,9,10
11,10,3
12,11,2
13,12,2
14,13,1
