 ,Neighbors,Image 16 zo-1 donut b&w.tif
1,0,5
2,1,11
3,2,37
4,3,69
5,4,88
6,5,184
7,6,179
8,7,74
9,8,23
10,9,3
11,10,4
12,11,1
13,12,1
