 ,Neighbors,Image 45 zo-1 donut b&w.tif
1,0,0
2,1,1
3,2,19
4,3,66
5,4,121
6,5,263
7,6,341
8,7,149
9,8,34
10,9,6
11,10,3
12,11,1
13,12,2
