 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,1358,255,0,255,255,255,514.909,42.825,514.909,42.825,158.368,489.000,23.000,50,45,47.916,36.085,30.236,0.680,51.088,346290,255,NaN,NaN,100,346290,497,56,40.236,41.071,1.328,0.753,0.882,527,23,8.575,1.244,0.868,0.604,4,1540.500,146.102,39.592,0.926,0.866,8.960,0.852,0.895,8.737
2,743,255,0,255,255,255,478.924,52.845,478.924,52.845,106.569,463.000,38.000,33,31,32.398,29.200,161.313,0.822,35.114,189465,255,NaN,NaN,100,189465,463,44,160.017,30.123,1.110,0.901,0.926,487,38,6.972,1.166,0.949,0.726,5,802.000,105.417,21.314,0.974,0.951,9.625,0.911,0.974,9.425
3,598,255,0,255,255,255,535.565,59.856,535.565,59.856,96.225,521.000,43.000,28,33,33.824,22.510,54.107,0.812,35.847,152490,255,NaN,NaN,100,152490,529,75,59.859,24.042,1.503,0.666,0.924,540,43,6.215,1.491,0.816,0.647,3,647.500,94.721,32.075,0.863,0.658,7.604,0.846,0.825,8.354
4,144,255,0,255,255,255,455.250,51.431,455.250,51.431,46.385,447.000,45.000,15,12,16.562,11.070,22.747,0.841,18.028,36720,255,NaN,NaN,100,36720,447,55,33.690,11.672,1.496,0.668,0.938,457,45,3.104,1.544,0.818,0.800,3,153.500,46.119,15.462,0.848,0.609,7.284,0.838,0.802,8.201
5,132,255,0,255,255,255,441.076,59.091,441.076,59.091,42.870,434.000,53.000,14,13,13.577,12.378,26.655,0.903,15.000,33660,255,NaN,NaN,100,33660,434,62,36.870,12.728,1.097,0.912,0.910,439,53,3.079,1.179,0.955,0.725,2,145.000,44.824,21.435,NaN,NaN,NaN,NaN,NaN,NaN
6,301,255,0,255,255,255,574.497,64.075,574.497,64.075,67.355,563.000,55.000,24,17,22.432,17.085,178.840,0.834,24.083,76755,255,NaN,NaN,100,76755,563,65,4.764,17.000,1.313,0.762,0.925,579,55,4.469,1.417,0.873,0.738,3,325.500,67.158,22.452,0.852,0.621,7.363,0.866,0.862,8.641
7,694,255,0,255,255,255,459.437,73.013,459.437,73.013,101.397,444.000,57.000,29,34,34.513,25.603,119.857,0.848,36.674,176970,255,NaN,NaN,100,176970,449,58,115.866,26.926,1.348,0.742,0.938,457,57,6.844,1.362,0.861,0.704,6,739.500,101.227,16.899,0.966,0.935,9.507,0.883,0.890,8.863
8,315,255,0,255,255,255,500.617,69.367,500.617,69.367,69.598,490.000,57.000,21,22,24.518,16.358,137.319,0.817,26.627,80325,255,NaN,NaN,100,80325,496,57,124.287,17.440,1.499,0.667,0.929,496,57,4.526,1.527,0.817,0.682,5,339.000,68.537,13.920,0.971,0.945,9.581,0.838,0.808,8.227
9,617,255,0,255,255,255,552.735,77.077,552.735,77.077,96.912,537.000,62.000,30,29,28.925,27.159,56.017,0.826,31.890,157335,255,NaN,NaN,100,157335,541,88,48.814,28.277,1.065,0.939,0.927,549,62,6.367,1.128,0.969,0.709,5,665.500,96.028,19.382,0.976,0.955,9.656,0.907,0.969,9.380
10,520,255,0,255,255,255,597.842,74.587,597.842,74.587,88.083,583.000,62.000,28,26,28.822,22.971,132.189,0.842,30.806,132600,255,NaN,NaN,100,132600,588,63,125.754,23.687,1.255,0.797,0.922,593,62,5.904,1.301,0.893,0.714,4,564.000,88.403,22.021,0.966,0.928,9.467,0.891,0.918,9.045
11,253,255,0,255,255,255,483.168,76.069,483.168,76.069,62.042,474.000,68.000,20,16,19.992,16.113,166.553,0.826,21.541,64515,255,NaN,NaN,100,64515,474,70,158.199,16.000,1.241,0.806,0.928,481,68,4.078,1.346,0.898,0.791,5,272.500,61.448,12.408,0.977,0.955,9.659,0.882,0.894,8.879
12,541,255,0,255,255,255,525.493,83.600,525.493,83.600,98.569,512.000,68.000,28,33,35.990,19.139,129.569,0.700,38.275,137955,255,NaN,NaN,100,137955,512,69,123.275,22.534,1.880,0.532,0.866,514,68,5.489,1.699,0.729,0.585,8,624.500,93.023,12.321,0.836,0.738,7.870,0.772,0.710,7.411
13,1005,255,0,255,255,255,624.008,91.869,624.008,91.869,125.054,607.000,72.000,34,41,39.882,32.085,96.100,0.808,41.785,256275,255,NaN,NaN,100,256275,612,74,111.038,32.836,1.243,0.805,0.917,623,72,8.037,1.273,0.897,0.721,5,1096.500,123.262,25.011,0.965,0.934,9.495,0.892,0.926,9.090
14,727,255,0,255,255,255,577.096,89.662,577.096,89.662,106.225,563.000,73.000,30,36,34.756,26.633,90.051,0.810,37.108,185385,255,NaN,NaN,100,185385,568,73,104.036,28.846,1.305,0.766,0.931,568,73,6.844,1.286,0.875,0.673,6,781.000,104.028,17.704,0.942,0.893,9.172,0.890,0.918,9.039
15,679,255,0,255,255,255,653.716,94.011,653.716,94.011,104.326,640.000,77.000,29,34,37.536,23.032,128.238,0.784,39.623,173145,255,NaN,NaN,100,173145,640,80,137.045,25.300,1.630,0.614,0.937,648,77,6.508,1.566,0.783,0.689,3,724.500,100.195,34.775,0.878,0.703,7.908,0.827,0.784,8.055
16,238,255,0,255,255,255,501.849,85.538,501.849,85.538,62.184,491.000,78.000,23,16,21.775,13.917,0.695,0.773,23.195,60690,255,NaN,NaN,100,60690,491,84,172.569,15.839,1.565,0.639,0.893,495,78,3.827,1.464,0.799,0.647,5,266.500,60.768,12.437,0.943,0.894,9.185,0.837,0.828,8.325
17,452,255,0,255,255,255,457.504,99.314,457.504,99.314,90.468,444.000,83.000,28,31,35.333,16.288,130.842,0.694,35.847,115260,255,NaN,NaN,100,115260,449,83,120.141,18.028,2.169,0.461,0.891,449,83,4.996,1.988,0.679,0.521,3,507.500,83.858,30.156,0.933,0.852,8.928,0.728,0.592,6.597
18,739,255,0,255,255,255,483.377,98.936,483.377,98.936,108.468,465.000,83.000,33,34,37.682,24.970,134.691,0.789,39.115,188445,255,NaN,NaN,100,188445,465,92,147.529,27.643,1.509,0.663,0.917,474,83,6.813,1.415,0.814,0.659,7,805.500,105.647,15.495,0.913,0.847,8.802,0.859,0.856,8.573
19,493,255,0,255,255,255,510.498,101.993,510.498,101.993,88.669,498.000,88.000,26,28,27.993,22.424,54.065,0.788,30.000,125715,255,NaN,NaN,100,125715,499,112,53.130,24.412,1.248,0.801,0.910,514,88,5.560,1.229,0.895,0.677,5,541.500,86.621,17.734,0.952,0.911,9.318,0.889,0.940,9.144
20,942,255,0,255,255,255,553.272,106.554,553.272,106.554,123.640,533.000,89.000,40,35,41.675,28.780,145.973,0.774,44.045,240210,255,NaN,NaN,100,240210,539,91,140.528,31.467,1.448,0.691,0.918,541,89,7.619,1.400,0.831,0.673,7,1026.500,119.263,17.663,0.903,0.831,8.669,0.860,0.860,8.597
21,270,255,0,255,255,255,599.626,97.352,599.626,97.352,62.527,589.000,89.000,20,18,19.528,17.604,167.048,0.868,20.616,68850,255,NaN,NaN,100,68850,594,89,129.094,18.000,1.109,0.901,0.929,594,89,4.318,1.145,0.949,0.750,5,290.500,63.445,12.505,0.998,0.996,9.974,0.915,0.977,9.460
22,340,255,0,255,255,255,527.062,112.768,527.062,112.768,72.083,516.000,100.000,22,24,22.309,19.404,74.195,0.822,24.698,86700,255,NaN,NaN,100,86700,522,124,68.629,21.301,1.150,0.870,0.912,525,100,4.717,1.159,0.933,0.644,5,373.000,71.892,14.417,0.974,0.951,9.626,0.891,0.955,9.228
23,421,255,0,255,255,255,587.006,114.334,587.006,114.334,79.255,574.000,101.000,24,25,24.552,21.833,8.362,0.842,26.833,107355,255,NaN,NaN,100,107355,574,110,153.435,23.702,1.125,0.889,0.918,588,101,5.312,1.132,0.943,0.702,6,458.500,79.707,13.209,0.962,0.929,9.455,0.899,0.959,9.291
24,496,255,0,255,255,255,696.159,113.091,696.159,113.091,88.225,681.000,101.000,31,26,28.257,22.349,2.003,0.801,31.257,126480,255,NaN,NaN,100,126480,681,113,7.352,24.220,1.264,0.791,0.904,690,101,5.622,1.291,0.889,0.615,4,548.500,87.179,22.056,0.990,0.980,9.854,0.876,0.911,8.934
25,210,255,0,255,255,255,721.757,110.181,721.757,110.181,56.284,712.000,102.000,19,15,19.160,13.955,158.828,0.833,21.024,53550,255,NaN,NaN,100,53550,712,107,154.654,15.000,1.373,0.728,0.903,720,102,3.731,1.402,0.853,0.737,3,232.500,56.759,18.761,0.852,0.622,7.371,0.860,0.865,8.623
26,713,255,0,255,255,255,643.560,119.326,643.560,119.326,102.468,627.000,103.000,31,34,31.106,29.185,124.119,0.853,34.366,181815,255,NaN,NaN,100,181815,640,103,98.366,29.954,1.066,0.938,0.927,640,103,6.958,1.147,0.969,0.676,6,769.000,103.226,17.078,0.969,0.941,9.550,0.913,0.979,9.462
27,727,255,0,255,255,255,613.895,122.507,613.895,122.507,109.054,599.000,105.000,31,37,37.214,24.873,126.360,0.768,38.910,185385,255,NaN,NaN,100,185385,600,107,115.907,27.136,1.496,0.668,0.903,608,105,6.666,1.434,0.818,0.634,7,805.000,105.614,15.579,0.899,0.824,8.614,0.849,0.844,8.465
28,427,255,0,255,255,255,671.481,119.708,671.481,119.708,82.426,659.000,108.000,26,24,27.192,19.994,156.635,0.790,28.636,108885,255,NaN,NaN,100,108885,659,112,155.225,21.419,1.360,0.735,0.893,669,108,5.180,1.337,0.857,0.684,5,478.000,81.384,16.485,0.954,0.913,9.334,0.868,0.892,8.802
29,229,255,0,255,255,255,479.063,117.845,479.063,117.845,61.598,468.000,109.000,22,17,24.121,12.088,150.885,0.758,24.187,58395,255,NaN,NaN,100,58395,468,114,150.255,13.272,1.995,0.501,0.905,472,109,3.718,1.822,0.708,0.612,3,253.000,59.209,20.533,0.893,0.746,8.192,0.770,0.674,7.217
30,980,255,0,255,255,255,505.685,133.276,505.685,133.276,128.468,490.000,113.000,33,45,40.467,30.834,94.309,0.746,45.706,249900,255,NaN,NaN,100,249900,499,113,100.081,32.257,1.312,0.762,0.898,499,113,7.628,1.417,0.873,0.660,6,1091.000,122.953,21.411,0.898,0.823,8.602,0.846,0.846,8.459
31,500,255,0,255,255,255,715.066,126.740,715.066,126.740,88.912,698.000,115.000,33,22,31.722,20.069,15.555,0.795,33.838,127500,255,NaN,NaN,100,127500,698,129,18.970,22.000,1.581,0.633,0.923,711,115,5.624,1.538,0.795,0.689,6,542.000,86.661,14.819,0.932,0.876,9.041,0.832,0.799,8.154
32,287,255,0,255,255,255,742.096,124.068,742.096,124.068,67.698,731.000,116.000,23,17,24.419,14.964,166.433,0.787,25.495,73185,255,NaN,NaN,100,73185,731,117,154.440,15.665,1.632,0.613,0.903,732,116,4.239,1.627,0.783,0.734,4,318.000,66.380,16.925,0.999,0.998,9.985,0.811,0.762,7.862
33,835,255,0,255,255,255,541.196,133.605,541.196,133.605,113.983,523.000,118.000,36,32,36.689,28.978,178.127,0.808,38.484,212925,255,NaN,NaN,100,212925,523,125,155.433,30.506,1.266,0.790,0.926,539,118,7.326,1.262,0.889,0.725,6,902.000,111.797,18.997,0.940,0.891,9.154,0.896,0.931,9.136
34,516,255,0,255,255,255,573.519,132.386,573.519,132.386,93.355,558.000,120.000,30,23,31.742,20.698,174.441,0.744,32.757,131580,255,NaN,NaN,100,131580,560,125,148.736,22.698,1.534,0.652,0.900,573,120,5.527,1.443,0.808,0.748,6,573.500,89.144,15.559,0.896,0.820,8.582,0.843,0.835,8.390
35,323,255,0,255,255,255,597.289,135.296,597.289,135.296,69.012,589.000,123.000,19,24,22.344,18.406,94.401,0.852,24.187,82365,255,NaN,NaN,100,82365,596,147,82.875,19.000,1.214,0.824,0.922,598,123,4.680,1.273,0.908,0.708,5,350.500,69.690,13.802,0.993,0.985,9.891,0.896,0.931,9.131
36,394,255,0,255,255,255,689.769,136.383,689.769,136.383,77.740,678.000,123.000,24,26,23.999,20.903,105.614,0.819,27.203,100470,255,NaN,NaN,100,100470,686,123,107.103,22.188,1.148,0.871,0.900,686,123,5.068,1.226,0.933,0.631,6,438.000,77.904,12.957,0.948,0.903,9.256,0.885,0.941,9.130
37,751,255,0,255,255,255,661.608,142.168,661.608,142.168,107.054,644.000,127.000,36,31,34.996,27.324,14.527,0.823,37.121,191505,255,NaN,NaN,100,191505,644,150,27.255,28.200,1.281,0.781,0.926,659,127,7.015,1.316,0.884,0.673,6,811.000,106.007,17.842,0.951,0.908,9.293,0.888,0.908,8.981
38,558,255,0,255,255,255,734.932,143.815,734.932,143.815,91.397,722.000,129.000,28,30,28.636,24.810,136.429,0.839,31.048,142290,255,NaN,NaN,100,142290,731,129,104.931,25.896,1.154,0.866,0.925,731,129,6.105,1.199,0.931,0.664,6,603.000,91.408,15.233,0.961,0.926,9.431,0.908,0.965,9.363
39,244,255,0,255,255,255,755.496,138.844,755.496,138.844,59.941,746.000,129.000,18,19,19.657,15.804,131.803,0.853,21.260,62220,255,NaN,NaN,100,62220,746,134,138.814,17.321,1.244,0.804,0.916,754,129,4.071,1.227,0.897,0.713,4,266.500,60.768,14.985,0.959,0.913,9.364,0.894,0.942,9.181
40,445,255,0,255,255,255,631.828,143.693,631.828,143.693,82.225,617.000,130.000,26,28,24.283,23.333,162.771,0.827,28.160,113475,255,NaN,NaN,100,113475,631,130,96.116,23.815,1.041,0.961,0.908,631,130,5.412,1.182,0.980,0.611,6,490.000,82.399,13.704,0.953,0.912,9.324,0.896,0.963,9.297
