 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,1116,255,0,255,255,255,572.712,24.372,572.712,24.372,124.811,554.000,5.000,36,39,39.215,36.235,90.616,0.900,41.629,284580,255,NaN,NaN,100,284580,565,43,65.898,35.390,1.082,0.924,0.955,578,5,8.942,1.176,0.961,0.795,5,1168.500,127.245,24.962,0.980,0.959,9.696,0.926,0.977,9.511
2,456,255,0,255,255,255,756.958,15.860,756.958,15.860,86.184,741.000,6.000,31,20,30.867,18.809,171.090,0.771,32.311,116280,255,NaN,NaN,100,116280,741,11,158.199,19.556,1.641,0.609,0.931,745,6,5.291,1.652,0.781,0.735,2,490.000,82.399,43.092,NaN,NaN,NaN,NaN,NaN,NaN
3,870,255,0,255,255,255,691.940,22.745,691.940,22.745,117.154,673.000,7.000,38,32,39.750,27.867,158.882,0.797,42.720,221850,255,NaN,NaN,100,221850,674,11,147.426,29.122,1.426,0.701,0.933,689,7,7.426,1.467,0.837,0.715,3,932.000,113.641,39.051,0.871,0.683,7.769,0.852,0.833,8.426
4,1009,255,0,255,255,255,730.358,27.171,730.358,27.171,122.468,711.000,9.000,39,36,38.683,33.211,154.548,0.845,41.677,257295,255,NaN,NaN,100,257295,712,18,149.744,35.200,1.165,0.859,0.936,725,9,8.239,1.184,0.927,0.719,5,1078.000,122.218,24.494,0.989,0.978,9.831,0.913,0.970,9.418
5,584,255,0,255,255,255,602.993,22.284,602.993,22.284,92.870,590.000,10.000,28,24,29.104,25.549,166.917,0.851,32.650,148920,255,NaN,NaN,100,148920,590,12,139.970,24.000,1.139,0.878,0.961,598,10,6.288,1.360,0.937,0.869,3,607.500,91.748,30.957,0.843,0.593,7.178,0.889,0.890,8.894
6,322,255,0,255,255,255,543.624,23.708,543.624,23.708,70.627,532.000,15.000,22,18,23.379,17.536,153.607,0.811,27.203,82110,255,NaN,NaN,100,82110,532,16,143.973,18.000,1.333,0.750,0.940,534,15,4.559,1.511,0.866,0.813,3,342.500,68.890,23.542,0.863,0.658,7.608,0.840,0.809,8.248
7,306,255,0,255,255,255,527.144,28.575,527.144,28.575,70.669,516.000,18.000,21,24,25.872,15.059,123.432,0.770,26.401,78030,255,NaN,NaN,100,78030,521,18,114.624,16.413,1.718,0.582,0.915,521,18,4.330,1.608,0.763,0.607,3,334.500,68.081,23.556,0.886,0.726,8.063,0.815,0.766,7.905
8,760,255,0,255,255,255,807.089,31.720,807.089,31.720,113.397,787.000,18.000,42,27,41.364,23.394,4.945,0.743,43.658,193800,255,NaN,NaN,100,193800,788,41,20.095,25.811,1.768,0.566,0.920,801,18,6.702,1.691,0.752,0.670,3,826.500,107.016,37.799,0.902,0.772,8.369,0.793,0.722,7.578
9,348,255,0,255,255,255,627.029,29.845,627.029,29.845,71.841,616.000,20.000,23,22,22.824,19.413,35.415,0.847,24.042,88740,255,NaN,NaN,100,88740,616,35,16.928,21.213,1.176,0.851,0.928,626,20,4.844,1.133,0.922,0.688,3,375.000,72.084,23.947,0.845,0.599,7.216,0.910,0.971,9.404
10,729,255,0,255,255,255,514.567,41.043,514.567,41.043,111.640,497.000,22.000,35,34,39.862,23.285,133.275,0.735,41.725,185895,255,NaN,NaN,100,185895,502,26,135.971,24.763,1.712,0.584,0.876,511,22,6.530,1.685,0.764,0.613,5,832.500,107.403,22.328,0.915,0.850,8.826,0.787,0.729,7.578
