 ,Neighbors,Image 10 zo-1 donut b&w.tif
1,0,0
2,1,0
3,2,19
4,3,60
5,4,144
6,5,269
7,6,319
8,7,139
9,8,48
10,9,15
11,10,6
12,11,2
13,12,2
14,13,1
