 ,Neighbors,Image 40 zo-1 donut b&w.tif
1,0,0
2,1,2
3,2,23
4,3,67
5,4,107
6,5,239
7,6,372
8,7,152
9,8,28
10,9,1
11,10,2
12,11,2
13,12,0
14,13,1
