 ,Neighbors,Image 6 zo-1 donut b&w.tif
1,0,0
2,1,13
3,2,26
4,3,52
5,4,77
6,5,123
7,6,143
8,7,57
9,8,11
10,9,4
11,10,1
12,11,2
13,12,0
14,13,0
15,14,0
16,15,0
17,16,0
18,17,0
19,18,0
20,19,1
