 ,Neighbors,Image 20 zo-1 donut b&w.tif
1,0,2
2,1,1
3,2,21
4,3,53
5,4,103
6,5,178
7,6,196
8,7,108
9,8,27
10,9,9
11,10,2
12,11,1
