 ,Neighbors,Image 1 zo-1 donut b&w.tif
1,0,4
2,1,7
3,2,21
4,3,74
5,4,122
6,5,209
7,6,264
8,7,101
9,8,27
10,9,6
11,10,7
12,11,3
13,12,4
