 ,Neighbors,Image 22 zo-1 donut b&w.tif
1,0,3
2,1,16
3,2,28
4,3,73
5,4,91
6,5,125
7,6,102
8,7,52
9,8,17
10,9,8
11,10,3
12,11,0
13,12,3
14,13,1
15,14,0
16,15,1
