 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,607,255,0,255,255,255,54.108,681.907,54.108,681.907,99.598,37.000,670.000,33,25,36.124,21.395,150.614,0.769,38.833,154785,255,NaN,NaN,100,154785,38,672,145.491,23.617,1.688,0.592,0.916,41,670,6.095,1.644,0.770,0.736,2,663.000,95.848,49.799,NaN,NaN,NaN,NaN,NaN,NaN
2,853,255,0,255,255,255,86.373,691.629,86.373,691.629,126.368,66.000,672.000,42,37,49.643,21.878,137.768,0.671,53.075,217515,255,NaN,NaN,100,217515,66,672,137.291,23.103,2.269,0.441,0.923,66,672,6.750,2.297,0.664,0.549,4,924.500,113.182,31.592,0.918,0.855,8.865,0.675,0.458,5.662
3,742,255,0,255,255,255,64.480,706.094,64.480,706.094,113.882,41.000,694.000,45,25,45.055,20.969,162.484,0.719,45.891,189210,255,NaN,NaN,100,189210,41,702,168.690,22.979,2.149,0.465,0.927,48,694,6.516,1.997,0.682,0.660,5,800.000,105.286,22.776,0.903,0.831,8.673,0.736,0.591,6.633
4,553,255,0,255,255,255,31.722,710.903,31.722,710.903,94.811,14.000,699.000,36,24,35.309,19.941,156.325,0.773,37.108,141015,255,NaN,NaN,100,141015,14,705,165.964,21.769,1.771,0.565,0.911,20,699,5.833,1.705,0.752,0.640,3,607.000,91.711,31.604,0.884,0.721,8.029,0.794,0.724,7.591
5,296,255,0,255,255,255,118.000,712.385,118.000,712.385,72.426,105.000,702.000,26,19,28.429,13.257,149.609,0.709,29.833,75480,255,NaN,NaN,100,75480,108,702,140.440,15.092,2.144,0.466,0.908,108,702,4.087,1.977,0.683,0.599,3,326.000,67.210,24.142,0.923,0.827,8.753,0.730,0.594,6.620
6,522,255,0,255,255,255,95.931,720.920,95.931,720.920,89.497,82.000,709.000,30,25,27.453,24.210,19.531,0.819,30.414,133110,255,NaN,NaN,100,133110,85,732,27.408,24.626,1.134,0.882,0.921,87,709,5.833,1.235,0.939,0.696,6,566.500,88.598,14.916,0.948,0.903,9.253,0.900,0.945,9.224
7,885,255,0,255,255,255,63.098,729.336,63.098,729.336,119.882,42.000,714.000,42,32,41.516,27.142,168.194,0.774,42.953,225675,255,NaN,NaN,100,225675,42,724,167.905,27.808,1.530,0.654,0.914,51,714,7.382,1.545,0.809,0.658,6,968.500,115.844,19.980,0.917,0.853,8.853,0.830,0.795,8.124
8,1292,255,0,255,255,255,120.962,740.972,120.962,740.972,155.095,99.000,720.000,45,45,47.130,34.904,51.508,0.675,53.824,329460,255,NaN,NaN,100,329460,99,758,35.166,39.261,1.350,0.741,0.870,113,720,8.330,1.371,0.861,0.638,5,1484.500,143.422,31.019,0.868,0.780,8.243,0.824,0.843,8.336
9,926,255,0,255,255,255,26.516,739.276,26.516,739.276,118.368,6.000,722.000,41,34,40.154,29.362,26.714,0.831,41.304,236130,255,NaN,NaN,100,236130,6,744,6.953,30.298,1.368,0.731,0.936,25,722,7.823,1.363,0.855,0.664,4,989.500,117.094,29.592,0.972,0.943,9.575,0.880,0.886,8.833
10,677,255,0,255,255,255,88.866,747.026,88.866,747.026,100.811,72.000,733.000,34,29,34.806,24.766,30.552,0.837,36.401,172635,255,NaN,NaN,100,172635,74,758,37.185,26.163,1.405,0.712,0.929,85,733,6.716,1.391,0.844,0.687,6,728.500,100.471,16.802,0.959,0.923,9.411,0.873,0.875,8.738
11,1024,255,0,255,255,255,51.973,758.450,51.973,758.450,124.610,32.000,740.000,41,38,41.568,31.365,31.839,0.829,43.278,261120,255,NaN,NaN,100,261120,38,775,40.314,31.113,1.325,0.755,0.949,48,740,8.218,1.391,0.869,0.657,6,1078.500,122.246,20.768,0.954,0.914,9.338,0.877,0.872,8.742
12,693,255,0,255,255,255,20.266,770.113,20.266,770.113,107.740,7.000,754.000,30,34,32.215,27.389,76.359,0.750,36.401,176715,255,NaN,NaN,100,176715,9,786,52.815,29.210,1.176,0.850,0.921,12,754,6.432,1.246,0.922,0.679,3,752.500,102.112,35.913,0.898,0.759,8.284,0.879,0.919,8.986
13,778,255,0,255,255,255,127.504,771.902,127.504,771.902,110.083,110.000,756.000,35,30,35.307,28.056,14.794,0.807,36.892,198390,255,NaN,NaN,100,198390,114,786,32.829,28.073,1.258,0.795,0.940,133,756,7.067,1.314,0.891,0.741,2,828.000,107.113,55.042,NaN,NaN,NaN,NaN,NaN,NaN
14,1096,255,0,255,255,255,96.276,781.723,96.276,781.723,129.983,80.000,758.000,33,44,44.680,31.233,88.723,0.815,45.354,279480,255,NaN,NaN,100,279480,87,802,75.964,32.335,1.431,0.699,0.941,95,758,8.432,1.403,0.836,0.755,6,1164.500,127.027,21.664,0.945,0.899,9.220,0.871,0.865,8.683
15,771,255,0,255,255,255,68.750,779.076,68.750,779.076,114.569,51.000,759.000,32,36,37.568,26.130,50.032,0.738,41.869,196605,255,NaN,NaN,100,196605,56,795,49.844,30.255,1.438,0.696,0.912,74,759,6.730,1.384,0.834,0.669,5,845.500,108.239,22.914,0.918,0.854,8.856,0.842,0.848,8.448
16,1230,255,0,255,255,255,35.517,797.593,35.517,797.593,138.468,14.000,776.000,41,42,41.088,38.115,60.534,0.806,45.277,313650,255,NaN,NaN,100,313650,27,818,59.470,39.048,1.078,0.928,0.936,36,776,8.883,1.160,0.963,0.714,5,1314.000,134.934,27.694,0.964,0.932,9.482,0.911,0.968,9.397
17,774,255,0,255,255,255,67.239,808.221,67.239,808.221,109.154,50.000,794.000,36,30,36.063,27.327,29.886,0.816,39.000,197370,255,NaN,NaN,100,197370,50,817,22.620,28.584,1.320,0.758,0.936,65,794,7.091,1.364,0.870,0.717,6,827.000,107.048,18.192,0.946,0.900,9.231,0.878,0.884,8.808
18,827,255,0,255,255,255,93.818,820.026,93.818,820.026,112.326,79.000,803.000,31,36,38.850,27.103,65.617,0.824,40.817,210885,255,NaN,NaN,100,210885,84,838,59.036,27.853,1.433,0.698,0.948,87,803,7.363,1.465,0.835,0.741,5,872.500,109.953,22.465,0.975,0.952,9.639,0.859,0.838,8.482
19,935,255,0,255,255,255,40.729,835.809,40.729,835.809,125.397,26.000,817.000,29,43,42.547,27.980,94.830,0.747,44.643,238425,255,NaN,NaN,100,238425,37,860,74.407,29.000,1.521,0.658,0.925,38,817,7.456,1.539,0.811,0.750,4,1011.000,118.359,31.349,0.975,0.951,9.631,0.830,0.792,8.107
20,777,255,0,255,255,255,113.640,838.548,113.640,838.548,110.811,97.000,819.000,31,37,35.372,27.968,78.731,0.795,37.336,198135,255,NaN,NaN,100,198135,107,856,82.304,29.851,1.265,0.791,0.926,111,819,7.012,1.251,0.889,0.677,2,839.500,107.854,55.406,NaN,NaN,NaN,NaN,NaN,NaN
21,668,255,0,255,255,255,67.940,836.406,67.940,836.406,101.841,54.000,821.000,29,31,30.734,27.673,79.682,0.809,34.828,170340,255,NaN,NaN,100,170340,56,848,50.826,28.609,1.111,0.900,0.928,73,821,6.559,1.217,0.949,0.743,4,719.500,99.848,25.460,0.985,0.969,9.773,0.898,0.947,9.226
22,2427,255,0,255,255,255,73.095,867.335,73.095,867.335,206.551,39.000,839.000,68,54,71.647,43.130,17.893,0.715,70.838,618885,255,NaN,NaN,100,618885,40,880,18.947,48.699,1.661,0.602,0.878,84,839,11.750,1.455,0.776,0.661,5,2763.500,195.684,41.310,0.900,0.827,8.634,0.830,0.824,8.271
23,1346,255,0,255,255,255,74.055,908.140,74.055,908.140,142.468,54.000,888.000,42,43,46.222,37.078,60.108,0.833,49.396,343230,255,NaN,NaN,100,343230,65,931,58.241,39.882,1.247,0.802,0.948,71,888,9.448,1.239,0.896,0.745,1,1420.500,140.296,142.468,NaN,NaN,NaN,NaN,NaN,NaN
24,1120,255,0,255,255,255,1223.975,925.075,1223.975,925.075,132.711,1206.000,902.000,34,45,43.151,33.048,96.723,0.799,45.706,285600,255,NaN,NaN,100,285600,1218,947,79.919,33.537,1.306,0.766,0.934,1225,902,8.439,1.363,0.875,0.732,3,1199.500,128.922,44.237,0.870,0.678,7.740,0.877,0.882,8.794
25,1218,255,0,255,255,255,1188.424,933.424,1188.424,933.424,162.711,1157.000,910.000,53,40,51.655,30.023,28.671,0.578,56.613,310590,255,NaN,NaN,100,310590,1159,946,35.655,36.830,1.721,0.581,0.805,1192,910,7.486,1.537,0.762,0.575,3,1513.500,144.816,54.237,0.977,0.956,9.668,0.753,0.742,7.479
26,933,255,0,255,255,255,1166.766,957.669,1166.766,957.669,156.610,1142.000,935.000,47,42,49.647,23.928,155.775,0.478,49.244,237915,255,NaN,NaN,100,237915,1144,949,156.038,30.402,2.075,0.482,0.704,1154,935,5.957,1.620,0.694,0.473,4,1324.500,135.473,39.153,0.718,0.609,6.634,0.677,0.659,6.682
27,666,255,0,255,255,255,1231.793,957.628,1231.793,957.628,100.326,1216.000,942.000,31,30,31.596,26.838,34.514,0.831,34.438,169830,255,NaN,NaN,100,169830,1216,965,25.821,27.497,1.177,0.849,0.934,1238,942,6.638,1.252,0.922,0.716,3,713.000,99.396,33.442,0.853,0.625,7.387,0.903,0.939,9.213
28,609,255,0,255,255,255,1202.874,957.580,1202.874,957.580,98.083,1189.000,943.000,29,30,32.931,23.547,35.594,0.795,35.000,155295,255,NaN,NaN,100,155295,1190,969,36.870,25.044,1.399,0.715,0.921,1210,943,6.209,1.398,0.846,0.700,6,661.000,95.703,16.347,0.932,0.877,9.047,0.865,0.865,8.652
29,572,255,0,255,255,255,1079.157,978.804,1079.157,978.804,101.497,1070.000,959.000,22,39,39.624,18.380,104.460,0.698,41.110,145860,255,NaN,NaN,100,145860,1070,959,108.435,20.130,2.156,0.464,0.924,1070,959,5.636,2.042,0.681,0.667,1,619.000,92.613,101.497,NaN,NaN,NaN,NaN,NaN,NaN
30,1218,255,0,255,255,255,1152.978,988.094,1152.978,988.094,148.066,1132.000,959.000,40,54,49.779,31.154,63.402,0.698,54.745,310590,255,NaN,NaN,100,310590,1149,1013,80.538,34.857,1.598,0.626,0.878,1156,959,8.226,1.571,0.791,0.564,5,1387.000,138.632,29.613,0.887,0.807,8.472,0.800,0.766,7.830
31,521,255,0,255,255,255,1212.661,980.064,1212.661,980.064,89.255,1200.000,966.000,26,28,28.508,23.269,64.562,0.822,30.610,132855,255,NaN,NaN,100,132855,1203,993,51.633,25.044,1.225,0.816,0.930,1215,966,5.837,1.222,0.903,0.716,4,560.500,88.128,22.314,0.978,0.954,9.656,0.902,0.949,9.252
32,829,255,0,255,255,255,1186.030,988.361,1186.030,988.361,112.468,1168.000,970.000,34,36,35.025,30.136,44.889,0.824,37.643,211395,255,NaN,NaN,100,211395,1170,998,39.611,31.820,1.162,0.860,0.925,1189,970,7.371,1.183,0.928,0.677,6,896.000,111.424,18.745,0.951,0.908,9.294,0.908,0.969,9.386
33,273,255,0,255,255,255,1121.482,989.551,1121.482,989.551,66.770,1109.000,981.000,23,18,24.629,14.113,149.042,0.770,27.203,69615,255,NaN,NaN,100,69615,1109,982,143.973,15.800,1.745,0.573,0.913,1115,981,4.089,1.722,0.757,0.659,3,299.000,64.367,22.257,0.886,0.727,8.068,0.784,0.709,7.467
34,384,255,0,255,255,255,1110.258,1000.211,1110.258,1000.211,83.740,1099.000,985.000,23,30,31.005,15.769,114.596,0.688,31.780,97920,255,NaN,NaN,100,97920,1101,986,114.146,19.026,1.966,0.509,0.863,1104,985,4.586,1.670,0.713,0.557,5,445.000,78.525,16.748,0.879,0.796,8.373,0.776,0.721,7.484
35,536,255,0,255,255,255,1094.610,1006.166,1094.610,1006.166,94.811,1083.000,987.000,23,37,34.853,19.581,99.854,0.749,37.336,136680,255,NaN,NaN,100,136680,1093,987,97.696,20.373,1.780,0.562,0.914,1093,987,5.653,1.833,0.750,0.630,3,586.500,90.149,31.604,0.898,0.761,8.295,0.768,0.667,7.172
36,666,255,0,255,255,255,1204.827,1009.048,1204.827,1009.048,100.811,1190.000,994.000,30,33,35.638,23.794,51.188,0.824,38.275,169830,255,NaN,NaN,100,169830,1197,1027,56.725,24.459,1.498,0.668,0.935,1203,994,6.606,1.565,0.817,0.673,3,712.000,99.327,33.604,0.857,0.638,7.474,0.834,0.793,8.135
37,418,255,0,255,255,255,1134.679,1012.105,1134.679,1012.105,84.569,1120.000,999.000,29,25,33.496,15.889,143.388,0.734,33.971,106590,255,NaN,NaN,100,106590,1123,1000,137.386,16.242,2.108,0.474,0.906,1129,999,4.943,2.092,0.689,0.577,6,461.500,79.967,14.095,0.889,0.810,8.493,0.721,0.562,6.418
38,1890,255,0,255,255,255,1173.057,1028.810,1173.057,1028.810,174.995,1149.000,999.000,48,60,57.292,42.003,101.194,0.776,60.671,481950,255,NaN,NaN,100,481950,1169,999,98.531,43.431,1.364,0.733,0.925,1169,999,10.800,1.397,0.856,0.656,6,2043.000,168.252,29.166,0.919,0.855,8.869,0.864,0.862,8.632
39,477,255,0,255,255,255,1122.362,1028.385,1122.362,1028.385,91.983,1111.000,1011.000,25,32,29.997,20.246,78.073,0.708,32.558,121635,255,NaN,NaN,100,121635,1119,1011,100.620,23.285,1.482,0.675,0.869,1119,1011,5.186,1.398,0.822,0.596,5,549.000,87.219,18.397,0.895,0.819,8.572,0.830,0.844,8.368
40,282,255,0,255,255,255,1106.560,1027.730,1106.560,1027.730,67.941,1098.000,1015.000,16,25,24.659,14.561,75.861,0.768,26.000,71910,255,NaN,NaN,100,71910,1103,1040,67.380,16.000,1.693,0.591,0.920,1107,1015,4.151,1.625,0.768,0.705,4,306.500,65.169,16.985,0.989,0.977,9.830,0.810,0.756,7.835
41,979,255,0,255,255,255,1142.484,1045.725,1142.484,1045.725,124.468,1125.000,1024.000,35,41,39.341,31.684,91.366,0.794,41.593,249645,255,NaN,NaN,100,249645,1129,1061,62.819,33.204,1.242,0.805,0.932,1145,1024,7.865,1.253,0.897,0.682,6,1050.500,120.649,20.745,0.931,0.876,9.035,0.898,0.932,9.152
42,314,255,0,255,255,255,172.293,1047.156,172.293,1047.156,71.941,160.000,1039.000,24,19,24.780,16.134,156.383,0.762,27.295,80070,255,NaN,NaN,100,80070,160,1042,151.557,18.287,1.536,0.651,0.878,164,1039,4.365,1.493,0.807,0.689,1,357.500,70.382,71.941,NaN,NaN,NaN,NaN,NaN,NaN
43,625,255,0,255,255,255,1113.503,1055.434,1113.503,1055.434,96.669,1100.000,1041.000,28,30,31.100,25.587,121.904,0.840,34.482,159375,255,NaN,NaN,100,159375,1103,1041,119.539,27.064,1.215,0.823,0.928,1103,1041,6.465,1.274,0.907,0.744,5,673.500,96.604,19.334,0.986,0.972,9.787,0.893,0.925,9.089
44,583,255,0,255,255,255,161.711,1067.737,161.711,1067.737,91.740,148.000,1052.000,26,31,29.559,25.113,75.745,0.870,31.780,148665,255,NaN,NaN,100,148665,159,1083,77.276,25.661,1.177,0.850,0.940,161,1052,6.355,1.238,0.922,0.723,1,620.500,92.725,91.740,NaN,NaN,NaN,NaN,NaN,NaN
45,337,255,0,255,255,255,541.636,1061.574,541.636,1061.574,78.042,528.000,1054.000,30,14,32.074,13.378,170.726,0.695,32.696,85935,255,NaN,NaN,100,85935,528,1054,156.571,13.422,2.398,0.417,0.944,528,1054,4.318,2.436,0.646,0.802,2,357.000,70.333,39.021,NaN,NaN,NaN,NaN,NaN,NaN
46,362,255,0,255,255,255,819.340,1066.970,819.340,1066.970,81.740,808.000,1054.000,23,29,29.662,15.539,64.031,0.681,30.083,92310,255,NaN,NaN,100,92310,818,1083,74.578,16.780,1.909,0.524,0.844,817,1054,4.429,1.793,0.724,0.543,1,429.000,77.100,81.740,NaN,NaN,NaN,NaN,NaN,NaN
47,831,255,0,255,255,255,1158.520,1073.638,1158.520,1073.638,117.439,1141.000,1055.000,36,40,42.481,24.907,51.520,0.757,43.012,211905,255,NaN,NaN,100,211905,1152,1095,54.462,26.096,1.706,0.586,0.928,1161,1055,7.076,1.648,0.766,0.577,4,895.500,111.393,29.360,0.982,0.964,9.728,0.809,0.746,7.777
48,339,255,0,255,255,255,1132.848,1071.904,1132.848,1071.904,70.184,1121.000,1062.000,24,19,22.918,18.834,4.268,0.865,25.298,86445,255,NaN,NaN,100,86445,1121,1074,18.435,19.000,1.217,0.822,0.924,1128,1062,4.830,1.331,0.907,0.743,5,367.000,71.311,14.037,1.000,1.000,10.000,0.885,0.903,8.943
49,265,255,0,255,255,255,583.957,1071.470,583.957,1071.470,63.113,573.000,1064.000,23,15,23.328,14.464,172.988,0.836,24.042,67575,255,NaN,NaN,100,67575,573,1066,163.072,14.796,1.613,0.620,0.933,578,1064,4.199,1.625,0.787,0.768,3,284.000,62.731,21.038,0.850,0.617,7.338,0.823,0.770,7.965
50,159,255,0,255,255,255,565.645,1071.230,565.645,1071.230,47.799,558.000,1065.000,15,13,15.570,13.002,145.265,0.875,17.804,40545,255,NaN,NaN,100,40545,559,1065,141.843,13.000,1.197,0.835,0.927,559,1065,3.326,1.370,0.914,0.815,4,171.500,48.748,11.950,0.948,0.887,9.171,0.876,0.883,8.795
