 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,393,255,0,255,255,255,721.716,15.912,721.716,15.912,77.841,710.000,4.000,25,23,23.777,21.044,28.848,0.815,26.173,100215,255,NaN,NaN,100,100215,711,25,46.548,22.388,1.130,0.885,0.915,716,4,5.049,1.169,0.941,0.683,2,429.500,77.145,38.920,NaN,NaN,NaN,NaN,NaN,NaN
2,213,255,0,255,255,255,754.866,13.824,754.866,13.824,56.284,746.000,5.000,16,17,18.267,14.846,62.747,0.845,20.000,54315,255,NaN,NaN,100,54315,746,18,36.870,16.000,1.230,0.813,0.930,752,5,3.784,1.250,0.902,0.783,3,229.000,56.330,18.761,0.846,0.603,7.242,0.897,0.935,9.159
3,494,255,0,255,255,255,776.263,15.676,776.263,15.676,91.841,762.000,5.000,31,24,29.153,21.575,164.148,0.736,31.623,125970,255,NaN,NaN,100,125970,763,20,18.435,23.242,1.351,0.740,0.889,764,5,5.379,1.361,0.860,0.664,3,555.500,87.734,30.614,0.906,0.783,8.445,0.853,0.870,8.615
4,246,255,0,255,255,255,738.496,25.626,738.496,25.626,61.941,726.000,18.000,23,14,22.740,13.774,13.521,0.806,24.042,62730,255,NaN,NaN,100,62730,726,29,16.928,14.000,1.651,0.606,0.939,736,18,3.972,1.717,0.778,0.764,5,262.000,60.253,12.388,0.964,0.932,9.478,0.802,0.725,7.635
5,505,255,0,255,255,255,761.278,33.524,761.278,33.524,87.255,747.000,21.000,28,25,27.466,23.410,159.985,0.834,30.000,128775,255,NaN,NaN,100,128775,750,23,143.130,24.725,1.173,0.852,0.918,761,21,5.788,1.213,0.923,0.721,7,550.000,87.298,12.465,0.943,0.894,9.185,0.900,0.955,9.275
6,621,255,0,255,255,255,711.748,40.513,711.748,40.513,100.083,696.000,26.000,31,29,33.471,23.623,49.127,0.779,36.125,158355,255,NaN,NaN,100,158355,701,55,48.366,25.997,1.417,0.706,0.903,709,26,6.205,1.390,0.840,0.691,6,687.500,97.603,16.681,0.921,0.859,8.901,0.856,0.864,8.603
7,507,255,0,255,255,255,788.102,39.719,788.102,39.719,85.983,775.000,26.000,26,28,29.332,22.008,130.080,0.862,30.610,129285,255,NaN,NaN,100,129285,776,30,128.367,21.920,1.333,0.750,0.935,784,26,5.897,1.396,0.866,0.696,5,542.000,86.661,17.197,0.998,0.996,9.974,0.874,0.873,8.737
8,193,255,0,255,255,255,692.536,37.531,692.536,37.531,53.113,683.000,30.000,18,15,18.532,13.260,34.391,0.860,20.591,49215,255,NaN,NaN,100,49215,683,41,29.055,14.534,1.398,0.716,0.917,692,30,3.634,1.417,0.846,0.715,2,210.500,54.007,26.556,NaN,NaN,NaN,NaN,NaN,NaN
9,464,255,0,255,255,255,735.379,43.608,735.379,43.608,84.326,723.000,32.000,27,26,28.478,20.745,38.105,0.820,30.017,118320,255,NaN,NaN,100,118320,723,52,29.982,22.534,1.373,0.728,0.923,738,32,5.502,1.332,0.854,0.661,5,502.500,83.444,16.865,0.973,0.948,9.606,0.882,0.899,8.904
10,923,255,0,255,255,255,680.781,59.937,680.781,59.937,118.468,662.000,41.000,38,35,37.256,31.544,26.060,0.826,40.162,235365,255,NaN,NaN,100,235365,662,68,18.886,33.841,1.181,0.847,0.925,681,41,7.791,1.187,0.920,0.694,6,998.000,117.595,19.745,0.952,0.911,9.319,0.905,0.966,9.354
11,342,255,0,255,255,255,774.605,54.018,774.605,54.018,72.426,764.000,42.000,23,22,24.154,18.028,152.011,0.819,25.495,87210,255,NaN,NaN,100,87210,764,47,154.440,20.467,1.340,0.746,0.928,774,42,4.722,1.246,0.864,0.676,5,368.500,71.457,14.485,0.973,0.947,9.600,0.892,0.932,9.119
12,570,255,0,255,255,255,748.967,58.221,748.967,58.221,93.497,733.000,44.000,30,27,33.987,21.354,33.628,0.819,37.202,145350,255,NaN,NaN,100,145350,733,69,36.254,21.903,1.592,0.628,0.941,750,44,6.096,1.698,0.793,0.704,6,606.000,91.635,15.583,0.948,0.903,9.257,0.806,0.734,7.697
13,649,255,0,255,255,255,645.016,64.307,645.016,64.307,102.326,628.000,50.000,34,28,37.580,21.989,30.097,0.779,39.446,165495,255,NaN,NaN,100,165495,628,75,30.466,23.152,1.709,0.585,0.923,646,50,6.342,1.704,0.765,0.682,4,703.500,98.732,25.581,0.996,0.992,9.938,0.798,0.726,7.621
