 ,Neighbors,Image 3 zo-1 donut b&w.tif
1,0,1
2,1,2
3,2,15
4,3,56
5,4,97
6,5,226
7,6,283
8,7,112
9,8,28
10,9,3
11,10,4
12,11,1
13,12,0
14,13,1
15,14,1
16,15,0
17,16,0
18,17,1
