 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart,Area/Perim.,Ferets AR,Compactness,Extent,Neighbors,Area Convext Hull,Perim Convext Hull,PoN,PSR,PAR,Poly_Ave,HSR,HAR,Hex_Ave
1,713,255,0,255,255,255,740.253,17.089,740.253,17.089,102.569,722.000,4.000,36,27,34.595,26.241,175.272,0.852,37.108,181815,255,NaN,NaN,100,181815,722,13,165.964,26.468,1.318,0.759,0.941,735,4,6.951,1.402,0.871,0.734,4,758.000,102.485,25.642,0.960,0.916,9.380,0.874,0.871,8.728
2,360,255,0,255,255,255,692.267,15.228,692.267,15.228,72.184,682.000,5.000,22,22,23.401,19.588,43.175,0.868,25.000,91800,255,NaN,NaN,100,91800,684,25,53.130,21.213,1.195,0.837,0.940,692,5,4.987,1.179,0.915,0.744,3,383.000,72.849,24.061,0.834,0.564,6.992,0.912,0.963,9.376
3,619,255,0,255,255,255,668.506,21.143,668.506,21.143,95.497,653.000,6.000,30,28,31.382,25.114,45.506,0.853,34.655,157845,255,NaN,NaN,100,157845,657,34,46.169,25.588,1.250,0.800,0.939,667,6,6.482,1.354,0.895,0.737,4,659.000,95.558,23.874,0.960,0.914,9.368,0.885,0.893,8.889
4,304,255,0,255,255,255,568.635,14.839,568.635,14.839,77.355,553.000,7.000,31,15,30.691,12.612,10.765,0.638,32.016,77520,255,NaN,NaN,100,77520,553,17,14.470,14.001,2.433,0.411,0.898,581,7,3.930,2.287,0.641,0.654,3,338.500,68.486,25.785,0.973,0.944,9.586,0.666,0.453,5.599
5,577,255,0,255,255,255,618.555,20.625,618.555,20.625,92.326,604.000,8.000,31,26,29.240,25.125,7.027,0.851,31.401,147135,255,NaN,NaN,100,147135,604,16,170.838,26.000,1.164,0.859,0.928,613,8,6.250,1.208,0.927,0.716,3,622.000,92.837,30.775,0.843,0.593,7.181,0.909,0.962,9.358
6,351,255,0,255,255,255,770.887,15.281,770.887,15.281,75.941,757.000,8.000,28,17,27.725,16.120,174.698,0.765,28.284,89505,255,NaN,NaN,100,89505,757,11,171.870,16.769,1.720,0.581,0.924,760,8,4.622,1.687,0.763,0.737,3,380.000,72.563,25.314,0.889,0.735,8.120,0.801,0.732,7.665
7,1260,255,0,255,255,255,806.293,28.817,806.293,28.817,156.368,780.000,11.000,57,33,57.640,27.833,164.818,0.648,57.706,321300,255,NaN,NaN,100,321300,780,24,171.027,30.641,2.071,0.483,0.890,790,11,8.058,1.883,0.695,0.670,5,1415.000,140.024,31.274,0.844,0.749,7.966,0.741,0.623,6.819
8,594,255,0,255,255,255,590.481,25.911,590.481,25.911,93.154,575.000,12.000,30,28,28.501,26.536,170.631,0.860,31.048,151470,255,NaN,NaN,100,151470,575,23,165.069,26.983,1.074,0.931,0.930,585,12,6.377,1.151,0.965,0.707,5,639.000,94.097,18.631,0.997,0.995,9.960,0.916,0.982,9.491
9,510,255,0,255,255,255,540.837,25.663,540.837,25.663,87.841,527.000,14.000,28,25,27.735,23.413,30.386,0.831,30.414,130050,255,NaN,NaN,100,130050,530,36,43.668,25.000,1.185,0.844,0.931,540,14,5.806,1.217,0.919,0.729,4,548.000,87.140,21.960,0.972,0.942,9.574,0.902,0.950,9.259
10,750,255,0,255,255,255,710.173,29.372,710.173,29.372,105.983,694.000,14.000,34,31,35.003,27.281,37.099,0.839,36.797,191250,255,NaN,NaN,100,191250,694,40,42.797,28.307,1.283,0.779,0.932,705,14,7.077,1.300,0.883,0.712,6,805.000,105.614,17.664,0.960,0.925,9.428,0.895,0.919,9.068
