 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,1272,255,0,255,255,255,660.405,32.462,660.405,32.462,137.539105243,640,10,41,43,43.147061223,37.536,124.931,0.845,46.097722286,324360,255,NaN,NaN,100,324360,646,16,130.601,38.795174620,1.149,0.870,0.939091916,657,10
2,506,255,0,255,255,255,769.636,28.779,769.636,28.779,86.669047558,757,16,28,25,27.265594915,23.629,0.311,0.847,29.732137495,129030,255,NaN,NaN,100,129030,757,37,19.654,24.981169379,1.154,0.867,0.941395349,772,16
3,604,255,0,255,255,255,742.520,30.434,742.520,30.434,92.669047558,728,17,28,28,29.663020223,25.926,26.573,0.884,31.906112267,154020,255,NaN,NaN,100,154020,729,38,32.196,26.348259321,1.144,0.874,0.949685535,739,17
4,719,255,0,255,255,255,820.570,34.365,820.570,34.365,103.982756057,804,20,33,30,31.641027532,28.933,157.710,0.836,34.885527085,183345,255,NaN,NaN,100,183345,804,29,152.700,29.068883707,1.094,0.914,0.931950745,814,20
5,651,255,0,255,255,255,791.434,42.131,791.434,42.131,97.396969620,775,28,32,29,31.973124718,25.924,44.570,0.862,33.600595233,166005,255,NaN,NaN,100,166005,783,56,53.471,26.870057685,1.233,0.811,0.931997137,786,28
6,622,255,0,255,255,255,485.344,43.354,485.344,43.354,96.325901808,470,29,30,28,30.638716232,25.848,44.347,0.842,33.421549934,158610,255,NaN,NaN,100,158610,476,57,51.072,26.902959517,1.185,0.844,0.918759232,481,29
7,482,255,0,255,255,255,849.573,38.664,849.573,38.664,84.769552622,835,29,30,20,30.167246058,20.343,175.526,0.843,30.675723300,122910,255,NaN,NaN,100,122910,836,45,19.026,20.000000000,1.483,0.674,0.946954813,838,29
8,173,255,0,255,255,255,466.916,35.864,466.916,35.864,53.112698372,456,30,21,12,20.736772110,10.622,18.038,0.771,22.472205054,44115,255,NaN,NaN,100,44115,456,39,20.854,12.000000000,1.952,0.512,0.917771883,467,30
9,2896,255,0,255,255,255,591.444,65.172,591.444,65.172,219.722871427,560,35,62,68,63.203254447,58.340,83.858,0.754,68.468971074,738480,255,NaN,NaN,100,738480,588,103,83.290,61.571721781,1.083,0.923,0.903447200,589,35
10,391,255,0,255,255,255,437.162,48.364,437.162,48.364,80.911688245,423,37,29,22,29.604216651,16.816,34.501,0.751,31.780497164,99705,255,NaN,NaN,100,99705,423,52,24.146,18.859806672,1.760,0.568,0.920000000,443,37
11,1983,255,0,255,255,255,875.685,67.601,875.685,67.601,193.580735804,850,37,55,60,58.108429925,43.450,67.630,0.665,62.361847311,505665,255,NaN,NaN,100,505665,861,97,74.181,51.417552508,1.337,0.748,0.842753931,866,37
12,1631,255,0,255,255,255,631.959,69.791,631.959,69.791,180.994949366,609,38,44,61,64.142160288,32.376,72.248,0.626,64.195015383,415905,255,NaN,NaN,100,415905,620,99,71.847,37.944739921,1.981,0.505,0.831930630,635,38
13,1937,255,0,255,255,255,767.427,63.487,767.427,63.487,192.409162928,739,38,63,48,62.274631000,39.603,159.466,0.657,68.000000000,493935,255,NaN,NaN,100,493935,740,46,151.928,47.763780903,1.572,0.636,0.856700575,756,38
14,665,255,0,255,255,255,723.616,53.762,723.616,53.762,98.568542495,707,39,32,29,32.731083872,25.869,24.914,0.860,34.928498393,169575,255,NaN,NaN,100,169575,707,60,23.629,25.491174943,1.265,0.790,0.943931867,725,39
15,815,255,0,255,255,255,457.555,58.740,457.555,58.740,114.710678119,441,40,34,38,36.211153264,28.657,64.182,0.778,38.418745425,207825,255,NaN,NaN,100,207825,445,73,51.340,29.438223261,1.264,0.791,0.908584169,453,40
16,2581,255,0,255,255,255,513.276,72.958,513.276,72.958,230.308657865,483,40,62,71,75.951665450,43.267,61.307,0.611,81.344944526,658155,255,NaN,NaN,100,658155,484,99,46.494,47.501567290,1.755,0.570,0.852659399,530,40
17,314,255,0,255,255,255,808.701,55.895,808.701,55.895,68.911688245,796,45,24,21,23.513263036,17.003,20.268,0.831,25.000000000,80070,255,NaN,NaN,100,80070,796,58,16.260,18.782971011,1.383,0.723,0.911465893,808,45
18,1591,255,0,255,255,255,832.163,67.563,832.163,67.563,169.781745931,801,46,58,43,59.305517450,34.157,23.043,0.694,62.609903370,405705,255,NaN,NaN,100,405705,801,78,26.565,38.805700006,1.736,0.576,0.881684677,833,46
19,667,255,0,255,255,255,411.230,64.416,411.230,64.416,104.811183182,392,51,36,28,35.033616793,24.241,3.570,0.763,36.674241642,170085,255,NaN,NaN,100,170085,392,66,11.004,27.238781535,1.445,0.692,0.896505376,418,51
20,643,255,0,255,255,255,548.757,67.646,548.757,67.646,99.740115370,535,51,27,33,34.306096648,23.864,59.227,0.812,36.878177829,163965,255,NaN,NaN,100,163965,535,80,49.399,25.400000000,1.438,0.696,0.932559826,555,51
21,861,255,0,255,255,255,666.192,66.723,666.192,66.723,114.811183182,647,52,40,30,39.226797931,27.947,11.548,0.821,41.000000000,219555,255,NaN,NaN,100,219555,647,72,12.680,29.153922884,1.404,0.712,0.942528736,673,52
22,481,255,0,255,255,255,482.741,70.298,482.741,70.298,87.840620434,471,57,25,28,27.396006446,22.355,83.113,0.783,30.232432916,122655,255,NaN,NaN,100,122655,474,83,55.784,23.397414908,1.226,0.816,0.895716946,481,57
23,248,255,0,255,255,255,435.040,69.161,435.040,69.161,61.941125497,426,60,18,20,19.387061790,16.287,103.762,0.812,21.540659229,63240,255,NaN,NaN,100,63240,429,60,111.801,17.705100628,1.190,0.840,0.911764706,429,60
24,4561,255,0,255,255,255,723.261,104.122,723.261,104.122,306.936074863,681,61,86,86,97.836567195,59.357,141.583,0.608,103.004854255,1163055,255,NaN,NaN,100,1163055,688,64,126.314,66.504787469,1.648,0.607,0.839808507,705,61
25,261,255,0,255,255,255,734.918,71.186,734.918,71.186,64.526911935,723,62,22,17,21.364548669,15.555,13.700,0.788,22.203603311,66555,255,NaN,NaN,100,66555,723,70,7.765,16.977493753,1.374,0.728,0.906250000,737,62
26,388,255,0,255,255,255,916.124,74.041,916.124,74.041,74.769552622,905,64,23,22,24.009520907,20.576,157.397,0.872,25.806975801,98940,255,NaN,NaN,100,98940,906,65,144.462,22.000000000,1.167,0.857,0.932692308,908,64
27,2274,255,0,255,255,255,944.055,94.723,944.055,94.723,198.166522241,912,66,63,54,58.941899039,49.122,155.280,0.728,63.820059542,579870,255,NaN,NaN,100,579870,929,68,125.433,51.906152320,1.200,0.833,0.884652791,942,66
28,167,255,0,255,255,255,466.260,78.530,466.260,78.530,50.526911935,458,69,15,17,16.246931767,13.087,55.664,0.822,18.788294228,42585,255,NaN,NaN,100,42585,462,86,64.799,14.000000000,1.241,0.806,0.902702703,469,69
29,531,255,0,255,255,255,405.500,89.223,405.500,89.223,90.669047558,394,74,24,30,29.068827792,23.258,91.148,0.812,30.886890423,135405,255,NaN,NaN,100,135405,398,75,119.055,24.000000000,1.250,0.800,0.917098446,406,74
30,252,255,0,255,255,255,426.012,84.111,426.012,84.111,59.941125497,417,74,19,18,18.743433890,17.118,177.657,0.881,20.248456731,64260,255,NaN,NaN,100,64260,419,92,32.905,18.000000000,1.095,0.913,0.929889299,425,74
31,562,255,0,255,255,255,447.438,89.721,447.438,89.721,93.639610307,433,74,29,31,28.498045227,25.109,81.732,0.805,31.144823005,143310,255,NaN,NaN,100,143310,443,105,84.472,25.846493710,1.135,0.881,0.904991948,445,74
32,611,255,0,255,255,255,562.166,91.168,562.166,91.168,96.325901808,548,75,29,30,29.111577783,26.723,7.618,0.827,31.906112267,155805,255,NaN,NaN,100,155805,549,101,32.196,27.985723923,1.089,0.918,0.925757576,561,75
33,1440,255,0,255,255,255,669.783,108.472,669.783,108.472,173.681240867,649,76,38,62,58.904090662,31.126,77.735,0.600,64.560049566,367200,255,NaN,NaN,100,367200,664,138,73.811,36.625965526,1.892,0.528,0.830689357,681,76
34,1246,255,0,255,255,255,805.575,103.534,805.575,103.534,145.539105243,786,79,39,49,53.086651064,29.884,117.150,0.739,52.801515130,317730,255,NaN,NaN,100,317730,794,80,114.624,33.620805987,1.776,0.563,0.894151417,799,79
35,650,255,0,255,255,255,897.168,91.382,897.168,91.382,97.012193309,881,79,32,25,32.893858098,25.160,173.734,0.868,34.669871647,165750,255,NaN,NaN,100,165750,882,84,146.768,25.000000000,1.307,0.765,0.948905109,897,79
36,308,255,0,255,255,255,653.964,89.692,653.964,89.692,67.254833996,642,80,23,20,23.656929224,16.577,32.314,0.856,25.495097568,78540,255,NaN,NaN,100,78540,642,94,25.560,17.677669530,1.427,0.701,0.918032787,651,80
37,584,255,0,255,255,255,535.113,96.735,535.113,96.735,92.325901808,522,81,26,31,30.980840291,24.001,57.753,0.861,32.649655435,148920,255,NaN,NaN,100,148920,522,106,40.030,25.308958814,1.291,0.775,0.926249009,534,81
38,629,255,0,255,255,255,770.724,93.421,770.724,93.421,96.426406871,755,81,31,26,32.160603675,24.902,2.174,0.850,34.014702703,160395,255,NaN,NaN,100,160395,755,87,155.695,25.549064894,1.291,0.774,0.947289157,767,81
39,1164,255,0,255,255,255,839.546,101.521,839.546,101.521,132.568542495,820,83,40,38,40.646257402,36.462,144.658,0.832,44.944410108,296820,255,NaN,NaN,100,296820,820,90,147.724,38.000000000,1.115,0.897,0.936820926,833,83
40,441,255,0,255,255,255,471.423,95.797,471.423,95.797,79.840620434,458,84,25,24,26.017747738,21.581,32.376,0.869,28.301943396,112455,255,NaN,NaN,100,112455,458,101,32.005,23.084626919,1.206,0.829,0.931362196,472,84
41,447,255,0,255,255,255,427.938,104.008,427.938,104.008,82.568542495,414,93,29,24,27.111223391,20.993,148.046,0.824,29.614185790,113985,255,NaN,NaN,100,113985,414,102,168.311,21.910657751,1.291,0.774,0.917864476,419,93
42,825,255,0,255,255,255,602.912,112.079,602.912,112.079,113.296464556,586,94,34,37,39.497321478,26.595,47.198,0.808,40.496913463,210375,255,NaN,NaN,100,210375,586,122,32.905,28.786058573,1.485,0.673,0.932730356,608,94
43,956,255,0,255,255,255,629.095,114.868,629.095,114.868,146.124891681,604,95,46,41,51.960665711,23.426,45.066,0.563,54.644304369,243780,255,NaN,NaN,100,243780,605,132,34.563,30.720767992,2.218,0.451,0.775974026,637,95
44,788,255,0,255,255,255,877.282,110.683,877.282,110.683,110.325901808,859,96,36,30,38.212188977,26.256,158.544,0.814,39.446165847,200940,255,NaN,NaN,100,200940,861,98,149.534,27.268275038,1.455,0.687,0.928697702,878,96
45,115,255,0,255,255,255,395.196,107.048,395.196,107.048,41.455844123,390,99,10,16,15.454363246,9.475,109.646,0.841,16.763054614,29325,255,NaN,NaN,100,29325,394,99,107.354,10.000000000,1.631,0.613,0.912698413,394,99
46,399,255,0,255,255,255,577.305,111.011,577.305,111.011,76.769552622,566,99,22,24,24.064801951,21.111,78.449,0.851,25.942243542,101745,255,NaN,NaN,100,101745,571,123,62.447,22.000000000,1.140,0.877,0.931155193,576,99
47,832,255,0,255,255,255,985.106,116.368,985.106,116.368,112.225396744,967,99,36,33,33.475543088,31.645,121.107,0.830,37.735924528,212160,255,NaN,NaN,100,212160,976,99,122.005,32.600000000,1.058,0.945,0.931169558,976,99
48,808,255,0,255,255,255,485.738,115.920,485.738,115.920,111.639610307,467,100,37,32,36.480893195,28.200,21.558,0.815,38.600518131,206040,255,NaN,NaN,100,206040,467,122,16.557,30.370264095,1.294,0.773,0.915062288,484,100
49,658,255,0,255,255,255,451.561,116.672,451.561,116.672,101.882250994,434,102,34,31,33.827363993,24.767,29.973,0.797,36.249137921,167790,255,NaN,NaN,100,167790,435,124,24.444,25.912480533,1.366,0.732,0.904467354,455,102
50,791,255,0,255,255,255,552.300,118.323,552.300,118.323,111.982756057,534,102,36,32,35.311388092,28.521,170.767,0.793,38.275318418,201705,255,NaN,NaN,100,201705,534,113,160.145,29.357776847,1.238,0.808,0.905552376,548,102
51,699,255,0,255,255,255,781.305,118.139,781.305,118.139,102.083261121,768,102,29,32,31.987832724,27.823,49.920,0.843,34.205262753,178245,255,NaN,NaN,100,178245,768,130,37.875,29.000000000,1.150,0.870,0.949083503,786,102
52,1362,255,0,255,255,255,424.148,129.790,424.148,129.790,166.610173055,400,103,51,48,62.025250522,27.959,137.512,0.617,65.946948375,347310,255,NaN,NaN,100,347310,401,105,139.304,32.800000000,2.218,0.451,0.868622449,408,103
53,282,255,0,255,255,255,906.550,111.404,906.550,111.404,65.698484810,896,104,23,16,23.467185015,15.300,170.546,0.821,24.351591324,71910,255,NaN,NaN,100,71910,896,105,160.821,15.885406946,1.534,0.652,0.938435940,899,104
