 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,444,255,0,255,255,255,682.279,15.333,682.279,15.333,85.497474683,666,4,29,24,30.385565337,18.605,151.912,0.763,32.202484376,113220,255,NaN,NaN,100,113220,666,10,154.231,21.503488089,1.633,0.612,0.924037461,671,4
2,506,255,0,255,255,255,708.976,17.085,708.976,17.085,88.325901808,696,4,28,27,28.248235689,22.807,165.045,0.815,30.083217913,129030,255,NaN,NaN,100,129030,696,10,158.552,23.525270586,1.239,0.807,0.922515953,703,4
3,249,255,0,255,255,255,733.050,15.861,733.050,15.861,58.769552622,724,6,19,18,19.119402010,16.582,153.755,0.906,20.248456731,63495,255,NaN,NaN,100,63495,724,11,147.095,17.441330224,1.153,0.867,0.930841121,732,6
4,1027,255,0,255,255,255,548.549,30.064,548.549,30.064,125.982756057,531,10,35,40,39.217185572,33.343,69.734,0.813,42.638011211,261885,255,NaN,NaN,100,261885,533,44,50.711,34.468826496,1.176,0.850,0.925642181,552,10
5,1434,255,0,255,255,255,614.675,28.166,614.675,28.166,181.237590053,581,10,65,35,67.781402063,26.937,9.511,0.549,67.623960251,365670,255,NaN,NaN,100,365670,584,44,23.532,32.568832308,2.516,0.397,0.798218759,632,10
6,592,255,0,255,255,255,775.750,23.497,775.750,23.497,94.669047558,761,10,29,27,30.760034745,24.504,129.623,0.830,33.600595233,150960,255,NaN,NaN,100,150960,766,10,126.529,26.301506245,1.255,0.797,0.938193344,766,10
7,886,255,0,255,255,255,663.246,29.797,663.246,29.797,116.124891681,645,12,37,36,38.956586500,28.958,142.661,0.826,41.036569057,225930,255,NaN,NaN,100,225930,647,17,136.975,28.892145949,1.345,0.743,0.939554613,663,12
8,215,255,0,255,255,255,525.370,21.044,525.370,21.044,57.941125497,514,14,21,15,19.800630811,13.825,9.441,0.805,21.587033145,54825,255,NaN,NaN,100,54825,514,21,13.392,15.000000000,1.432,0.698,0.907172996,526,14
9,566,255,0,255,255,255,753.420,30.198,753.420,30.198,94.426406871,740,16,27,29,30.549123127,23.590,126.873,0.798,34.132096332,144330,255,NaN,NaN,100,144330,744,16,121.827,24.862262075,1.295,0.772,0.916599190,744,16
10,1154,255,0,255,255,255,508.867,38.510,508.867,38.510,136.953318806,484,21,48,36,46.536824473,31.573,165.064,0.773,48.836461788,294270,255,NaN,NaN,100,294270,484,36,169.380,34.155803591,1.474,0.678,0.910094637,505,21
11,538,255,0,255,255,255,832.537,33.303,832.537,33.303,91.840620434,817,21,31,24,30.855042509,22.201,153.621,0.802,33.241540277,137190,255,NaN,NaN,100,137190,817,24,158.839,23.673454172,1.390,0.720,0.938099390,822,21
12,738,255,0,255,255,255,726.499,38.650,726.499,38.650,105.740115370,711,22,31,33,32.048940741,29.319,65.345,0.829,36.235341864,188190,255,NaN,NaN,100,188190,716,53,50.599,29.920615690,1.093,0.915,0.928301887,724,22
13,910,255,0,255,255,255,697.688,43.336,697.688,43.336,123.539105243,678,24,37,40,39.987371121,28.975,128.246,0.749,43.011626335,232050,255,NaN,NaN,100,232050,683,29,125.538,31.694547321,1.380,0.725,0.893470790,696,24
14,981,255,0,255,255,255,805.515,41.586,805.515,41.586,123.396969620,787,24,37,37,40.114325614,31.137,127.030,0.810,44.407206622,250155,255,NaN,NaN,100,250155,791,24,125.838,32.199378876,1.288,0.776,0.934285714,791,24
15,76,255,0,255,255,255,853.816,33.132,853.816,33.132,34.970562748,848,29,13,8,13.617180284,7.106,160.283,0.781,14.422205102,19380,255,NaN,NaN,100,19380,848,29,146.310,7.844645406,1.916,0.522,0.894117647,848,29
16,319,255,0,255,255,255,573.221,40.597,573.221,40.597,66.769552622,563,31,20,21,20.720022227,19.602,98.601,0.899,22.472205054,81345,255,NaN,NaN,100,81345,567,31,110.854,20.000000000,1.057,0.946,0.945185185,567,31
17,660,255,0,255,255,255,877.180,47.802,877.180,47.802,104.911688245,860,33,34,29,38.659856556,21.737,149.101,0.754,40.607881008,168300,255,NaN,NaN,100,168300,862,33,142.001,21.913466179,1.779,0.562,0.934182590,862,33
