 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,3917,255,0,255,255,255,758.140,46.802,758.140,46.802,246.592929113,718,11,77,74,75.217446892,66.305,153.118,0.809,82.462112512,998835,255,NaN,NaN,100,998835,719,26,140.906,67.119461406,1.134,0.882,0.945792587,763,11
2,680,255,0,255,255,255,654.631,31.307,654.631,31.307,101.112698372,639,17,30,27,32.744207199,26.441,19.375,0.836,35.468295702,173400,255,NaN,NaN,100,173400,642,44,40.426,26.436383129,1.238,0.808,0.942480942,658,17
3,4349,255,0,255,255,255,818.737,70.850,818.737,70.850,265.036579926,776,32,82,76,79.673015993,69.501,44.193,0.778,86.267027305,1108995,255,NaN,NaN,100,1108995,779,94,34.611,73.096818981,1.146,0.872,0.925220721,823,32
4,792,255,0,255,255,255,623.557,52.984,623.557,52.984,114.225396744,604,37,37,33,37.398227284,26.964,41.571,0.763,39.824615503,201960,255,NaN,NaN,100,201960,607,62,38.884,31.112698372,1.387,0.721,0.922002328,624,37
5,1752,255,0,255,255,255,658.260,65.001,658.260,65.001,163.823376491,633,41,53,50,49.940829206,44.667,17.386,0.820,54.129474411,446760,255,NaN,NaN,100,446760,633,74,11.725,47.715428974,1.118,0.894,0.938152610,669,41
6,5431,255,0,255,255,255,705.804,97.814,705.804,97.814,292.149278299,661,51,90,87,89.655528624,77.128,42.106,0.800,97.061835960,1384905,255,NaN,NaN,100,1384905,665,127,27.621,82.674944811,1.162,0.860,0.951304957,714,51
7,242,255,0,255,255,255,617.979,244.161,617.979,244.161,59.355339059,607,237,23,14,22.448093260,13.726,7.349,0.863,23.345235060,61710,255,NaN,NaN,100,61710,607,247,9.866,14.000000000,1.635,0.611,0.934362934,614,237
8,110,255,0,255,255,255,30.091,612.509,30.091,612.509,40.384776311,25,606,10,14,13.914903361,10.065,95.548,0.848,15.231546212,28050,255,NaN,NaN,100,28050,27,606,113.199,10.000000000,1.382,0.723,0.909090909,27,606
9,87,255,0,255,255,255,8.236,709.994,8.236,709.994,35.798989873,2,704,11,11,10.887095988,10.175,112.957,0.853,12.529964086,22185,255,NaN,NaN,100,22185,5,715,61.390,10.733126292,1.070,0.935,0.892307692,9,704
