 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,393,255,0,255,255,255,721.716,15.912,721.716,15.912,77.840620434,710,4,25,23,23.777398320,21.044,28.848,0.815,26.172504657,100215,255,NaN,NaN,100,100215,711,25,46.548,22.388336780,1.130,0.885,0.915017462,716,4
2,213,255,0,255,255,255,754.866,13.824,754.866,13.824,56.284271247,746,5,16,17,18.267114038,14.846,62.747,0.845,20.000000000,54315,255,NaN,NaN,100,54315,746,18,36.870,16.000000000,1.230,0.813,0.930131004,752,5
3,494,255,0,255,255,255,776.263,15.676,776.263,15.676,91.840620434,762,5,31,24,29.152861526,21.575,164.148,0.736,31.622776602,125970,255,NaN,NaN,100,125970,763,20,18.435,23.242037512,1.351,0.740,0.889288929,764,5
4,246,255,0,255,255,255,738.496,25.626,738.496,25.626,61.941125497,726,18,23,14,22.739625465,13.774,13.521,0.806,24.041630560,62730,255,NaN,NaN,100,62730,726,29,16.928,14.000000000,1.651,0.606,0.938931298,736,18
5,505,255,0,255,255,255,761.278,33.524,761.278,33.524,87.254833996,747,21,28,25,27.465777773,23.410,159.985,0.834,30.000000000,128775,255,NaN,NaN,100,128775,750,23,143.130,24.724901511,1.173,0.852,0.918181818,761,21
6,621,255,0,255,255,255,711.748,40.513,711.748,40.513,100.083261121,696,26,31,29,33.471360599,23.623,49.127,0.779,36.124783736,158355,255,NaN,NaN,100,158355,701,55,48.366,25.997347345,1.417,0.706,0.903272727,709,26
7,507,255,0,255,255,255,788.102,39.719,788.102,39.719,85.982756057,775,26,26,28,29.331647268,22.008,130.080,0.862,30.610455730,129285,255,NaN,NaN,100,129285,776,30,128.367,21.920310217,1.333,0.750,0.935424354,784,26
8,193,255,0,255,255,255,692.536,37.531,692.536,37.531,53.112698372,683,30,18,15,18.531728440,13.260,34.391,0.860,20.591260282,49215,255,NaN,NaN,100,49215,683,41,29.055,14.534340674,1.398,0.716,0.916864608,692,30
9,464,255,0,255,255,255,735.379,43.608,735.379,43.608,84.325901808,723,32,27,26,28.477696726,20.745,38.105,0.820,30.016662040,118320,255,NaN,NaN,100,118320,723,52,29.982,22.534490868,1.373,0.728,0.923383085,738,32
10,923,255,0,255,255,255,680.781,59.937,680.781,59.937,118.468037432,662,41,38,35,37.256070959,31.544,26.060,0.826,40.162171256,235365,255,NaN,NaN,100,235365,662,68,18.886,33.841151420,1.181,0.847,0.924849699,681,41
11,342,255,0,255,255,255,774.605,54.018,774.605,54.018,72.426406871,764,42,23,22,24.154346046,18.028,152.011,0.819,25.495097568,87210,255,NaN,NaN,100,87210,764,47,154.440,20.466724028,1.340,0.746,0.928086839,774,42
12,570,255,0,255,255,255,748.967,58.221,748.967,58.221,93.497474683,733,44,30,27,33.987180037,21.354,33.628,0.819,37.202150475,145350,255,NaN,NaN,100,145350,733,69,36.254,21.903314188,1.592,0.628,0.940594059,750,44
13,649,255,0,255,255,255,645.016,64.307,645.016,64.307,102.325901808,628,50,34,28,37.579747376,21.989,30.097,0.779,39.446165847,165495,255,NaN,NaN,100,165495,628,75,30.466,23.152308994,1.709,0.585,0.922530206,646,50
14,162,255,0,255,255,255,804.228,60.160,804.228,60.160,51.597979746,796,51,16,18,20.799255787,9.917,135.097,0.765,21.095023110,41310,255,NaN,NaN,100,41310,799,51,121.430,10.499024154,2.097,0.477,0.897506925,799,51
15,771,255,0,255,255,255,713.967,66.619,713.967,66.619,109.740115370,695,52,37,29,37.813734110,25.961,12.975,0.805,39.924929555,196605,255,NaN,NaN,100,196605,695,74,22.068,26.279562109,1.457,0.687,0.932285369,721,52
16,389,255,0,255,255,255,794.127,68.749,794.127,68.749,83.740115370,783,54,26,27,26.092352044,18.982,133.170,0.697,28.231188427,99195,255,NaN,NaN,100,99195,788,55,112.932,22.370291208,1.375,0.728,0.824152542,791,54
17,686,255,0,255,255,255,609.800,69.907,609.800,69.907,107.740115370,588,58,40,25,39.844281625,21.921,10.907,0.743,41.484937025,174930,255,NaN,NaN,100,174930,588,72,15.376,23.211917272,1.818,0.550,0.925775978,612,58
18,691,255,0,255,255,255,766.607,76.287,766.607,76.287,100.811183182,752,61,31,32,34.130039529,25.778,38.447,0.854,37.202150475,176205,255,NaN,NaN,100,176205,752,87,36.254,25.455844123,1.324,0.755,0.947873800,764,61
19,429,255,0,255,255,255,658.365,80.442,658.365,80.442,83.012193309,643,69,30,20,29.490468391,18.522,6.861,0.782,30.265491901,109395,255,NaN,NaN,100,109395,643,81,7.595,20.000000000,1.592,0.628,0.924568966,660,69
20,335,255,0,255,255,255,740.972,78.897,740.972,78.897,69.941125497,728,70,23,19,23.430202514,18.205,157.460,0.861,25.553864678,85425,255,NaN,NaN,100,85425,729,74,149.421,19.000000000,1.287,0.777,0.939691445,733,70
21,586,255,0,255,255,255,690.213,85.514,690.213,85.514,100.426406871,672,74,36,23,37.482547633,19.906,173.771,0.730,37.161808352,149430,255,NaN,NaN,100,149430,674,77,156.194,22.313277503,1.883,0.531,0.906419180,693,74
22,241,255,0,255,255,255,805.782,85.753,805.782,85.753,61.455844123,798,74,15,21,21.470716462,14.292,69.471,0.802,23.706539182,61455,255,NaN,NaN,100,61455,799,95,62.354,15.000000000,1.502,0.666,0.932301741,808,74
23,908,255,0,255,255,255,625.218,92.173,625.218,92.173,122.225396744,604,76,42,32,41.732067794,27.703,18.588,0.764,42.953463190,231540,255,NaN,NaN,100,231540,604,98,12.095,28.634219948,1.506,0.664,0.912562814,627,76
24,637,255,0,255,255,255,782.951,92.723,782.951,92.723,98.811183182,765,77,33,29,34.389622881,23.584,32.483,0.820,36.891733491,162435,255,NaN,NaN,100,162435,766,102,32.829,24.279177530,1.458,0.686,0.931967813,784,77
25,409,255,0,255,255,255,722.422,88.202,722.422,88.202,79.254833996,709,78,28,21,27.723184247,18.784,167.154,0.818,29.154759474,104295,255,NaN,NaN,100,104295,709,82,157.834,20.130456878,1.476,0.678,0.934857143,721,78
26,240,255,0,255,255,255,598.154,87.604,598.154,87.604,59.112698372,589,79,19,17,18.760756618,16.288,176.468,0.863,20.615528128,61200,255,NaN,NaN,100,61200,589,92,22.834,16.249886877,1.152,0.868,0.921305182,592,79
27,739,255,0,255,255,255,748.012,102.468,748.012,102.468,104.325901808,731,88,35,28,33.995773596,27.678,9.938,0.853,36.235341864,188445,255,NaN,NaN,100,188445,732,111,27.979,28.000000000,1.228,0.814,0.934851360,749,88
28,255,255,0,255,255,255,657.939,94.939,657.939,94.939,69.941125497,645,89,28,14,26.777505199,12.125,8.704,0.655,29.120439557,65025,255,NaN,NaN,100,65025,645,99,15.945,13.723222954,2.208,0.453,0.899470899,663,89
29,561,255,0,255,255,255,591.767,106.115,591.767,106.115,93.053823869,575,93,34,26,31.113527316,22.957,172.417,0.814,34.014702703,143055,255,NaN,NaN,100,143055,575,106,178.315,23.900738127,1.355,0.738,0.913680782,587,93
30,753,255,0,255,255,255,678.329,106.868,678.329,106.868,109.254833996,659,93,37,27,37.619420867,25.485,1.909,0.793,39.812058475,192015,255,NaN,NaN,100,192015,659,115,25.278,26.728636329,1.476,0.677,0.931930693,673,93
31,668,255,0,255,255,255,712.277,106.334,712.277,106.334,103.840620434,696,93,35,26,36.046609269,23.595,174.061,0.778,37.336309405,170340,255,NaN,NaN,100,170340,696,98,159.624,24.382212937,1.528,0.655,0.927133935,708,93
32,573,255,0,255,255,255,800.582,111.819,800.582,111.819,94.769552622,789,96,22,32,34.450163615,21.177,74.453,0.802,36.619666847,146115,255,NaN,NaN,100,146115,790,126,55.008,22.000000000,1.627,0.615,0.949461475,799,96
33,659,255,0,255,255,255,641.693,113.187,641.693,113.187,99.254833996,626,100,32,27,34.088484049,24.614,23.201,0.841,36.619666847,168045,255,NaN,NaN,100,168045,628,125,34.992,25.891327211,1.385,0.722,0.947519770,641,100
34,646,255,0,255,255,255,775.008,117.389,775.008,117.389,99.497474683,758,104,32,28,31.863524368,25.814,169.479,0.820,32.893768407,164730,255,NaN,NaN,100,164730,758,115,160.463,26.613997784,1.234,0.810,0.933526012,767,104
35,589,255,0,255,255,255,612.919,121.023,612.919,121.023,94.083261121,598,107,29,28,30.811724055,24.339,40.211,0.836,34.713109915,150195,255,NaN,NaN,100,150195,599,132,41.496,25.455844123,1.266,0.790,0.931962025,610,107
36,222,255,0,255,255,255,729.743,119.919,729.743,119.919,57.941125497,718,112,22,14,21.732635053,13.006,11.392,0.831,22.561028345,56610,255,NaN,NaN,100,56610,718,122,12.804,14.000000000,1.671,0.598,0.926931106,730,112
37,357,255,0,255,255,255,586.646,125.940,586.646,125.940,73.012193309,574,115,24,21,24.632004261,18.453,152.395,0.842,25.079872408,91035,255,NaN,NaN,100,91035,575,122,156.501,18.973665961,1.335,0.749,0.920103093,580,115
38,482,255,0,255,255,255,662.631,126.388,662.631,126.388,90.669047558,645,116,34,21,34.507614988,17.785,9.701,0.737,34.928498393,122910,255,NaN,NaN,100,122910,645,129,13.241,19.350296180,1.940,0.515,0.917221694,659,116
39,666,255,0,255,255,255,699.613,127.473,699.613,127.473,106.669047558,680,116,40,23,40.500032330,20.938,178.142,0.736,40.607881008,169830,255,NaN,NaN,100,169830,680,121,170.074,22.193863286,1.934,0.517,0.919889503,696,116
40,196,255,0,255,255,255,750.005,122.755,750.005,122.755,54.870057685,740,117,20,13,19.513945360,12.789,171.260,0.818,20.615528128,49980,255,NaN,NaN,100,49980,741,117,157.166,13.000000000,1.526,0.655,0.926713948,741,117
41,972,255,0,255,255,255,726.132,141.863,726.132,141.863,138.225396744,704,125,47,35,48.261578816,25.643,28.885,0.639,51.000000000,247860,255,NaN,NaN,100,247860,706,155,28.072,29.800000000,1.882,0.531,0.848908297,738,125
42,943,255,0,255,255,255,629.217,144.345,629.217,144.345,130.468037432,614,126,36,42,44.087870587,27.233,49.089,0.696,50.000000000,240465,255,NaN,NaN,100,240465,614,168,53.130,29.604772776,1.619,0.618,0.892992424,628,126
43,433,255,0,255,255,255,765.833,137.590,765.833,137.590,82.426406871,752,126,27,23,27.767368461,19.855,159.447,0.801,29.154759474,110415,255,NaN,NaN,100,110415,752,131,157.834,21.540659229,1.399,0.715,0.897409326,760,126
44,93,255,0,255,255,255,572.629,133.027,572.629,133.027,36.627416998,568,127,11,12,11.821631248,10.016,110.840,0.871,12.806248475,23715,255,NaN,NaN,100,23715,568,128,141.340,11.000000000,1.180,0.847,0.894230769,571,127
45,377,255,0,255,255,255,666.373,140.946,666.373,140.946,85.012193309,651,132,33,18,34.197026896,14.037,13.655,0.656,34.785054262,96135,255,NaN,NaN,100,96135,651,146,18.435,14.927371339,2.436,0.410,0.895486936,679,132
46,1169,255,0,255,255,255,596.360,151.757,596.360,151.757,155.982756057,573,133,41,42,40.561437148,36.695,129.850,0.604,50.000000000,298095,255,NaN,NaN,100,298095,573,140,143.130,40.399923838,1.105,0.905,0.820063136,598,133
47,563,255,0,255,255,255,689.994,149.271,689.994,149.271,92.083261121,673,137,32,24,30.925497825,23.179,9.722,0.834,32.557641192,143565,255,NaN,NaN,100,143565,673,149,169.380,23.448758225,1.334,0.750,0.930578512,685,137
