 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,588,255,0,255,255,255,740.379,17.743,740.379,17.743,98.426406871,728,2,26,32,32.384414527,23.118,65.283,0.763,34.713109915,149940,255,NaN,NaN,100,149940,728,30,41.496,23.810286217,1.401,0.714,0.903920061,740,2
2,1401,255,0,255,255,255,639.423,27.607,639.423,27.607,161.095454430,612,3,53,46,61.956287670,28.791,34.987,0.678,63.513778033,357255,255,NaN,NaN,100,357255,612,42,33.440,32.757365473,2.152,0.465,0.895780051,655,3
3,529,255,0,255,255,255,764.857,18.814,764.857,18.814,91.941125497,752,6,27,26,28.040560515,24.020,30.984,0.786,32.449961479,134895,255,NaN,NaN,100,134895,752,27,33.690,25.055467878,1.167,0.857,0.920800696,757,6
4,883,255,0,255,255,255,565.116,26.660,565.116,26.660,119.296464556,544,12,44,30,44.966087722,25.003,31.244,0.780,48.301138703,225165,255,NaN,NaN,100,225165,545,39,27.096,26.716472662,1.798,0.556,0.949973104,566,12
5,687,255,0,255,255,255,812.986,30.347,812.986,30.347,104.710678119,797,13,33,34,35.280057645,24.793,58.585,0.787,35.510561809,175185,255,NaN,NaN,100,175185,805,47,57.653,24.695796261,1.423,0.703,0.915389740,812,13
6,1205,255,0,255,255,255,593.348,35.099,593.348,35.099,146.610173055,569,15,48,42,55.245704907,27.771,40.593,0.704,56.586217403,307275,255,NaN,NaN,100,307275,572,55,43.568,32.732816564,1.989,0.503,0.899589399,602,15
7,820,255,0,255,255,255,854.705,39.498,854.705,39.498,108.911688245,839,24,33,32,33.312960296,31.341,162.859,0.869,36.715119501,209100,255,NaN,NaN,100,209100,843,24,119.358,31.443175211,1.063,0.941,0.945790081,843,24
8,297,255,0,255,255,255,830.544,37.726,830.544,37.726,69.941125497,819,26,20,22,25.206080408,15.002,52.489,0.763,27.658633372,75735,255,NaN,NaN,100,75735,821,48,49.399,17.441330224,1.680,0.595,0.920930233,831,26
9,1000,255,0,255,255,255,523.623,44.963,523.623,44.963,127.053823869,503,28,43,34,43.676834334,29.151,23.439,0.778,46.647615159,255000,255,NaN,NaN,100,255000,503,55,30.964,31.752892055,1.498,0.667,0.922934933,524,28
10,631,255,0,255,255,255,657.622,45.118,657.622,45.118,99.396969620,642,28,30,32,35.872903833,22.396,49.540,0.803,37.202150475,160905,255,NaN,NaN,100,160905,647,60,53.746,24.748737342,1.602,0.624,0.941088740,664,28
11,428,255,0,255,255,255,744.888,41.745,744.888,41.745,82.183766184,735,28,22,27,29.462913560,18.496,59.496,0.796,31.384709653,109140,255,NaN,NaN,100,109140,736,55,59.349,20.909876373,1.593,0.628,0.936542670,749,28
12,1348,255,0,255,255,255,480.306,49.825,480.306,49.825,140.367532368,457,29,45,41,46.821545685,36.657,35.462,0.860,49.203658401,343740,255,NaN,NaN,100,343740,463,68,52.431,37.064402214,1.277,0.783,0.953323904,485,29
13,1032,255,0,255,255,255,683.587,49.469,683.587,49.469,130.811183182,665,29,37,41,43.488844803,30.214,58.837,0.758,46.324939288,263160,255,NaN,NaN,100,263160,669,68,57.339,30.990321070,1.439,0.695,0.913678619,689,29
14,858,255,0,255,255,255,765.072,49.050,765.072,49.050,120.225396744,748,30,34,39,43.408105369,25.167,61.346,0.746,44.294469181,218790,255,NaN,NaN,100,218790,755,69,61.699,25.241979602,1.725,0.580,0.926065839,769,30
15,1135,255,0,255,255,255,716.134,53.246,716.134,53.246,134.124891681,696,31,39,43,47.830207131,30.214,52.160,0.793,50.447993023,289425,255,NaN,NaN,100,289425,702,74,50.631,33.009631666,1.583,0.632,0.938016529,725,31
16,922,255,0,255,255,255,788.268,57.667,788.268,57.667,125.053823869,771,37,34,42,43.708377243,26.858,69.813,0.741,44.944410108,235110,255,NaN,NaN,100,235110,781,79,69.146,28.426697862,1.627,0.614,0.911968348,783,37
17,811,255,0,255,255,255,552.285,56.748,552.285,56.748,110.468037432,533,42,38,31,38.695024898,26.686,35.814,0.835,41.012193309,206805,255,NaN,NaN,100,206805,539,72,45.000,26.870057685,1.450,0.690,0.944121071,547,42
18,528,255,0,255,255,255,600.519,58.066,600.519,58.066,94.568542495,587,43,29,30,36.456770920,18.440,50.790,0.742,37.643060449,134640,255,NaN,NaN,100,134640,590,73,50.389,21.160614195,1.977,0.506,0.920662598,605,43
19,494,255,0,255,255,255,896.919,59.352,896.919,59.352,87.597979746,888,43,20,32,31.627227591,19.887,90.457,0.809,32.557641192,125970,255,NaN,NaN,100,125970,896,43,100.620,20.000000000,1.590,0.629,0.950000000,896,43
20,774,255,0,255,255,255,876.588,64.049,876.588,64.049,114.568542495,862,44,27,42,42.395341011,23.245,94.985,0.741,42.755116653,197370,255,NaN,NaN,100,197370,872,44,100.784,25.638088964,1.824,0.548,0.907917889,872,44
21,630,255,0,255,255,255,828.705,63.370,828.705,63.370,105.497474683,816,46,27,36,38.605451377,20.778,67.123,0.711,38.626415832,160650,255,NaN,NaN,100,160650,824,82,68.749,21.805556480,1.858,0.538,0.894886364,833,46
22,479,255,0,255,255,255,809.719,62.755,809.719,62.755,93.012193309,799,47,22,33,35.278947671,17.287,72.755,0.696,35.468295702,122145,255,NaN,NaN,100,122145,806,80,68.499,17.705100628,2.041,0.490,0.902071563,813,47
23,226,255,0,255,255,255,614.664,61.075,614.664,61.075,70.911688245,605,48,19,27,31.130783039,9.243,59.445,0.565,30.016662040,57630,255,NaN,NaN,100,57630,608,75,60.018,9.888367738,3.368,0.297,0.872586873,617,48
24,827,255,0,255,255,255,628.088,68.184,628.088,68.184,123.296464556,610,48,36,40,46.994246826,22.406,53.695,0.684,49.040799341,210885,255,NaN,NaN,100,210885,610,86,50.793,24.352799090,2.097,0.477,0.891644205,635,48
25,808,255,0,255,255,255,443.431,64.902,443.431,64.902,108.811183182,426,50,36,31,34.944809432,29.440,22.051,0.858,37.536648758,206040,255,NaN,NaN,100,206040,428,76,41.760,29.600000000,1.187,0.842,0.949471210,439,50
26,216,255,0,255,255,255,843.167,66.907,843.167,66.907,66.183766184,836,54,15,26,27.864672277,9.870,68.132,0.620,26.832815730,55080,255,NaN,NaN,100,55080,837,79,63.435,10.504514629,2.823,0.354,0.874493927,844,54
27,687,255,0,255,255,255,915.881,74.331,915.881,74.331,110.911688245,903,54,26,40,40.298132603,21.706,96.775,0.702,42.379240201,175185,255,NaN,NaN,100,175185,909,54,109.290,24.594567721,1.857,0.539,0.907529723,909,54
28,580,255,0,255,255,255,500.574,71.783,500.574,71.783,93.639610307,486,56,28,32,30.646163893,24.097,56.725,0.831,32.984845005,147900,255,NaN,NaN,100,147900,496,88,75.964,26.162950904,1.272,0.786,0.925778132,502,56
29,1009,255,0,255,255,255,572.656,76.546,572.656,76.546,124.468037432,554,56,36,40,39.727277684,32.338,68.047,0.818,42.449970554,257295,255,NaN,NaN,100,257295,555,87,43.091,34.435446853,1.229,0.814,0.930382665,572,56
30,1081,255,0,255,255,255,734.420,77.174,734.420,77.174,128.710678119,717,56,37,42,47.093083100,29.227,54.325,0.820,49.203658401,275655,255,NaN,NaN,100,275655,717,95,52.431,29.820851528,1.611,0.621,0.955791335,735,56
31,710,255,0,255,255,255,856.530,77.645,856.530,77.645,110.568542495,843,57,27,40,38.343207422,23.577,84.383,0.730,40.607881008,181050,255,NaN,NaN,100,181050,852,57,99.926,26.632635943,1.626,0.615,0.917312661,852,57
32,963,255,0,255,255,255,647.374,79.988,647.374,79.988,135.195959493,626,59,42,42,52.599515484,23.311,46.220,0.662,54.488530903,245565,255,NaN,NaN,100,245565,627,99,47.231,26.399446381,2.256,0.443,0.897483691,661,59
33,391,255,0,255,255,255,950.474,70.592,950.474,70.592,76.669047558,940,59,23,25,23.469295626,21.212,101.541,0.836,27.313000567,99705,255,NaN,NaN,100,99705,942,59,113.749,22.465357947,1.106,0.904,0.928741093,942,59
34,687,255,0,255,255,255,411.314,73.549,411.314,73.549,101.497474683,397,60,30,31,32.529401995,26.890,50.152,0.838,36.796738986,175185,255,NaN,NaN,100,175185,400,88,47.203,27.986326711,1.210,0.827,0.944329897,406,60
35,396,255,0,255,255,255,523.672,71.061,523.672,71.061,81.597979746,512,61,26,23,27.459609862,18.362,31.440,0.747,29.068883707,100980,255,NaN,NaN,100,100980,512,82,40.815,19.677398202,1.495,0.669,0.913494810,520,61
36,358,255,0,255,255,255,689.321,76.480,689.321,76.480,74.669047558,679,65,22,25,25.734476116,17.712,53.837,0.807,27.018512172,91290,255,NaN,NaN,100,91290,679,86,51.009,19.091883092,1.453,0.688,0.917948718,690,65
37,1203,255,0,255,255,255,759.788,91.384,759.788,91.384,142.367532368,739,68,41,46,49.918535804,30.684,56.624,0.746,51.312766443,306765,255,NaN,NaN,100,306765,742,111,56.929,33.345698708,1.627,0.615,0.916920732,765,68
38,557,255,0,255,255,255,384.184,83.809,384.184,83.809,97.254833996,369,69,30,28,34.035254169,20.837,31.888,0.740,36.878177829,142035,255,NaN,NaN,100,142035,372,97,49.399,21.019038988,1.633,0.612,0.932217573,392,69
39,1790,255,0,255,255,255,467.137,92.817,467.137,92.817,166.267027305,443,69,52,49,52.194378814,43.666,38.944,0.814,55.470712993,456450,255,NaN,NaN,100,456450,454,117,56.023,46.991828573,1.195,0.837,0.911405295,462,69
40,280,255,0,255,255,255,671.229,80.329,671.229,80.329,65.355339059,662,69,17,23,23.469253914,15.190,66.421,0.824,24.596747752,71400,255,NaN,NaN,100,71400,667,92,63.435,16.546903033,1.545,0.647,0.928689884,669,69
41,580,255,0,255,255,255,967.593,86.412,967.593,86.412,95.497474683,954,70,27,31,29.654081003,24.903,100.140,0.799,33.241540277,147900,255,NaN,NaN,100,147900,964,70,111.161,25.686425458,1.191,0.840,0.911949686,964,70
42,451,255,0,255,255,255,596.575,85.414,596.575,85.414,85.740115370,583,72,26,28,30.841484251,18.619,49.771,0.771,32.202484376,115005,255,NaN,NaN,100,115005,583,95,36.158,21.213203436,1.656,0.604,0.912955466,603,72
43,636,255,0,255,255,255,536.467,85.425,536.467,85.425,103.254833996,517,73,37,24,39.026692543,20.749,16.210,0.750,40.816663264,162180,255,NaN,NaN,100,162180,518,95,30.964,23.556031031,1.881,0.532,0.925090909,539,73
44,723,255,0,255,255,255,702.593,92.200,702.593,92.200,104.669047558,688,75,28,34,39.085363195,23.552,56.410,0.829,42.638011211,184365,255,NaN,NaN,100,184365,689,108,50.711,24.364670491,1.660,0.603,0.965287049,702,75
45,1117,255,0,255,255,255,791.205,97.048,791.205,97.048,130.468037432,773,75,35,44,44.729572780,31.796,68.670,0.825,47.539457296,284835,255,NaN,NaN,100,284835,782,119,67.751,33.879125165,1.407,0.711,0.936295054,795,75
46,956,255,0,255,255,255,895.787,96.405,895.787,96.405,125.639610307,880,75,32,44,44.546817165,27.324,96.056,0.761,46.173585522,243780,255,NaN,NaN,100,243780,890,75,107.650,29.409182240,1.630,0.613,0.932682927,890,75
47,164,255,0,255,255,255,985.024,82.823,985.024,82.823,49.213203436,978,75,14,15,18.134352590,11.515,130.348,0.851,20.518284529,41820,255,NaN,NaN,100,41820,978,75,133.025,12.969194269,1.575,0.635,0.947976879,978,75
48,840,255,0,255,255,255,940.530,95.446,940.530,95.446,115.639610307,924,76,32,39,39.338956157,27.187,117.725,0.789,43.046486500,214200,255,NaN,NaN,100,214200,930,77,120.735,29.676460498,1.447,0.691,0.921052632,938,76
49,755,255,0,255,255,255,427.132,93.491,427.132,93.491,109.154328933,409,77,34,32,36.080219014,26.643,31.100,0.796,39.115214431,192525,255,NaN,NaN,100,192525,410,103,32.471,29.213701699,1.354,0.738,0.929230769,427,77
50,385,255,0,255,255,255,816.040,91.949,816.040,91.949,75.941125497,808,78,17,28,27.519023182,17.813,94.240,0.839,28.442925307,98175,255,NaN,NaN,100,98175,814,78,100.125,17.000000000,1.545,0.647,0.949445129,814,78
51,340,255,0,255,255,255,834.379,90.268,834.379,90.268,70.769552622,825,79,20,23,22.328977238,19.387,84.795,0.853,24.083189158,86700,255,NaN,NaN,100,86700,826,99,48.366,19.798989873,1.152,0.868,0.925170068,833,79
52,295,255,0,255,255,255,506.727,92.734,506.727,92.734,66.769552622,495,83,22,19,21.723019188,17.291,18.457,0.832,23.706539182,75225,255,NaN,NaN,100,75225,495,96,27.646,18.198143141,1.256,0.796,0.906298003,509,83
53,1025,255,0,255,255,255,872.127,110.293,872.127,110.293,128.710678119,856,86,34,45,44.122845494,29.578,98.334,0.778,46.324939288,261375,255,NaN,NaN,100,261375,870,86,103.736,31.503184839,1.492,0.670,0.922177238,870,86
54,879,255,0,255,255,255,607.065,104.773,607.065,104.773,118.468037432,590,87,36,37,44.689646237,25.043,44.058,0.787,46.690470120,224145,255,NaN,NaN,100,224145,591,121,43.264,26.870057685,1.784,0.560,0.933616569,609,87
55,381,255,0,255,255,255,653.046,100.736,653.046,100.736,79.740115370,640,87,26,25,30.852378913,15.723,43.279,0.753,31.400636936,97155,255,NaN,NaN,100,97155,643,112,52.765,16.970562748,1.962,0.510,0.924757282,659,87
56,814,255,0,255,255,255,672.295,107.518,672.295,107.518,117.296464556,655,87,33,40,44.289578263,23.401,53.571,0.743,46.400431032,207570,255,NaN,NaN,100,207570,657,126,52.883,26.162950904,1.893,0.528,0.918217710,679,87
57,645,255,0,255,255,255,550.060,107.050,550.060,107.050,113.195959493,532,88,36,37,43.934452883,18.692,55.318,0.633,43.011626335,164475,255,NaN,NaN,100,164475,533,122,35.538,21.294131971,2.350,0.425,0.833872010,554,88
58,840,255,0,255,255,255,388.243,105.462,388.243,105.462,120.710678119,369,89,40,35,44.160108952,24.219,31.040,0.724,45.793012567,214200,255,NaN,NaN,100,214200,369,116,31.608,28.542495216,1.823,0.548,0.904684976,398,89
59,814,255,0,255,255,255,990.475,109.333,990.475,109.333,110.911688245,976,91,28,38,37.936694449,27.320,101.170,0.832,39.849717690,207570,255,NaN,NaN,100,207570,982,91,107.526,27.272794315,1.389,0.720,0.941584731,982,91
60,353,255,0,255,255,255,847.908,105.902,847.908,105.902,72.526911935,837,94,20,23,23.761532187,18.915,81.313,0.843,25.238858928,90015,255,NaN,NaN,100,90015,842,117,56.310,19.969592269,1.256,0.796,0.936339523,845,94
