 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,357,255,0,255,255,255,607.015,12.085,607.015,12.085,88.426406871,590,5,36,17,35.011663533,12.983,12.704,0.574,36.496575182,91035,255,NaN,NaN,100,91035,590,12,9.462,15.504341824,2.697,0.371,0.884758364,615,5
2,498,255,0,255,255,255,692.353,19.922,692.353,19.922,84.083261121,677,8,29,23,28.925170443,21.921,173.538,0.885,30.083217913,126990,255,NaN,NaN,100,126990,677,17,158.552,22.698356430,1.320,0.758,0.946768061,688,8
3,921,255,0,255,255,255,804.257,21.201,804.257,21.201,125.740115370,782,8,46,28,48.092943031,24.383,168.423,0.732,48.703182648,234855,255,NaN,NaN,100,234855,782,11,160.821,24.496098129,1.972,0.507,0.938359654,788,8
4,787,255,0,255,255,255,584.482,25.369,584.482,25.369,115.396969620,565,9,36,34,41.904228308,23.913,135.741,0.743,45.276925691,200685,255,NaN,NaN,100,200685,565,12,136.790,26.162950904,1.752,0.571,0.920467836,577,9
5,1939,255,0,255,255,255,622.642,40.095,622.642,40.095,175.095454430,599,9,47,59,56.286176937,43.862,90.315,0.795,61.131006862,494445,255,NaN,NaN,100,494445,613,68,74.827,45.045313972,1.283,0.779,0.944011685,627,9
6,1458,255,0,255,255,255,661.615,34.217,661.615,34.217,158.468037432,637,12,47,46,51.015356510,36.389,135.326,0.730,58.898217291,371790,255,NaN,NaN,100,371790,637,13,139.821,41.019985071,1.402,0.713,0.922492882,639,12
7,703,255,0,255,255,255,561.573,30.831,561.573,30.831,112.225396744,545,14,35,34,41.504457621,21.566,132.064,0.701,42.449970554,179265,255,NaN,NaN,100,179265,547,17,133.091,25.381790601,1.925,0.520,0.880400751,556,14
8,350,255,0,255,255,255,843.320,22.834,843.320,22.834,87.012193309,826,15,35,17,35.758193150,12.462,166.922,0.581,36.138621999,89250,255,NaN,NaN,100,89250,826,16,165.579,12.854388127,2.869,0.349,0.888324873,827,15
9,721,255,0,255,255,255,531.689,36.684,531.689,36.684,107.012193309,518,20,29,33,36.215976579,25.348,55.023,0.791,40.459856648,183855,255,NaN,NaN,100,183855,518,51,50.013,28.534463608,1.429,0.700,0.938191282,536,20
10,399,255,0,255,255,255,868.964,36.335,868.964,36.335,76.769552622,856,25,24,22,26.794701987,18.960,147.819,0.851,28.844410204,101745,255,NaN,NaN,100,101745,856,31,146.310,20.318215889,1.413,0.708,0.941037736,862,25
11,905,255,0,255,255,255,840.809,42.170,840.809,42.170,125.639610307,818,27,46,30,46.338589795,24.867,161.900,0.720,48.846698967,230775,255,NaN,NaN,100,230775,818,35,157.109,25.620822560,1.863,0.537,0.910920986,829,27
12,869,255,0,255,255,255,500.286,41.919,500.286,41.919,122.811183182,475,28,43,31,39.729267226,27.850,177.904,0.724,44.643028571,221595,255,NaN,NaN,100,221595,475,41,15.593,31.000000000,1.427,0.701,0.930406852,500,28
13,1152,255,0,255,255,255,797.824,45.377,797.824,45.377,143.539105243,772,28,52,35,54.221894442,27.051,158.373,0.703,55.362442143,293760,255,NaN,NaN,100,293760,772,33,159.928,28.536138550,2.004,0.499,0.917197452,781,28
14,985,255,0,255,255,255,703.515,44.350,703.515,44.350,126.225396744,683,29,42,33,42.878704609,29.249,173.744,0.777,43.965895874,251175,255,NaN,NaN,100,251175,683,51,17.199,31.304951685,1.466,0.682,0.931001890,704,29
15,1016,255,0,255,255,255,750.642,43.414,750.642,43.414,131.154328933,726,29,48,29,48.448982918,26.700,172.538,0.742,49.244289009,259080,255,NaN,NaN,100,259080,726,38,167.093,28.142849891,1.815,0.551,0.924056389,738,29
16,592,255,0,255,255,255,894.424,45.149,894.424,45.149,95.254833996,881,31,29,28,32.464489202,23.218,143.892,0.820,36.769552622,150960,255,NaN,NaN,100,150960,881,31,135.000,24.748737342,1.398,0.715,0.938937351,881,31
17,589,255,0,255,255,255,551.052,52.974,551.052,52.974,92.811183182,536,37,29,30,28.475596328,26.336,95.519,0.859,31.780497164,150195,255,NaN,NaN,100,150195,548,37,114.146,26.870057685,1.081,0.925,0.934179223,548,37
18,622,255,0,255,255,255,481.442,56.762,481.442,56.762,105.982756057,465,41,37,28,40.122660272,19.738,150.294,0.696,43.566041822,158610,255,NaN,NaN,100,158610,465,43,148.134,21.581891687,2.033,0.492,0.924219911,472,41
19,609,255,0,255,255,255,595.290,58.014,595.290,58.014,109.882250994,577,41,35,34,42.667103492,18.173,129.165,0.634,44.045431091,155295,255,NaN,NaN,100,155295,581,41,129.472,19.614696629,2.348,0.426,0.876258993,581,41
20,1175,255,0,255,255,255,456.382,67.737,456.382,67.737,141.781745931,435,43,40,46,43.805161392,34.153,104.789,0.735,46.872166581,299625,255,NaN,NaN,100,299625,455,89,78.930,38.003880146,1.283,0.780,0.891840607,456,43
21,458,255,0,255,255,255,921.015,56.487,921.015,56.487,83.254833996,908,44,26,25,27.441003951,21.251,131.275,0.830,30.479501308,116790,255,NaN,NaN,100,116790,911,45,131.009,22.627416998,1.291,0.774,0.915084915,918,44
22,327,255,0,255,255,255,876.463,56.534,876.463,56.534,71.012193309,864,47,25,19,26.950047456,15.449,147.110,0.815,29.068883707,83385,255,NaN,NaN,100,83385,865,47,139.185,16.263455967,1.744,0.573,0.935622318,865,47
23,780,255,0,255,255,255,577.595,68.199,577.595,68.199,115.639610307,562,49,32,39,41.902019986,23.701,117.430,0.733,44.294469181,198900,255,NaN,NaN,100,198900,566,49,118.301,25.150307373,1.768,0.566,0.911747516,566,49
24,875,255,0,255,255,255,726.949,65.569,726.949,65.569,119.639610307,706,49,41,32,41.034377492,27.150,13.698,0.768,43.462627624,223125,255,NaN,NaN,100,223125,707,75,23.025,29.516097303,1.511,0.662,0.923970433,726,49
25,424,255,0,255,255,255,783.170,62.377,783.170,62.377,84.325901808,769,50,28,25,30.694981023,17.588,145.795,0.749,31.400636936,108120,255,NaN,NaN,100,108120,774,50,127.235,19.230184606,1.745,0.573,0.897354497,774,50
26,671,255,0,255,255,255,652.034,66.806,652.034,66.806,97.154328933,636,51,31,29,30.242668667,28.250,162.607,0.893,32.202484376,171105,255,NaN,NaN,100,171105,647,51,115.769,29.000000000,1.071,0.934,0.949752300,647,51
27,320,255,0,255,255,255,429.600,61.866,429.600,61.866,71.012193309,417,52,25,19,26.826100215,15.188,26.646,0.797,28.017851452,81600,255,NaN,NaN,100,81600,419,71,34.824,16.753211725,1.766,0.566,0.920863309,434,52
28,2944,255,0,255,255,255,528.939,89.315,528.939,89.315,217.237590053,503,52,55,73,74.328381765,50.430,107.911,0.784,75.802374633,750720,255,NaN,NaN,100,750720,503,60,126.416,52.799406176,1.474,0.678,0.934751548,518,52
29,816,255,0,255,255,255,686.770,67.480,686.770,67.480,114.811183182,667,52,39,31,39.977052874,25.989,160.692,0.778,42.154477817,208080,255,NaN,NaN,100,208080,667,59,157.694,26.069585491,1.538,0.650,0.927799886,681,52
30,446,255,0,255,255,255,760.825,67.610,760.825,67.610,82.769552622,747,58,29,20,29.531420886,19.229,163.725,0.818,30.870698081,113730,255,NaN,NaN,100,113730,748,59,155.095,20.000000000,1.536,0.651,0.938947368,750,58
31,566,255,0,255,255,255,401.313,74.984,401.313,74.984,100.083261121,383,63,35,25,34.420756958,20.937,22.230,0.710,37.735924528,144330,255,NaN,NaN,100,144330,384,83,32.005,24.434842714,1.644,0.608,0.908507223,405,63
32,1126,255,0,255,255,255,490.204,88.238,490.204,88.238,138.325901808,472,67,33,44,44.243152628,32.404,94.157,0.740,47.801673611,287130,255,NaN,NaN,100,287130,476,69,127.349,33.000000000,1.365,0.732,0.919183673,498,67
33,376,255,0,255,255,255,559.830,78.346,559.830,78.346,78.426406871,548,67,23,25,27.713577136,17.274,124.262,0.768,29.206163733,95880,255,NaN,NaN,100,95880,548,68,141.953,17.441330224,1.604,0.623,0.928395062,551,67
34,781,255,0,255,255,255,626.871,83.186,626.871,83.186,115.396969620,610,67,33,37,36.944306058,26.916,111.642,0.737,41.340053217,199155,255,NaN,NaN,100,199155,613,69,122.152,27.515114847,1.373,0.729,0.910787172,627,67
35,1981,255,0,255,255,255,432.655,99.844,432.655,99.844,176.752308679,408,71,48,59,58.999318331,42.751,119.219,0.797,61.400325732,505155,255,NaN,NaN,100,505155,422,71,106.074,46.734558510,1.380,0.725,0.922897741,422,71
36,1110,255,0,255,255,255,743.918,92.986,743.918,92.986,149.882250994,726,73,45,42,46.517721874,30.382,49.721,0.621,51.739733281,283050,255,NaN,NaN,100,283050,730,113,41.082,35.770273536,1.531,0.653,0.822222222,744,73
37,882,255,0,255,255,255,680.408,93.743,680.408,93.743,120.811183182,662,74,35,38,42.313990081,26.540,126.013,0.759,44.944410108,224910,255,NaN,NaN,100,224910,667,74,122.276,29.126731980,1.594,0.627,0.933333333,667,74
38,1028,255,0,255,255,255,607.157,97.612,607.157,97.612,133.539105243,588,75,38,44,50.735779078,25.798,121.269,0.724,51.623637997,262140,255,NaN,NaN,100,262140,595,75,121.535,25.643625457,1.967,0.508,0.930316742,595,75
39,500,255,0,255,255,255,710.052,87.702,710.052,87.702,92.669047558,695,76,33,23,31.811324782,20.012,7.676,0.732,33.376638537,127500,255,NaN,NaN,100,127500,695,84,171.384,21.984813476,1.590,0.629,0.897666068,705,76
40,1144,255,0,255,255,255,654.605,102.607,654.605,102.607,134.468037432,636,81,38,43,45.993695670,31.669,114.505,0.795,48.877397639,291720,255,NaN,NaN,100,291720,644,81,120.763,32.658915596,1.452,0.689,0.941951420,644,81
