 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,363,255,0,255,255,255,729.236,13.211,729.236,13.211,73.497474683,716,4,26,21,23.838748969,19.388,2.271,0.844,26.925824036,92565,255,NaN,NaN,100,92565,716,15,15.068,20.796277275,1.230,0.813,0.929577465,723,4
2,1069,255,0,255,255,255,755.211,23.620,755.211,23.620,128.568542495,733,7,44,32,43.010197077,31.646,13.296,0.813,45.617978912,272595,255,NaN,NaN,100,272595,736,38,26.003,31.710386759,1.359,0.736,0.932402966,746,7
3,1545,255,0,255,255,255,610.384,32.460,610.384,32.460,154.953318806,585,11,51,42,52.666090266,37.351,164.939,0.809,55.470712993,393975,255,NaN,NaN,100,393975,585,21,152.049,40.008040023,1.410,0.709,0.947271613,614,11
4,1844,255,0,255,255,255,555.346,32.340,555.346,32.340,172.468037432,528,12,56,42,57.466255346,40.856,7.393,0.779,61.400325732,470220,255,NaN,NaN,100,470220,531,52,30.324,40.834041374,1.407,0.711,0.933198381,557,12
5,1977,255,0,255,255,255,704.991,35.822,704.991,35.822,173.438600180,676,14,59,43,59.359762716,42.406,172.178,0.826,61.131006862,504135,255,NaN,NaN,100,504135,676,26,164.827,43.000000000,1.400,0.714,0.942550656,690,14
6,330,255,0,255,255,255,789.058,26.861,789.058,26.861,71.698484810,777,19,24,17,25.209505392,16.667,170.923,0.807,26.925824036,84150,255,NaN,NaN,100,84150,778,19,148.671,17.000000000,1.513,0.661,0.932203390,778,19
7,1138,255,0,255,255,255,655.730,38.880,655.730,38.880,132.710678119,635,20,41,40,41.973975652,34.520,25.959,0.812,45.177427992,290190,255,NaN,NaN,100,290190,635,47,27.699,36.721152990,1.216,0.822,0.932786885,659,20
8,584,255,0,255,255,255,518.795,38.889,518.795,38.889,93.112698372,506,24,24,29,30.091095867,24.711,97.082,0.846,32.557641192,148920,255,NaN,NaN,100,148920,508,28,132.510,23.837853159,1.218,0.821,0.955028618,520,24
9,432,255,0,255,255,255,849.030,37.081,849.030,37.081,85.396969620,834,26,32,23,31.088660082,17.693,156.626,0.744,32.756678708,110160,255,NaN,NaN,100,110160,834,32,167.661,19.662912729,1.757,0.569,0.933045356,836,26
10,924,255,0,255,255,255,492.868,45.067,492.868,45.067,121.740115370,475,28,36,36,37.162151818,31.658,113.237,0.783,41.036569057,235620,255,NaN,NaN,100,235620,481,28,133.025,32.310002835,1.174,0.852,0.917121588,481,28
11,265,255,0,255,255,255,776.326,40.666,776.326,40.666,62.669047558,765,31,21,20,19.661769218,17.161,159.381,0.848,21.377558326,67575,255,NaN,NaN,100,67575,765,41,10.784,16.994116629,1.146,0.873,0.916955017,775,31
12,704,255,0,255,255,255,798.435,48.584,798.435,48.584,106.426406871,782,34,33,29,33.782148626,26.534,26.162,0.781,37.013511047,179520,255,NaN,NaN,100,179520,786,63,38.418,27.064026649,1.273,0.785,0.919060052,799,34
13,954,255,0,255,255,255,830.445,55.026,830.445,55.026,118.325901808,813,36,34,36,37.387199725,32.489,123.887,0.856,42.426406871,243270,255,NaN,NaN,100,243270,816,41,135.000,33.234018716,1.151,0.869,0.954954955,830,36
14,1521,255,0,255,255,255,870.729,60.083,870.729,60.083,154.610173055,847,38,50,44,50.868408778,38.071,17.999,0.800,53.488316481,387855,255,NaN,NaN,100,387855,847,71,20.807,40.937056248,1.336,0.748,0.921259843,867,38
15,1393,255,0,255,255,255,757.403,57.079,757.403,57.079,152.367532368,731,39,54,38,54.156548059,32.750,157.069,0.754,55.785302724,355215,255,NaN,NaN,100,355215,731,50,165.466,35.615384615,1.654,0.605,0.923433875,736,39
16,1251,255,0,255,255,255,586.095,61.274,586.095,61.274,138.468037432,565,41,44,38,44.569943269,35.738,3.081,0.820,47.010637094,319005,255,NaN,NaN,100,319005,566,73,23.839,37.305201185,1.247,0.802,0.943794794,584,41
17,169,255,0,255,255,255,471.417,52.577,471.417,52.577,51.112698372,463,44,16,16,14.997154220,14.348,67.999,0.813,17.088007491,43095,255,NaN,NaN,100,43095,463,52,159.444,15.522280002,1.045,0.957,0.906166220,471,44
18,1359,255,0,255,255,255,677.348,69.292,677.348,69.292,142.024386618,655,46,44,44,44.497048719,38.886,137.346,0.847,47.010637094,346545,255,NaN,NaN,100,346545,655,61,156.161,40.482048199,1.144,0.874,0.935306263,675,46
19,1873,255,0,255,255,255,629.658,73.459,629.658,73.459,169.923881554,604,48,52,52,49.806307732,47.881,28.223,0.815,53.254107823,477615,255,NaN,NaN,100,477615,610,91,34.287,49.449803022,1.040,0.961,0.936734184,632,48
20,557,255,0,255,255,255,550.505,62.611,550.505,62.611,94.041630560,535,52,30,21,31.159348563,22.760,178.030,0.791,34.481879299,142035,255,NaN,NaN,100,142035,535,55,150.461,21.000000000,1.369,0.730,0.955403087,547,52
21,3244,255,0,255,255,255,917.304,88.290,917.304,88.290,229.237590053,890,52,58,76,74.228282195,55.644,88.932,0.776,79.120161779,827220,255,NaN,NaN,100,827220,901,52,106.144,58.000000000,1.334,0.750,0.930179211,901,52
22,693,255,0,255,255,255,396.227,68.203,396.227,68.203,104.325901808,379,53,33,30,32.454530509,27.187,33.769,0.800,35.000000000,176715,255,NaN,NaN,100,176715,388,82,53.130,29.988331064,1.194,0.838,0.916666667,401,53
23,1951,255,0,255,255,255,512.157,78.603,512.157,78.603,177.781745931,484,53,54,51,58.591272448,42.397,38.904,0.776,62.201286160,497505,255,NaN,NaN,100,497505,484,92,36.501,45.640000000,1.382,0.724,0.931042711,522,53
24,346,255,0,255,255,255,727.653,64.561,727.653,64.561,73.497474683,717,53,23,23,23.046048728,19.116,134.058,0.805,25.495097568,88230,255,NaN,NaN,100,88230,717,58,154.440,20.302589046,1.206,0.829,0.904575163,726,53
25,1404,255,0,255,255,255,464.276,74.407,464.276,74.407,150.468037432,438,56,52,35,51.817852121,34.498,3.206,0.779,52.773099208,358020,255,NaN,NaN,100,358020,438,73,9.819,35.000000000,1.502,0.666,0.939759036,458,56
26,259,255,0,255,255,255,706.334,64.180,706.334,64.180,64.041630560,696,57,21,16,21.347196477,15.448,10.375,0.794,22.825424421,66045,255,NaN,NaN,100,66045,696,58,151.189,15.681276703,1.382,0.724,0.920071048,705,57
27,1004,255,0,255,255,255,802.610,76.655,802.610,76.655,124.124891681,781,60,42,35,37.811601194,33.808,160.979,0.819,42.107006543,256020,255,NaN,NaN,100,256020,781,71,175.914,34.400000000,1.118,0.894,0.940955951,803,60
28,1255,255,0,255,255,255,425.235,88.169,425.235,88.169,146.367532368,406,66,39,50,49.116986284,32.533,102.634,0.736,53.141321022,320025,255,NaN,NaN,100,320025,413,66,109.799,34.328838735,1.510,0.662,0.912727273,413,66
29,308,255,0,255,255,255,713.782,78.315,713.782,78.315,73.355339059,699,70,27,17,27.067918638,14.488,170.897,0.719,27.856776554,78540,255,NaN,NaN,100,78540,699,76,158.962,16.168331323,1.868,0.535,0.915304606,714,70
30,957,255,0,255,255,255,744.344,87.925,744.344,87.925,120.811183182,725,70,36,37,37.405941805,32.575,152.320,0.824,40.496913463,244035,255,NaN,NaN,100,244035,727,77,147.095,32.654480068,1.148,0.871,0.934570312,740,70
31,1394,255,0,255,255,255,835.850,92.733,835.850,92.733,140.710678119,813,72,43,42,44.224910798,40.133,55.003,0.885,46.957427527,355470,255,NaN,NaN,100,355470,826,114,63.435,41.085391978,1.102,0.907,0.958734525,833,72
32,1115,255,0,255,255,255,553.749,89.714,553.749,89.714,131.882250994,532,73,42,37,41.038652589,34.593,6.719,0.806,44.944410108,284325,255,NaN,NaN,100,284325,532,96,20.854,36.704454513,1.186,0.843,0.930329579,562,73
33,765,255,0,255,255,255,777.066,90.176,777.066,90.176,110.225396744,762,73,34,34,36.356169913,26.791,137.474,0.791,38.470768123,195075,255,NaN,NaN,100,195075,762,78,152.103,29.484693683,1.357,0.737,0.939226519,776,73
34,905,255,0,255,255,255,875.486,91.919,875.486,91.919,118.526911935,857,76,35,31,36.786097007,31.324,3.308,0.810,40.496913463,230775,255,NaN,NaN,100,230775,857,83,147.095,31.000000000,1.174,0.852,0.949134767,880,76
