 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,529,255,0,255,255,255,702.211,14.674,702.211,14.674,93.597979746,686,5,33,22,32.477259800,20.739,5.537,0.759,33.734255587,134895,255,NaN,NaN,100,134895,686,14,11.976,22.000000000,1.566,0.639,0.916017316,700,5
2,456,255,0,255,255,255,732.037,15.682,732.037,15.682,82.183766184,719,6,26,23,25.600501154,22.679,170.754,0.848,28.319604517,116280,255,NaN,NaN,100,116280,720,6,137.862,23.000000000,1.129,0.886,0.954973822,720,6
3,365,255,0,255,255,255,778.733,14.549,778.733,14.549,77.698484810,765,7,28,16,27.369825879,16.980,0.140,0.760,28.442925307,93075,255,NaN,NaN,100,93075,765,8,169.875,16.000000000,1.612,0.620,0.935897436,766,7
4,898,255,0,255,255,255,670.661,26.105,670.661,26.105,115.396969620,654,10,35,35,36.766888916,31.098,40.663,0.847,39.698866483,228990,255,NaN,NaN,100,228990,659,42,49.086,32.938714366,1.182,0.846,0.945760927,663,10
5,552,255,0,255,255,255,755.418,23.418,755.418,23.418,91.840620434,741,10,28,27,27.538403950,25.522,87.207,0.822,30.528675045,140760,255,NaN,NaN,100,140760,746,11,121.608,26.246904579,1.079,0.927,0.928511354,759,10
6,610,255,0,255,255,255,822.533,24.859,822.533,24.859,100.426406871,811,10,26,32,33.529493786,23.164,74.415,0.760,35.510561809,155550,255,NaN,NaN,100,155550,816,42,57.653,24.605500542,1.447,0.691,0.916604057,816,10
7,471,255,0,255,255,255,800.649,24.273,800.649,24.273,83.355339059,788,12,23,26,26.243810741,22.851,86.723,0.852,28.653097564,120105,255,NaN,NaN,100,120105,796,38,60.751,23.000000000,1.148,0.871,0.944834504,794,12
8,608,255,0,255,255,255,844.972,28.405,844.972,28.405,102.325901808,829,13,32,29,31.132670867,24.866,46.343,0.730,36.878177829,155040,255,NaN,NaN,100,155040,829,41,40.601,27.079913512,1.252,0.799,0.892149670,841,13
9,186,255,0,255,255,255,867.849,21.457,867.849,21.457,56.041630560,858,16,22,11,22.210698551,10.663,175.818,0.744,23.086792761,47430,255,NaN,NaN,100,47430,858,17,162.350,11.000000000,2.083,0.480,0.918518519,860,16
10,563,255,0,255,255,255,624.816,33.972,624.816,33.972,96.325901808,609,19,30,29,31.518190166,22.743,31.776,0.762,33.541019662,143565,255,NaN,NaN,100,143565,609,40,26.565,23.782574708,1.386,0.722,0.902243590,632,19
11,625,255,0,255,255,255,716.596,35.484,716.596,35.484,94.811183182,703,19,27,33,29.351502564,27.112,103.099,0.874,33.241540277,159375,255,NaN,NaN,100,159375,715,52,83.089,26.870057685,1.083,0.924,0.949126803,717,19
12,247,255,0,255,255,255,893.419,26.626,893.419,26.626,64.669047558,881,19,25,17,23.457204215,13.407,164.368,0.742,25.961509971,62985,255,NaN,NaN,100,62985,881,21,164.358,15.737918570,1.750,0.572,0.894927536,885,19
13,296,255,0,255,255,255,600.010,32.541,600.010,32.541,66.526911935,591,22,18,22,21.459751261,17.562,90.702,0.840,23.086792761,75480,255,NaN,NaN,100,75480,598,44,72.350,17.819090886,1.222,0.818,0.916408669,598,22
14,583,255,0,255,255,255,575.826,35.212,575.826,35.212,97.254833996,561,23,31,26,33.753750202,21.992,26.565,0.775,36.619666847,148665,255,NaN,NaN,100,148665,562,45,34.992,23.255106966,1.535,0.652,0.926131851,583,23
15,295,255,0,255,255,255,645.961,34.673,645.961,34.673,68.284271247,637,24,18,22,23.134757071,16.236,60.272,0.795,26.076809621,75225,255,NaN,NaN,100,75225,639,46,57.529,18.000000000,1.425,0.702,0.916149068,647,24
16,677,255,0,255,255,255,779.479,38.203,779.479,38.203,102.083261121,763,24,32,29,31.123267721,27.696,131.895,0.816,34.828149535,172635,255,NaN,NaN,100,172635,770,24,129.174,27.818973864,1.124,0.890,0.934437543,770,24
17,271,255,0,255,255,255,694.072,35.474,694.072,35.474,65.597979746,684,25,19,22,20.324324176,16.977,86.576,0.791,22.203603311,69105,255,NaN,NaN,100,69105,690,25,97.765,18.637249229,1.197,0.835,0.888524590,690,25
18,1580,255,0,255,255,255,872.475,48.987,872.475,48.987,153.781745931,850,25,47,46,47.411512599,42.431,36.137,0.840,51.429563482,402900,255,NaN,NaN,100,402900,858,71,63.435,42.992092296,1.117,0.895,0.941877794,879,25
19,264,255,0,255,255,255,739.121,37.557,739.121,37.557,61.941125497,731,27,18,20,19.791004621,16.984,122.883,0.865,21.400934559,67320,255,NaN,NaN,100,67320,731,30,127.405,18.000000000,1.165,0.858,0.926315789,739,27
20,626,255,0,255,255,255,910.867,39.791,910.867,39.791,97.497474683,894,27,33,26,32.909116502,24.220,24.481,0.828,34.785054262,159630,255,NaN,NaN,100,159630,894,43,18.435,26.000000000,1.359,0.736,0.926035503,907,27
21,666,255,0,255,255,255,543.261,43.658,543.261,43.658,107.254833996,524,31,37,26,38.326116413,22.125,15.213,0.728,40.311288741,169830,255,NaN,NaN,100,169830,525,51,29.745,23.626016999,1.732,0.577,0.934081346,551,31
22,983,255,0,255,255,255,937.858,52.369,937.858,52.369,123.396969620,919,34,36,38,38.551089959,32.466,85.017,0.811,42.544094772,250665,255,NaN,NaN,100,250665,928,34,119.578,33.679027941,1.187,0.842,0.931312174,928,34
23,302,255,0,255,255,255,802.805,46.391,802.805,46.391,69.497474683,793,36,22,23,24.490593356,15.701,47.841,0.786,25.495097568,77010,255,NaN,NaN,100,77010,799,59,64.440,17.453454584,1.560,0.641,0.902840060,806,36
24,732,255,0,255,255,255,674.978,55.727,674.978,55.727,109.396969620,658,38,33,34,36.257107178,25.706,48.784,0.769,38.013155617,186660,255,NaN,NaN,100,186660,667,72,63.435,27.890318446,1.410,0.709,0.920175990,682,38
25,617,255,0,255,255,255,757.383,53.119,757.383,53.119,96.911688245,744,38,28,31,30.658084983,25.624,101.631,0.826,33.615472628,157335,255,NaN,NaN,100,157335,750,38,112.751,26.879360111,1.196,0.836,0.934140802,750,38
26,492,255,0,255,255,255,585.077,54.929,585.077,54.929,88.083261121,573,40,24,30,30.480562125,20.552,55.616,0.797,31.953090617,125460,255,NaN,NaN,100,125460,581,70,69.864,22.591650482,1.483,0.674,0.921348315,589,40
27,634,255,0,255,255,255,647.427,57.912,647.427,57.912,105.396969620,634,40,29,36,38.966324919,20.716,54.311,0.717,40.816663264,161670,255,NaN,NaN,100,161670,635,75,59.036,23.397612610,1.881,0.532,0.901208244,655,40
28,451,255,0,255,255,255,508.762,52.205,508.762,52.205,89.840620434,491,41,33,21,34.122946538,16.828,18.281,0.702,35.777087640,115005,255,NaN,NaN,100,115005,491,57,26.565,18.657438195,2.028,0.493,0.926078029,518,41
29,605,255,0,255,255,255,607.636,57.120,607.636,57.120,95.154328933,594,41,27,32,31.431605929,24.507,71.947,0.840,33.241540277,154275,255,NaN,NaN,100,154275,601,73,74.291,25.783890101,1.283,0.780,0.928626247,608,41
30,527,255,0,255,255,255,838.639,54.045,838.639,54.045,89.213203436,827,41,24,25,26.799770589,25.037,98.040,0.832,31.827660926,134385,255,NaN,NaN,100,134385,829,42,133.727,24.000000000,1.070,0.934,0.946990117,838,41
31,944,255,0,255,255,255,813.468,65.851,813.468,65.851,125.639610307,798,42,30,45,47.168984140,25.482,68.903,0.751,49.658836072,240720,255,NaN,NaN,100,240720,804,87,64.983,28.361547181,1.851,0.540,0.927764128,820,42
32,753,255,0,255,255,255,965.573,57.956,965.573,57.956,111.740115370,950,42,33,34,35.840105796,26.751,42.406,0.758,39.115214431,192015,255,NaN,NaN,100,192015,950,72,32.471,29.896949447,1.340,0.746,0.906682721,963,42
33,556,255,0,255,255,255,701.304,58.160,701.304,58.160,90.911688245,688,43,27,29,27.691797948,25.564,55.945,0.845,30.364452901,141780,255,NaN,NaN,100,141780,695,72,72.759,26.027831258,1.083,0.923,0.930543933,701,43
34,200,255,0,255,255,255,630.055,52.565,630.055,52.565,55.455844123,622,44,16,17,18.402965457,13.837,40.717,0.817,20.615528128,51000,255,NaN,NaN,100,51000,622,59,39.094,15.652475842,1.330,0.752,0.921658986,633,44
35,896,255,0,255,255,255,730.493,63.541,730.493,63.541,115.740115370,714,45,33,36,36.035705989,31.658,84.005,0.841,39.115214431,228480,255,NaN,NaN,100,228480,722,81,57.529,33.000000000,1.138,0.879,0.937238494,729,45
36,561,255,0,255,255,255,560.033,61.302,560.033,61.302,90.911688245,546,46,27,29,29.584359480,24.144,41.574,0.853,32.557641192,143055,255,NaN,NaN,100,143055,548,72,42.510,24.748737342,1.225,0.816,0.940486169,562,46
37,529,255,0,255,255,255,995.024,63.039,995.024,63.039,90.083261121,982,49,29,26,28.842349415,23.353,155.972,0.819,31.827660926,134895,255,NaN,NaN,100,134895,984,51,136.273,24.352799090,1.235,0.810,0.927256792,990,49
38,688,255,0,255,255,255,530.023,67.189,530.023,67.189,103.396969620,513,52,34,30,32.382179996,27.052,176.361,0.809,35.171010790,175440,255,NaN,NaN,100,175440,513,63,165.174,26.982376631,1.197,0.835,0.922870557,525,52
