 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,598,255,0,255,255,255,776.644,21.910,776.644,21.910,94.911688245,762,8,32,26,33.034246903,23.049,148.316,0.834,35.355339059,152490,255,NaN,NaN,100,152490,764,9,135.000,24.206933093,1.433,0.698,0.937304075,768,8
2,764,255,0,255,255,255,607.890,25.377,607.890,25.377,106.911688245,593,9,31,33,32.223847572,30.187,68.484,0.840,34.985711369,194820,255,NaN,NaN,100,194820,594,36,30.964,30.636231495,1.067,0.937,0.931139549,609,9
3,757,255,0,255,255,255,578.968,25.170,578.968,25.170,106.426406871,564,10,29,32,31.380719351,30.714,102.682,0.840,35.608987630,193035,255,NaN,NaN,100,193035,565,36,38.157,29.000000000,1.022,0.979,0.945068664,579,10
4,2090,255,0,255,255,255,817.252,41.264,817.252,41.264,201.338095117,790,12,52,66,61.771760993,43.079,91.840,0.648,68.963758598,532950,255,NaN,NaN,100,532950,809,12,106.858,50.040088962,1.434,0.697,0.880370682,809,12
5,509,255,0,255,255,255,552.182,26.867,552.182,26.867,89.254833996,536,15,28,26,27.720416705,23.379,141.785,0.803,31.764760349,129795,255,NaN,NaN,100,129795,536,21,151.821,25.646242020,1.186,0.843,0.932234432,554,15
6,621,255,0,255,255,255,636.152,33.397,636.152,33.397,96.669047558,621,20,30,28,29.981893711,26.372,149.720,0.835,33.421549934,158355,255,NaN,NaN,100,158355,625,20,141.072,27.906128359,1.137,0.880,0.934537246,625,20
7,715,255,0,255,255,255,665.788,37.606,665.788,37.606,110.468037432,649,20,34,35,40.595996881,22.425,135.971,0.736,42.801869118,182325,255,NaN,NaN,100,182325,649,23,142.595,25.049012729,1.810,0.552,0.919023136,652,20
8,1748,255,0,255,255,255,524.746,49.624,524.746,49.624,191.338095117,503,22,46,63,61.870271775,35.972,81.863,0.600,65.802735505,445740,255,NaN,NaN,100,445740,516,85,73.217,44.776539187,1.720,0.581,0.814538677,520,22
9,769,255,0,255,255,255,751.941,38.547,751.941,38.547,107.982756057,735,24,35,30,33.444450991,29.276,24.234,0.829,36.400549446,196095,255,NaN,NaN,100,196095,735,44,15.945,30.000000000,1.142,0.875,0.932686477,743,24
10,230,255,0,255,255,255,850.391,37.957,850.391,37.957,59.112698372,840,30,20,16,20.418681238,14.342,148.861,0.827,22.671568098,58650,255,NaN,NaN,100,58650,843,30,138.576,15.460935953,1.424,0.702,0.909090909,843,30
11,684,255,0,255,255,255,499.674,52.762,499.674,52.762,106.911688245,487,34,26,38,37.666840341,23.121,92.615,0.752,38.832975678,174420,255,NaN,NaN,100,174420,499,34,101.889,24.981169379,1.629,0.614,0.915050167,499,34
