 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,211,255,0,255,255,255,293.974,12.273,293.974,12.273,56.627416998,285,5,18,15,19.733921352,13.614,26.626,0.827,21.400934559,53805,255,NaN,NaN,100,53805,285,18,37.405,14.148138087,1.450,0.690,0.923413567,293,5
2,445,255,0,255,255,255,401.361,15.410,401.361,15.410,89.497474683,385,5,31,22,31.636997707,17.909,171.454,0.698,32.015621187,113475,255,NaN,NaN,100,113475,385,19,14.470,19.406028953,1.767,0.566,0.850860421,394,5
3,127,255,0,255,255,255,324.933,12.453,324.933,12.453,44.284271247,318,6,15,13,14.573032079,11.096,22.482,0.814,16.643316977,32385,255,NaN,NaN,100,32385,319,18,32.735,12.089754429,1.313,0.761,0.878892734,323,6
4,147,255,0,255,255,255,276.051,12.929,276.051,12.929,46.384776311,268,8,16,11,17.345315303,10.791,173.979,0.859,17.888543820,37485,255,NaN,NaN,100,37485,268,9,153.435,11.000000000,1.607,0.622,0.927444795,269,8
5,172,255,0,255,255,255,358.703,15.378,358.703,15.378,49.455844123,351,8,14,16,15.956585984,13.725,87.176,0.884,17.088007491,43860,255,NaN,NaN,100,43860,357,24,69.444,14.000000000,1.163,0.860,0.934782609,354,8
6,348,255,0,255,255,255,376.411,20.971,376.411,20.971,75.112698372,366,10,20,24,26.426736837,16.767,120.813,0.775,27.586228448,88740,255,NaN,NaN,100,88740,366,11,133.531,19.306810746,1.576,0.634,0.887755102,368,10
7,182,255,0,255,255,255,333.060,22.176,333.060,22.176,49.941125497,325,14,17,15,16.776903325,13.812,20.352,0.917,18.384776311,46410,255,NaN,NaN,100,46410,325,27,22.380,14.849242405,1.215,0.823,0.923857868,333,14
8,221,255,0,255,255,255,278.785,25.921,278.785,25.921,57.112698372,269,18,19,16,19.949537070,14.105,19.221,0.851,21.470910554,56355,255,NaN,NaN,100,56355,269,31,27.759,15.504341824,1.414,0.707,0.911340206,283,18
9,201,255,0,255,255,255,298.560,25.162,298.560,25.162,56.526911935,289,18,20,15,19.679319818,13.005,3.286,0.790,20.880613018,51255,255,NaN,NaN,100,51255,289,21,163.301,14.285498651,1.513,0.661,0.893333333,300,18
10,116,255,0,255,255,255,317.724,24.733,317.724,24.733,42.041630560,310,19,14,12,14.027768318,10.529,8.699,0.825,15.652475842,29580,255,NaN,NaN,100,29580,310,27,26.565,11.627553483,1.332,0.751,0.882129278,318,19
11,238,255,0,255,255,255,347.542,28.403,347.542,28.403,61.012193309,337,19,20,19,19.188848401,15.792,36.379,0.803,20.880613018,60690,255,NaN,NaN,100,60690,337,31,16.699,17.321357099,1.215,0.823,0.878228782,349,19
12,882,255,0,255,255,255,247.163,34.842,247.163,34.842,133.396969620,224,20,44,34,36.855048127,30.471,163.909,0.623,44.407206622,224910,255,NaN,NaN,100,224910,224,31,7.765,34.000000000,1.210,0.827,0.811407544,242,20
13,335,255,0,255,255,255,399.222,31.981,399.222,31.981,75.012193309,387,21,24,22,26.303365568,16.216,137.359,0.748,28.284271247,85425,255,NaN,NaN,100,85425,387,23,135.000,18.560552730,1.622,0.616,0.862290862,395,21
14,137,255,0,255,255,255,364.755,28.807,364.755,28.807,45.455844123,357,22,15,13,14.785268653,11.798,177.094,0.833,16.124515497,34935,255,NaN,NaN,100,34935,358,25,150.255,12.965338407,1.253,0.798,0.889610390,364,22
15,171,255,0,255,255,255,217.038,35.711,217.038,35.711,51.112698372,208,28,17,15,16.738584116,13.007,30.916,0.823,18.601075238,43605,255,NaN,NaN,100,43605,208,39,36.254,13.827983033,1.287,0.777,0.900000000,218,28
16,204,255,0,255,255,255,308.877,35.990,308.877,35.990,54.526911935,299,28,19,15,18.462166134,14.069,9.709,0.862,20.248456731,52020,255,NaN,NaN,100,52020,299,39,20.225,15.000000000,1.312,0.762,0.908685969,308,28
17,325,255,0,255,255,255,325.605,39.272,325.605,39.272,74.426406871,314,28,24,22,25.542207250,16.201,49.864,0.737,27.586228448,82875,255,NaN,NaN,100,82875,317,50,46.469,18.277897720,1.577,0.634,0.851900393,325,28
18,200,255,0,255,255,255,288.055,37.405,288.055,37.405,55.112698372,279,30,19,15,19.564940236,13.016,17.868,0.827,21.023796042,51000,255,NaN,NaN,100,51000,279,43,25.346,13.719886811,1.503,0.665,0.913242009,287,30
