 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,193,255,0,255,255,255,329.868,11.619,329.868,11.619,53.355339059,320,4,19,15,18.021293195,13.636,25.211,0.852,20.248456731,49215,255,NaN,NaN,100,49215,320,15,20.225,15.000000000,1.322,0.757,0.899766900,328,4
2,51,255,0,255,255,255,255.794,15.578,255.794,15.578,25.798989873,251,12,9,8,9.491555224,6.841,149.915,0.963,10.000000000,13005,255,NaN,NaN,100,13005,252,12,126.870,7.488452649,1.387,0.721,0.886956522,252,12
3,103,255,0,255,255,255,321.189,22.655,321.189,22.655,38.284271247,314,16,13,12,12.438861253,10.543,146.912,0.883,13.601470509,26265,255,NaN,NaN,100,26265,318,17,126.027,11.094003925,1.180,0.848,0.891774892,320,16
4,124,255,0,255,255,255,249.887,23.556,249.887,23.556,40.627416998,244,17,12,13,13.539175416,11.661,137.377,0.944,15.000000000,31620,255,NaN,NaN,100,31620,244,19,143.130,12.000000000,1.161,0.861,0.925373134,248,17
5,153,255,0,255,255,255,236.696,25.631,236.696,25.631,46.870057685,228,19,16,13,14.549600253,13.389,178.728,0.875,16.763054614,39015,255,NaN,NaN,100,39015,228,24,162.646,13.000000000,1.087,0.920,0.902654867,234,19
6,186,255,0,255,255,255,334.075,28.258,334.075,28.258,56.526911935,327,19,14,21,20.288189104,11.673,97.291,0.731,21.213203436,47430,255,NaN,NaN,100,47430,332,19,98.130,13.809514934,1.738,0.575,0.849315068,332,19
7,121,255,0,255,255,255,345.715,30.616,345.715,30.616,42.627416998,340,24,12,14,13.652346409,11.285,96.142,0.837,15.231546212,30855,255,NaN,NaN,100,30855,342,24,113.199,12.000000000,1.210,0.827,0.899628253,342,24
8,159,255,0,255,255,255,223.550,32.381,223.550,32.381,49.698484810,216,25,16,15,15.765059535,12.841,16.868,0.809,17.088007491,40545,255,NaN,NaN,100,40545,216,30,159.444,13.707173229,1.228,0.815,0.868852459,223,25
9,112,255,0,255,255,255,258.732,35.018,258.732,35.018,39.112698372,253,28,12,14,13.430869919,10.618,132.151,0.920,14.422205102,28560,255,NaN,NaN,100,28560,253,31,146.310,10.606601718,1.265,0.791,0.910569106,257,28
10,102,255,0,255,255,255,209.441,33.863,209.441,33.863,38.041630560,202,29,13,11,12.239707434,10.611,178.083,0.886,13.601470509,26010,255,NaN,NaN,100,26010,202,33,162.897,11.000000000,1.154,0.867,0.923076923,206,29
11,61,255,0,255,255,255,247.533,33.762,247.533,33.762,29.556349186,243,29,9,9,9.668125187,8.033,155.225,0.877,10.816653826,15555,255,NaN,NaN,100,15555,243,31,146.310,8.854377448,1.203,0.831,0.890510949,245,29
12,91,255,0,255,255,255,324.247,33.819,324.247,33.819,35.798989873,318,29,12,10,11.555570033,10.027,168.865,0.892,12.806248475,23205,255,NaN,NaN,100,23205,320,29,141.340,10.000000000,1.152,0.868,0.905472637,320,29
13,78,255,0,255,255,255,238.282,37.205,238.282,37.205,33.556349186,233,33,11,9,11.299211539,8.789,147.688,0.870,12.727922061,19890,255,NaN,NaN,100,19890,233,33,135.000,9.000000000,1.286,0.778,0.906976744,233,33
