 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,1358,255,0,255,255,255,514.909,42.825,514.909,42.825,158.367532368,489,23,50,45,47.916138156,36.085,30.236,0.680,51.088159098,346290,255,NaN,NaN,100,346290,497,56,40.236,41.070808621,1.328,0.753,0.881531970,527,23
2,743,255,0,255,255,255,478.924,52.845,478.924,52.845,106.568542495,463,38,33,31,32.397828180,29.200,161.313,0.822,35.114099732,189465,255,NaN,NaN,100,189465,463,44,160.017,30.122748879,1.110,0.901,0.926433915,487,38
3,598,255,0,255,255,255,535.565,59.856,535.565,59.856,96.225396744,521,43,28,33,33.824254726,22.510,54.107,0.812,35.846896658,152490,255,NaN,NaN,100,152490,529,75,59.859,24.041630560,1.503,0.666,0.923552124,540,43
4,144,255,0,255,255,255,455.250,51.431,455.250,51.431,46.384776311,447,45,15,12,16.562362234,11.070,22.747,0.841,18.027756377,36720,255,NaN,NaN,100,36720,447,55,33.690,11.672328099,1.496,0.668,0.938110749,457,45
5,132,255,0,255,255,255,441.076,59.091,441.076,59.091,42.870057685,434,53,14,13,13.577454212,12.378,26.655,0.903,15.000000000,33660,255,NaN,NaN,100,33660,434,62,36.870,12.727922061,1.097,0.912,0.910344828,439,53
6,301,255,0,255,255,255,574.497,64.075,574.497,64.075,67.355339059,563,55,24,17,22.432048467,17.085,178.840,0.834,24.083189158,76755,255,NaN,NaN,100,76755,563,65,4.764,17.000000000,1.313,0.762,0.924731183,579,55
7,694,255,0,255,255,255,459.437,73.013,459.437,73.013,101.396969620,444,57,29,34,34.512532243,25.603,119.857,0.848,36.674241642,176970,255,NaN,NaN,100,176970,449,58,115.866,26.925681193,1.348,0.742,0.938471941,457,57
8,315,255,0,255,255,255,500.617,69.367,500.617,69.367,69.597979746,490,57,21,22,24.517993485,16.358,137.319,0.817,26.627053911,80325,255,NaN,NaN,100,80325,496,57,124.287,17.439550769,1.499,0.667,0.929203540,496,57
9,617,255,0,255,255,255,552.735,77.077,552.735,77.077,96.911688245,537,62,30,29,28.925316272,27.159,56.017,0.826,31.890437438,157335,255,NaN,NaN,100,157335,541,88,48.814,28.276625817,1.065,0.939,0.927122464,549,62
10,520,255,0,255,255,255,597.842,74.587,597.842,74.587,88.083261121,583,62,28,26,28.822239403,22.971,132.189,0.842,30.805843601,132600,255,NaN,NaN,100,132600,588,63,125.754,23.686822788,1.255,0.797,0.921985816,593,62
