 ,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,XStart,YStart
1,275,255,0,255,255,255,693.944,32.355,693.944,32.355,62.769552622,684,23,21,18,20.862559027,16.783,31.694,0.877,22.472205054,70125,255,NaN,NaN,100,70125,686,41,32.276,17.888543820,1.243,0.804,0.933786078,694,23
2,880,255,0,255,255,255,788.328,45.705,788.328,45.705,117.053823869,771,26,34,38,36.303304172,30.864,57.382,0.807,39.824615503,224400,255,NaN,NaN,100,224400,781,64,61.504,33.683559666,1.176,0.850,0.917144346,789,26
3,752,255,0,255,255,255,623.605,40.900,623.605,40.900,108.083261121,607,27,34,29,33.870021991,28.269,1.535,0.809,36.619666847,191760,255,NaN,NaN,100,191760,609,29,145.008,28.822628306,1.198,0.835,0.931846344,623,27
4,333,255,0,255,255,255,673.749,38.077,673.749,38.077,70.769552622,663,28,22,21,23.297852747,18.199,31.534,0.836,25.612496950,84915,255,NaN,NaN,100,84915,663,45,38.660,18.842945730,1.280,0.781,0.914835165,673,28
5,418,255,0,255,255,255,728.069,39.242,728.069,39.242,77.012193309,717,28,24,23,24.178333108,22.012,173.281,0.886,26.925824036,106590,255,NaN,NaN,100,106590,717,32,148.671,22.135943621,1.098,0.910,0.942502818,726,28
6,138,255,0,255,255,255,601.377,34.522,601.377,34.522,46.384776311,594,29,15,12,15.466511508,11.360,9.123,0.806,16.643316977,35190,255,NaN,NaN,100,35190,594,38,32.735,12.000000000,1.361,0.735,0.901960784,601,29
7,734,255,0,255,255,255,840.952,45.733,840.952,45.733,107.982756057,824,30,34,32,35.866251206,26.057,41.497,0.791,39.408120990,187170,255,NaN,NaN,100,187170,826,58,35.707,28.532122580,1.376,0.726,0.921531701,839,30
8,193,255,0,255,255,255,708.500,39.008,708.500,39.008,53.455844123,699,31,17,15,17.985549680,13.663,32.184,0.849,20.248456731,49215,255,NaN,NaN,100,49215,699,43,32.905,15.000000000,1.316,0.760,0.923444976,706,31
9,586,255,0,255,255,255,756.887,43.578,756.887,43.578,93.497474683,741,31,31,26,30.641307028,24.350,170.614,0.842,32.756678708,149430,255,NaN,NaN,100,149430,742,36,148.736,25.810641007,1.258,0.795,0.936102236,755,31
10,365,255,0,255,255,255,650.859,42.322,650.859,42.322,72.526911935,640,32,22,21,23.272997641,19.969,34.462,0.872,26.627053911,93075,255,NaN,NaN,100,93075,640,50,34.287,21.000000000,1.165,0.858,0.940721649,648,32
11,3383,255,0,255,255,255,586.440,64.074,586.440,64.074,275.320851174,535,34,95,67,93.810107042,45.916,159.761,0.561,100.244700608,862665,255,NaN,NaN,100,862665,535,62,161.384,52.336945860,2.043,0.489,0.844483275,585,34
12,625,255,0,255,255,255,871.018,47.548,871.018,47.548,99.254833996,855,35,33,26,32.434234098,24.535,172.619,0.797,34.481879299,159375,255,NaN,NaN,100,159375,855,54,16.858,25.481843032,1.322,0.756,0.925925926,859,35
13,323,255,0,255,255,255,686.590,50.119,686.590,50.119,77.840620434,673,42,28,19,29.376940896,13.999,20.041,0.670,30.413812651,82365,255,NaN,NaN,100,82365,674,60,27.408,16.433572195,2.098,0.477,0.855629139,685,42
14,287,255,0,255,255,255,895.622,53.720,895.622,53.720,64.183766184,886,44,18,21,20.675699187,17.674,101.920,0.875,21.840329668,73185,255,NaN,NaN,100,73185,891,44,105.945,18.000000000,1.170,0.855,0.930307942,891,44
15,685,255,0,255,255,255,708.839,60.884,708.839,60.884,103.740115370,693,45,30,32,30.728723693,28.383,57.215,0.800,34.132096332,174675,255,NaN,NaN,100,174675,694,70,31.827,29.772065129,1.083,0.924,0.910904255,715,45
16,387,255,0,255,255,255,663.350,59.120,663.350,59.120,75.355339059,653,46,21,24,24.234940943,20.332,81.568,0.856,26.248809497,98685,255,NaN,NaN,100,98685,655,70,49.635,20.661268112,1.192,0.839,0.932530120,662,46
17,660,255,0,255,255,255,736.594,62.136,736.594,62.136,98.325901808,722,47,31,29,30.712068518,27.362,22.484,0.858,33.541019662,168300,255,NaN,NaN,100,168300,723,72,26.565,28.776726708,1.122,0.891,0.944206009,739,47
18,331,255,0,255,255,255,812.838,55.421,812.838,55.421,71.941125497,801,47,24,19,24.888177705,16.933,22.759,0.804,26.076809621,84405,255,NaN,NaN,100,84405,801,61,32.471,19.000000000,1.470,0.680,0.919444444,806,47
19,615,255,0,255,255,255,638.414,63.798,638.414,63.798,97.254833996,622,51,32,25,32.588500518,24.028,174.262,0.817,34.539832078,156825,255,NaN,NaN,100,156825,622,57,157.891,24.745071915,1.356,0.737,0.929003021,637,51
20,2180,255,0,255,255,255,517.014,81.082,517.014,81.082,209.722871427,486,54,70,50,65.083690822,42.648,162.491,0.623,74.793047805,555900,255,NaN,NaN,100,555900,491,63,150.350,48.693128414,1.526,0.655,0.855572998,509,54
21,983,255,0,255,255,255,762.754,74.335,762.754,74.335,125.053823869,744,54,36,40,40.993568631,30.531,58.710,0.790,42.438190348,250665,255,NaN,NaN,100,250665,747,89,55.561,32.926590734,1.343,0.745,0.921274602,769,54
22,739,255,0,255,255,255,852.500,70.696,852.500,70.696,105.254833996,837,55,31,31,32.864087815,28.631,29.025,0.838,36.055512755,188445,255,NaN,NaN,100,188445,838,82,33.690,29.048966690,1.148,0.871,0.937222575,852,55
23,301,255,0,255,255,255,682.975,66.679,682.975,66.679,67.012193309,671,57,22,20,23.108038482,16.585,33.770,0.842,24.698178070,76755,255,NaN,NaN,100,76755,671,71,31.759,16.994116629,1.393,0.718,0.923312883,683,57
24,589,255,0,255,255,255,881.016,72.159,881.016,72.159,92.669047558,868,58,27,29,27.692001824,27.081,89.896,0.862,30.610455730,150195,255,NaN,NaN,100,150195,869,62,141.633,26.587214973,1.023,0.978,0.941646683,882,58
25,687,255,0,255,255,255,823.106,74.851,823.106,74.851,100.426406871,809,59,28,31,31.290919637,27.954,50.060,0.856,34.828149535,175185,255,NaN,NaN,100,175185,809,85,39.174,28.000000000,1.119,0.893,0.948240166,825,59
26,1171,255,0,255,255,255,467.593,78.511,467.593,78.511,142.124891681,441,60,49,37,49.982166253,29.830,22.675,0.728,52.554733374,298605,255,NaN,NaN,100,298605,441,82,21.194,30.514377250,1.676,0.597,0.928260008,479,60
27,276,255,0,255,255,255,936.862,68.116,936.862,68.116,67.112698372,925,60,23,17,24.689900739,14.233,19.227,0.770,25.942243542,70380,255,NaN,NaN,100,70380,925,74,27.553,15.692307692,1.735,0.576,0.897560976,936,60
28,854,255,0,255,255,255,792.512,78.422,792.512,78.422,112.811183182,776,61,32,37,36.986386425,29.399,56.376,0.843,38.897300678,217770,255,NaN,NaN,100,217770,788,98,72.031,31.546195022,1.258,0.795,0.941046832,795,61
29,481,255,0,255,255,255,907.729,72.433,907.729,72.433,88.669047558,894,61,30,24,30.946822144,19.790,18.309,0.769,33.105890714,122655,255,NaN,NaN,100,122655,894,81,25.017,21.238037337,1.564,0.639,0.916190476,904,61
30,398,255,0,255,255,255,963.839,71.995,963.839,71.995,86.669047558,949,61,32,21,34.509414395,14.684,158.865,0.666,35.341194094,101490,255,NaN,NaN,100,101490,949,62,154.885,16.268719460,2.350,0.426,0.896396396,952,61
31,862,255,0,255,255,255,664.063,86.827,664.063,86.827,109.497474683,648,71,33,32,35.133932388,31.239,143.112,0.903,37.443290454,219810,255,NaN,NaN,100,219810,654,71,124.114,31.642182649,1.125,0.889,0.955654102,654,71
32,561,255,0,255,255,255,693.894,84.643,693.894,84.643,93.012193309,680,71,28,27,28.051502300,25.463,12.995,0.815,31.064449134,143055,255,NaN,NaN,100,143055,682,95,33.179,26.230860079,1.102,0.908,0.928807947,693,71
33,341,255,0,255,255,255,555.274,80.468,555.274,80.468,73.012193309,543,72,26,19,25.742127105,16.866,170.782,0.804,27.856776554,86955,255,NaN,NaN,100,86955,543,74,158.962,18.569533818,1.526,0.655,0.910547397,548,72
34,1049,255,0,255,255,255,723.784,90.629,723.784,90.629,128.468037432,704,73,42,36,42.047179930,31.765,30.309,0.799,45.650848842,267495,255,NaN,NaN,100,267495,704,100,28.811,35.023385824,1.324,0.755,0.920983319,721,73
35,741,255,0,255,255,255,949.917,89.446,949.917,89.446,104.083261121,936,73,29,33,33.748462536,27.956,122.682,0.860,36.124783736,188955,255,NaN,NaN,100,188955,939,75,131.634,29.000000000,1.207,0.828,0.949391416,943,73
36,282,255,0,255,255,255,638.397,84.309,638.397,84.309,65.556349186,630,75,18,18,19.218373070,18.683,25.702,0.825,23.430749028,71910,255,NaN,NaN,100,71910,630,92,39.806,18.000000000,1.029,0.972,0.938435940,637,75
37,749,255,0,255,255,255,919.898,90.508,919.898,90.508,109.254833996,902,75,34,30,36.259005916,26.301,19.665,0.789,39.115214431,190995,255,NaN,NaN,100,190995,902,99,32.471,26.819135986,1.379,0.725,0.940954774,924,75
38,741,255,0,255,255,255,979.806,93.617,979.806,93.617,106.669047558,964,78,32,31,32.397125515,29.122,47.497,0.818,36.235341864,188955,255,NaN,NaN,100,188955,964,102,27.979,30.284702614,1.112,0.899,0.917079208,981,78
39,784,255,0,255,255,255,424.237,96.445,424.237,96.445,115.539105243,403,81,42,31,42.074047414,23.725,25.949,0.738,43.680659336,199920,255,NaN,NaN,100,199920,403,102,15.945,25.785505768,1.773,0.564,0.925073746,436,81
40,828,255,0,255,255,255,601.005,100.171,601.005,100.171,128.468037432,580,81,41,37,48.677355168,21.658,140.152,0.630,49.819674828,211140,255,NaN,NaN,100,211140,580,86,141.520,24.555554311,2.248,0.445,0.844897959,592,81
41,417,255,0,255,255,255,866.404,91.603,866.404,91.603,81.355339059,853,81,28,20,28.902790597,18.370,1.990,0.792,29.154759474,106335,255,NaN,NaN,100,106335,853,87,157.834,19.183505846,1.573,0.636,0.930803571,866,81
42,309,255,0,255,255,255,891.474,92.905,891.474,92.905,67.355339059,881,82,20,21,22.085452325,17.814,34.284,0.856,23.323807579,78795,255,NaN,NaN,100,78795,881,98,30.964,18.657438195,1.240,0.807,0.929323308,893,82
43,426,255,0,255,255,255,569.754,95.540,569.754,95.540,79.497474683,557,83,25,25,24.164413333,22.446,25.420,0.847,26.570660511,108630,255,NaN,NaN,100,108630,557,92,160.201,22.466314654,1.077,0.929,0.919093851,570,83
44,692,255,0,255,255,255,838.702,99.179,838.702,99.179,103.497474683,825,83,30,31,32.215294325,27.350,53.542,0.812,36.796738986,176460,255,NaN,NaN,100,176460,827,114,47.203,29.547595120,1.178,0.849,0.923282188,838,83
45,1267,255,0,255,255,255,807.150,108.798,807.150,108.798,137.639610307,787,86,39,43,43.468434783,37.112,61.745,0.840,47.634021455,323085,255,NaN,NaN,100,323085,794,128,50.964,39.000000000,1.171,0.854,0.945169713,808,86
46,646,255,0,255,255,255,1005.828,101.661,1005.828,101.661,97.740115370,992,86,28,32,31.347870402,26.238,117.211,0.850,33.837848631,164730,255,NaN,NaN,100,164730,997,86,108.970,28.000000000,1.195,0.837,0.939636364,997,86
47,749,255,0,255,255,255,772.093,105.969,772.093,105.969,106.568542495,756,89,32,33,33.400672688,28.552,39.313,0.829,35.777087640,190995,255,NaN,NaN,100,190995,756,115,26.565,29.831881879,1.170,0.855,0.938008766,773,89
48,1070,255,0,255,255,255,479.154,112.027,479.154,112.027,127.396969620,464,90,32,44,44.136980030,30.867,76.933,0.828,45.880278988,272850,255,NaN,NaN,100,272850,473,134,73.540,31.472984931,1.430,0.699,0.950688583,482,90
49,527,255,0,255,255,255,745.769,104.880,745.769,104.880,90.083261121,732,90,27,28,31.062955153,21.601,50.264,0.816,33.241540277,134385,255,NaN,NaN,100,134385,735,118,43.781,24.041630560,1.438,0.695,0.934397163,746,90
50,1091,255,0,255,255,255,448.368,114.377,448.368,114.377,131.639610307,432,92,33,46,45.442200343,30.569,73.534,0.791,46.872166581,278205,255,NaN,NaN,100,278205,442,138,78.930,32.212529532,1.487,0.673,0.938898451,445,92
51,861,255,0,255,255,255,636.653,109.852,636.653,109.852,112.811183182,620,93,34,34,35.723354480,30.687,54.808,0.850,37.643060449,219555,255,NaN,NaN,100,219555,623,122,50.389,32.066205099,1.164,0.859,0.933333333,642,93
52,649,255,0,255,255,255,529.369,112.976,529.369,112.976,100.426406871,518,96,25,34,34.923656750,23.661,82.917,0.809,35.846896658,165495,255,NaN,NaN,100,165495,520,129,67.011,25.000000000,1.476,0.678,0.944000000,529,96
53,1089,255,0,255,255,255,692.756,114.484,692.756,114.484,123.639610307,674,96,38,37,40.930951308,33.876,140.371,0.895,43.046486500,277695,255,NaN,NaN,100,277695,674,103,149.265,35.039157728,1.208,0.828,0.951091703,682,96
54,896,255,0,255,255,255,865.459,114.079,865.459,114.079,121.053823869,845,99,41,33,42.086956387,27.106,23.822,0.768,42.720018727,228480,255,NaN,NaN,100,228480,845,116,16.314,28.782777417,1.553,0.644,0.917562724,879,99
55,727,255,0,255,255,255,899.021,115.240,899.021,115.240,103.154328933,884,100,31,32,32.724579864,28.286,39.750,0.859,35.355339059,185385,255,NaN,NaN,100,185385,884,123,28.740,29.339863432,1.157,0.864,0.945998699,899,100
56,850,255,0,255,255,255,934.455,115.222,934.455,115.222,115.740115370,915,100,38,31,39.560172692,27.357,167.469,0.797,41.146081223,216750,255,NaN,NaN,100,216750,916,106,154.058,28.958753629,1.446,0.692,0.934065934,935,100
